Gene = TMIE
index = 1458
Annotated 5SS: [ 248 4575 7943]
Annotated 3SS: [4456 7792 8245]
SMsplice 5SS: [ 248 4575 7240 7943]
SMsplice 3SS: [4456 7153 7792 8245]
top_k =  100
Partition function (log Z): -0.22207241817743473

Sorted 5' Splice Sites (High to Low Probability):
Position 7943: 0.9840278826183119
Position 248: 0.9454381472333666
Position 4575: 0.8976969721629844
Position 7240: 0.6192863145430724
Position 3951: 0.3109813811857558
Position 1972: 0.22070273485009834
Position 7259: 0.045012350041504015
Position 8305: 0.041610497794492135
Position 2343: 0.041484371391461085
Position 8529: 0.027750518002435748
Position 115: 0.022434751745843313
Position 959: 0.01727998001488675
Position 7857: 0.01267391907386445
Position 1874: 0.012477082161172916
Position 212: 0.010373155579621606
Position 1978: 0.010343986512789912
Position 4051: 0.007667935029810162
Position 8161: 0.007306877798924391
Position 8154: 0.00723032674486233
Position 4793: 0.005695472688260671
Position 1857: 0.005520598879271511
Position 4813: 0.0042171745465711145
Position 8126: 0.0023240719636563076
Position 1288: 0.0010931673256395688
Position 8036: 0.0010478823259450452
Position 412: 0.0009332048411327992
Position 990: 0.0004962724530626492
Position 8410: 0.00044011872158918004
Position 833: 0.0004281904677777254
Position 1169: 0.00021349143596568739
Position 1581: 0.00021093046882332832
Position 912: 0.00018749869337929625
Position 612: 0.00018326686937639503
Position 177: 0.00015665600495154785
Position 779: 0.0001530011903257758
Position 1509: 0.00014394600113149512
Position 1281: 0.00012138907879037933
Position 1829: 0.00011375979540189691
Position 1604: 7.514542770438867e-05
Position 163: 6.50784379807347e-05
Position 7884: 1.6640563089117875e-05
Position 946: 6.517888167472932e-06
Position 1064: 6.171864311226168e-06
Position 889: 3.697776068857881e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 7792: 0.9915677697262149
Position 8245: 0.9874481628498374
Position 4456: 0.8976732875679322
Position 7153: 0.6290288842485066
Position 3857: 0.25003159378992734
Position 1673: 0.18235082169374042
Position 3820: 0.0686177224256386
Position 2306: 0.035511717974404146
Position 8627: 0.02886899985477438
Position 7057: 0.024506860340601965
Position 1853: 0.022528727891882688
Position 1822: 0.02058590020742501
Position 8678: 0.019745698838441534
Position 6989: 0.010762919995468162
Position 8649: 0.010220995076763818
Position 4640: 0.00991264723483179
Position 1894: 0.009674845819542092
Position 8032: 0.008829919476276695
Position 8035: 0.008031357031166333
Position 9303: 0.006857495039913621
Position 8182: 0.006466803676576554
Position 7760: 0.0061985548549952346
Position 2269: 0.0058242350057705035
Position 1697: 0.005707851805870463
Position 8247: 0.004355652960475705
Position 9286: 0.004347573954470031
Position 1740: 0.003568586662801731
Position 1691: 0.002731741391559653
Position 1870: 0.0020096867259124206
Position 9220: 0.0014504751118144174
Position 2073: 0.00014841841128643475
Position 8450: 3.927715544916997e-05
Position 4400: 2.3684595052247808e-05
