Gene = Nsmce1
index = 768
Annotated 5SS: [  184  5259 19489 19722 20484 22568 23318]
Annotated 3SS: [ 5111 19366 19643 20336 22450 23196 23752]
SMsplice 5SS: [  184  5259  6378  7797 19489 19722 20484 22568]
SMsplice 3SS: [ 5111  6224  7722 19366 19643 20336 22450 22816]
top_k =  500
Partition function (log Z): 4.999597328450616

Sorted 5' Splice Sites (High to Low Probability):
Position 22568: 0.9661535755292383
Position 5259: 0.9622058101693333
Position 19722: 0.9530816636702489
Position 184: 0.929443449889685
Position 7797: 0.8040366239148617
Position 23318: 0.7849431985566775
Position 20484: 0.7779090421821842
Position 19489: 0.733688281032432
Position 6378: 0.6296626606493934
Position 13383: 0.621089572902765
Position 8972: 0.4707724553981215
Position 5028: 0.4299126838388939
Position 9002: 0.3780339305165791
Position 13142: 0.35600238646221566
Position 22926: 0.2932910151881161
Position 8098: 0.2585238393553996
Position 2419: 0.25246406401787236
Position 22908: 0.19399062571377018
Position 2277: 0.17228722077516823
Position 4264: 0.14911038941152796
Position 20445: 0.12942002539358743
Position 22066: 0.1073240774573349
Position 23518: 0.09658599612779772
Position 75: 0.06305768139089465
Position 23018: 0.05509142175230327
Position 2604: 0.05065213495464994
Position 19958: 0.045628153468177696
Position 3787: 0.0447408843755111
Position 23050: 0.0435777417021043
Position 1852: 0.04240473851455425
Position 23469: 0.040986999620874244
Position 2673: 0.03963789854141295
Position 5219: 0.026698286486940698
Position 1101: 0.020044212348653813
Position 4676: 0.020035860205521987
Position 1894: 0.012100218947420312
Position 2224: 0.010971981532074928
Position 5199: 0.00979658461266405
Position 22974: 0.008775054667495553
Position 6729: 0.008666100453822151
Position 22718: 0.006809893954164076
Position 22728: 0.004501775514360472
Position 23096: 0.00410916592640881
Position 22979: 0.004107523356465948
Position 188: 0.003330712705539483
Position 6316: 0.002680967987295431
Position 762: 0.002301384728556678
Position 3889: 0.002204809819520779
Position 5088: 0.0021546626132706347
Position 22738: 0.002003751958760369
Position 20108: 0.0019711461357690757
Position 23595: 0.0019223240990951435
Position 2664: 0.0018134601558208309
Position 21836: 0.0018033726349196684
Position 488: 0.0016909555528241808
Position 22981: 0.0013545399032002308
Position 5249: 0.0012977331832576351
Position 307: 0.0011335515091172464
Position 20908: 0.001043048386996862
Position 23619: 0.0009427314016409421
Position 2015: 0.0008418328759728735
Position 23142: 0.0007738209996048072
Position 255: 0.0006799399024365622
Position 104: 0.0006636795500539643
Position 4507: 0.0006069051678263986
Position 5657: 0.0006007709655437837
Position 5724: 0.0005761091825420818
Position 1838: 0.0005055320432990627
Position 21: 0.0004859554877815291
Position 22248: 0.00045714774305944745
Position 1663: 0.00041918063635922465
Position 177: 0.0003959307200624775
Position 5529: 0.0003644000768084917
Position 501: 0.00032628417996714674
Position 1824: 0.0003196985207236089
Position 651: 0.00026417291480310704
Position 1782: 0.00024053704400715865
Position 448: 0.00022366815897681888
Position 1021: 0.00021099780583836244
Position 1684: 0.0001911785286199954
Position 93: 0.00018976449080461194
Position 977: 0.00018204787078673302
Position 2439: 0.00016356091103080804
Position 204: 0.00016231349275076223
Position 462: 0.00013254884821083926
Position 20571: 0.00010653271317375867
Position 21550: 0.00010640004052564012
Position 21579: 0.00010293153340745073
Position 165: 9.838362944586882e-05
Position 1165: 8.88975744881194e-05
Position 20471: 8.402367849027538e-05
Position 511: 8.182082770131875e-05
Position 1846: 7.469508531027165e-05
Position 1896: 7.30323888932822e-05
Position 1879: 7.26164867860292e-05
Position 22022: 6.857768275872439e-05
Position 1095: 6.743791653973905e-05
Position 539: 6.058451854935206e-05
Position 1806: 5.7914112263840546e-05
Position 2024: 5.653516511101095e-05
Position 21415: 4.977045227107094e-05
Position 21184: 4.5425976048870206e-05
Position 1236: 4.5326961530058e-05
Position 948: 4.431605179334306e-05
Position 1368: 4.4014070598176694e-05
Position 1929: 4.343164723327481e-05
Position 20456: 3.848955276356137e-05
Position 2443: 2.1997353430329385e-05
Position 2404: 1.7562039954019824e-05
Position 1187: 1.4549012784660231e-05
Position 1634: 1.3337365147828017e-05
Position 3602: 1.088022422084686e-05
Position 64: 5.707365499875606e-06
Position 6475: 4.789138488893427e-06
Position 2431: 4.7763714820041405e-06
Position 5720: 4.276854866100366e-06
Position 5550: 6.780800496713507e-07
Position 1455: 3.9636074256594017e-07
Position 1054: 3.8378848879727595e-07
Position 333: 2.959403108789977e-07
Position 1407: 2.284545378733391e-07
Position 688: 2.270084569478481e-07
Position 1605: 1.7631084094281975e-07
Position 231: 1.4963414416080234e-07
Position 344: 2.8911029502842663e-08
Position 116: 1.116462417322364e-08
Position 336: 3.881650605101142e-09
Position 393: 4.966959902375955e-10
Position 483: 2.34151809505361e-10
Position 419: 1.1168192223779786e-15
Position 367: 6.8394697608465064e-18

Sorted 3' Splice Sites (High to Low Probability):
Position 19643: 0.9543816490498845
Position 22450: 0.9177296632556788
Position 20336: 0.8633005897408844
Position 5111: 0.8311792999138353
Position 22816: 0.776627310253761
Position 19366: 0.7353801745088052
Position 8858: 0.7233701870520238
Position 7722: 0.7097614005573718
Position 23196: 0.6943961283831753
Position 13233: 0.6210895729027648
Position 6224: 0.583865470271748
Position 23752: 0.5563073495338582
Position 2186: 0.3950624092322636
Position 4934: 0.3747774772826558
Position 12915: 0.35600238646221566
Position 23390: 0.1946180807605631
Position 5128: 0.15113443177061303
Position 7958: 0.12617901703343504
Position 8863: 0.11254301343426446
Position 23491: 0.09572355388648035
Position 21924: 0.08938705615604828
Position 4138: 0.08887535600460274
Position 8002: 0.08384587883804112
Position 23131: 0.06811186993382919
Position 7666: 0.0628548766298985
Position 4838: 0.05957378228917565
Position 2570: 0.059109458878457456
Position 22453: 0.04686928821372168
Position 1699: 0.04649321894157564
Position 4012: 0.0429189186583037
Position 19829: 0.03486009575969803
Position 3687: 0.03060618001164972
Position 7466: 0.030307826347957548
Position 2503: 0.030124582713892904
Position 2077: 0.023581989405095278
Position 6203: 0.02289469786524912
Position 8026: 0.021951392249902224
Position 7939: 0.021779261743337233
Position 20397: 0.021607425405849614
Position 23403: 0.020160387842597605
Position 20308: 0.01915756086026077
Position 21908: 0.018829802372104753
Position 23039: 0.018350779749133315
Position 23702: 0.015672282561869796
Position 23550: 0.01505648661646988
Position 4093: 0.014107256103604566
Position 22641: 0.014021083470392326
Position 23181: 0.0140119059980326
Position 23755: 0.013805202561068933
Position 8758: 0.012893185428412673
Position 5182: 0.01223158047408062
Position 4565: 0.011007072577831775
Position 19812: 0.009747324988239763
Position 23920: 0.009258265736027716
Position 1780: 0.009056489909156683
Position 6069: 0.008891481878986172
Position 6632: 0.008666100453822151
Position 3572: 0.00816611503709843
Position 23665: 0.006705314366346252
Position 2354: 0.0063307265248010855
Position 6263: 0.006119311010907113
Position 23420: 0.006044054112715357
Position 1016: 0.004981335410876927
Position 22941: 0.00493282152801789
Position 1057: 0.004787613094655509
Position 2276: 0.004375674277220089
Position 2080: 0.00401996902209264
Position 892: 0.003977655865269896
Position 3664: 0.0037302460809725485
Position 23225: 0.0035964605859920944
Position 20266: 0.00352293730320665
Position 7569: 0.0034814495251984175
Position 4629: 0.003465610727833341
Position 6288: 0.0033370307859859104
Position 4163: 0.0032088586450169584
Position 3601: 0.003153994842198138
Position 23413: 0.003104622642122641
Position 4477: 0.0030855611621439087
Position 4363: 0.003084520905539362
Position 396: 0.002962045969082155
Position 4943: 0.002690330724213962
Position 23772: 0.0025516778823688087
Position 23775: 0.002491582688674166
Position 23259: 0.002006614839903505
Position 947: 0.0019891786454031748
Position 6150: 0.0018427454470192426
Position 839: 0.0018246303513183369
Position 21744: 0.0018033726349196684
Position 1566: 0.0016350857908985841
Position 5868: 0.0016343284571660938
Position 23595: 0.0015244615354924908
Position 22283: 0.0013842901477232644
Position 7983: 0.0013533652038568884
Position 6096: 0.0013108432917135289
Position 2477: 0.0011828759667948498
Position 6084: 0.001174754336884776
Position 2395: 0.0010851971629206425
Position 2323: 0.0010835607987591666
Position 2312: 0.0009700690929083126
Position 968: 0.0009625008343509248
Position 3689: 0.0009360684261193021
Position 20794: 0.0009232051839344587
Position 5404: 0.0008509474677092324
Position 591: 0.0008138630515263443
Position 990: 0.0007607144357610547
Position 23586: 0.0007593662394953748
Position 22979: 0.0006983797539578452
Position 23141: 0.0006227716250902514
Position 140: 0.0006150408136087673
Position 6297: 0.0006038039959982966
Position 23405: 0.0005629648266491023
Position 7471: 0.0005607490571666485
Position 23074: 0.0005475372768680562
Position 843: 0.0004913798632946337
Position 5087: 0.0004788584497852496
Position 23423: 0.00046574417758834635
Position 2310: 0.00045231950127465467
Position 422: 0.0004128184804662609
Position 23439: 0.000394596370459004
Position 2128: 0.00039318425412796046
Position 3813: 0.0003581067256838846
Position 909: 0.00033783826280598127
Position 5512: 0.0003187120334519021
Position 6144: 0.0003109684251007901
Position 23826: 0.00029956820420479674
Position 7515: 0.0002697724722262304
Position 6118: 0.0002335391512841863
Position 7550: 0.0002154736118702226
Position 21454: 0.00020933157393309093
Position 656: 0.00016588310812859464
Position 6101: 0.00012944285713412037
Position 20798: 0.00011966934254519946
Position 5691: 0.00011778563583036758
Position 1759: 0.00011365807297809582
Position 5602: 0.00010700057191571987
Position 2082: 7.575717966571862e-05
Position 23468: 7.154776054195865e-05
Position 5461: 7.056853253659122e-05
Position 2053: 6.950576427120193e-05
Position 2306: 6.492336092773362e-05
Position 5418: 5.9296311437587324e-05
Position 587: 5.744235109009502e-05
Position 721: 5.424993180952616e-05
Position 21176: 4.977045227107094e-05
Position 21037: 4.5425976048870206e-05
Position 1252: 4.459450209039856e-05
Position 651: 4.262898318963758e-05
Position 494: 4.142823245682491e-05
Position 1838: 4.048748187865807e-05
Position 1116: 4.0329355019816957e-05
Position 1937: 3.989961865154175e-05
Position 22777: 3.2576431407640495e-05
Position 401: 2.4115555950290746e-05
Position 622: 2.3719337412512096e-05
Position 2356: 2.221621532169522e-05
Position 5285: 2.1786922344087013e-05
Position 2237: 1.9956671679601922e-05
Position 1063: 1.965676833704722e-05
Position 1499: 1.8724903087238264e-05
Position 940: 1.552941501718761e-05
Position 1001: 1.2134410379773665e-05
Position 1742: 1.149100588964755e-05
Position 1454: 9.650128124211958e-06
Position 377: 7.847396143222412e-06
Position 22883: 6.176056668614232e-06
Position 3279: 5.8632955306981025e-06
Position 452: 5.415645307575393e-06
Position 2001: 5.15504931087243e-06
Position 23317: 9.327281291015091e-07
Position 1824: 6.096034738563994e-07
Position 1525: 4.6579793986337527e-07
Position 20636: 1.7386051720321958e-07
Position 195: 1.0195408599899103e-07
Position 5618: 7.675760231394374e-08
Position 727: 7.605848769616796e-08
Position 219: 7.416848067692704e-08
Position 1094: 6.896185176861566e-08
Position 5371: 6.092698232787625e-08
Position 107: 4.760640576412525e-08
Position 1267: 4.438378821735882e-08
Position 607: 7.89649123313919e-09
Position 85: 2.129346108448092e-09
Position 221: 5.20199429074388e-10
Position 116: 4.974567370677174e-10
Position 601: 3.428769609919963e-10
Position 96: 2.8162581094791386e-10
Position 110: 2.7130255498079467e-10
Position 104: 2.0835499675314104e-10
