Gene = TMPPE
index = 1460
Annotated 5SS: [83]
Annotated 3SS: [2497]
SMsplice 5SS: [83]
SMsplice 3SS: [1975]
top_k =  1000
Partition function (log Z): -9.471136312944214

Sorted 5' Splice Sites (High to Low Probability):
Position 83: 0.8608831952496818
Position 1035: 0.17136969160469578
Position 4322: 0.16272731875526758
Position 4673: 0.1481640492155839
Position 2300: 0.11579759667125894
Position 2337: 0.07175202374064522
Position 5344: 0.05807537052601108
Position 3188: 0.04749484591076019
Position 661: 0.031475527801868144
Position 3054: 0.029334293768204546
Position 688: 0.028480144014782053
Position 4441: 0.02647111436762619
Position 2128: 0.02079095788074408
Position 4634: 0.019276111847651663
Position 5379: 0.014648050870804669
Position 657: 0.01312646839993037
Position 1809: 0.01298006539342009
Position 721: 0.012282046283309228
Position 4120: 0.010193257388090583
Position 226: 0.009460785801623281
Position 5715: 0.009345825360678465
Position 569: 0.007250448952707043
Position 2807: 0.006185344654681554
Position 5760: 0.005948712796272225
Position 463: 0.0049628647718028135
Position 2864: 0.003972750291559555
Position 4651: 0.0034057262502362688
Position 2405: 0.0029481979956100385
Position 70: 0.002871140060143499
Position 468: 0.002856997599010865
Position 391: 0.0025577965783820716
Position 2256: 0.002163091712503596
Position 3573: 0.0019515610286138458
Position 89: 0.00167091298931447
Position 3329: 0.0015757706346290056
Position 2146: 0.001471766711998607
Position 139: 0.0014566104583402769
Position 2420: 0.0014540689037857927
Position 6205: 0.0013879684109289437
Position 3874: 0.0012831776766334747
Position 2692: 0.0009565455435367476
Position 596: 0.0009423842564004923
Position 13: 0.0009090227399280594
Position 1668: 0.0008628720640654327
Position 2578: 0.0007845371791102492
Position 914: 0.0007828252171575237
Position 677: 0.0005679847351786357
Position 62: 0.0005167674740276898
Position 1257: 0.00037099957813814923
Position 3546: 0.0003317205536777097
Position 274: 0.0003076399176543595
Position 998: 0.0002458824628693503
Position 3921: 0.00023724683015171791
Position 600: 0.00020830065576563043
Position 698: 0.00019425962987303064
Position 258: 0.0001727907438644386
Position 1145: 0.00012936871009924296
Position 3302: 0.00012237522672015454
Position 777: 9.863148690886857e-05
Position 1084: 7.964149023279784e-05
Position 1674: 6.832088471171719e-05
Position 1014: 5.9919168098550196e-05
