Gene = Naprt
index = 1310
Annotated 5SS: [ 925 1597 2338 2533 3055 3254 4533 4762 7513 7989]
Annotated 3SS: [1291 2166 2405 2970 3125 4391 4589 7246 7578 8051]
SMsplice 5SS: [1597 2338 2533 3055 3254 4533 4762 5439 7513 7989]
SMsplice 3SS: [2166 2405 2970 3125 4391 4589 5102 7246 7578 8051]
top_k =  500
Partition function (log Z): 37.39955451008934

Sorted 5' Splice Sites (High to Low Probability):
Position 2338: 0.9999693682177836
Position 7513: 0.9997817815906868
Position 4533: 0.9993979506573966
Position 7989: 0.9986738868577099
Position 3055: 0.9137231018500874
Position 5439: 0.9015290993381168
Position 4762: 0.882937451401413
Position 1597: 0.8559259120405738
Position 3254: 0.7060734414294938
Position 2533: 0.6574107551112892
Position 4104: 0.4615552948013967
Position 2898: 0.41066894078232236
Position 5956: 0.22344535876031138
Position 199: 0.18702177439724707
Position 1883: 0.16823164904628476
Position 6297: 0.11167219291907442
Position 44: 0.09999208001689834
Position 107: 0.07465428268199434
Position 976: 0.06598565573773836
Position 3338: 0.04820015608584323
Position 1126: 0.04027368179224548
Position 3041: 0.03462413592894859
Position 2657: 0.029941030337034644
Position 2097: 0.029493774363048786
Position 1644: 0.02707258776734844
Position 765: 0.025837412434878613
Position 1601: 0.02498645831196017
Position 120: 0.01978308374537548
Position 925: 0.019599941910852108
Position 2497: 0.019489300566152026
Position 7752: 0.0166949639800621
Position 8349: 0.0158652328849802
Position 4747: 0.015313856196910544
Position 841: 0.015108562698423072
Position 1877: 0.013745343788006336
Position 820: 0.011807066932879225
Position 8375: 0.011351545239471211
Position 852: 0.009209315686240001
Position 7785: 0.008776994823124426
Position 1605: 0.008746830686323412
Position 2922: 0.007764404836744674
Position 440: 0.007522551333642645
Position 4213: 0.006948893194554065
Position 8515: 0.006566887489906389
Position 368: 0.006351280032801744
Position 7674: 0.005672215856941219
Position 2734: 0.00551080425035491
Position 8367: 0.005187233121619864
Position 436: 0.004807910243884566
Position 4674: 0.0047843373196165715
Position 2610: 0.004510809590121084
Position 6448: 0.004105380365426221
Position 356: 0.0037218186746098294
Position 4344: 0.0036428128039095826
Position 4291: 0.003474267910154417
Position 354: 0.0033082642848245238
Position 358: 0.0032178976592329056
Position 360: 0.0031368126697090956
Position 1329: 0.0031047113775757294
Position 5230: 0.0030547118997366045
Position 5639: 0.0028197876912943952
Position 362: 0.002734710250149646
Position 2601: 0.002678648884856196
Position 3941: 0.0026443817317034148
Position 2674: 0.0024100482128145578
Position 364: 0.002388127346516069
Position 4078: 0.002379856191840589
Position 1655: 0.002338105118308059
Position 3224: 0.0023298761023802525
Position 76: 0.0022164743108557773
Position 1959: 0.0019065704327075772
Position 930: 0.0017724656117297317
Position 2635: 0.001750284672662326
Position 6030: 0.0017269999427606494
Position 1668: 0.0015009427185456437
Position 117: 0.0014548248655589639
Position 2668: 0.0014123176523959207
Position 5470: 0.0013756399939034423
Position 193: 0.0013287266585148894
Position 4754: 0.001297953624359728
Position 3167: 0.0012758023053041705
Position 2561: 0.0012400013984432104
Position 374: 0.0012311719512299033
Position 4820: 0.0011786102635043354
Position 4795: 0.0011511682893941442
Position 29: 0.0010068836666407945
Position 2599: 0.0009614601667800032
Position 2779: 0.0009342336260950719
Position 4849: 0.0008458778054904637
Position 1093: 0.0008237403613873286
Position 2537: 0.0007877985893766868
Position 773: 0.000733312578873961
Position 2746: 0.0007113177172322726
Position 4964: 0.0006732540600241989
Position 153: 0.000643949932176479
Position 2519: 0.000643640221695767
Position 372: 0.0005820172456031053
Position 321: 0.000553299704225187
Position 3160: 0.0005180767418138556
Position 7995: 0.0004666847522539013
Position 5288: 0.0004569435443964469
Position 1157: 0.0004304593832996489
Position 5213: 0.000418856942773796
Position 4537: 0.00040868988865906024
Position 5961: 0.00035616288710828704
Position 8193: 0.0003517874531697486
Position 1641: 0.0002974263249346709
Position 757: 0.00025909820584066144
Position 258: 0.00025112255957724305
Position 242: 0.00024164297075310087
Position 7773: 0.0002368708750247219
Position 7911: 0.00021586358796979625
Position 4808: 0.00021085575494987933
Position 8377: 0.0002087952982816341
Position 1185: 0.0002047009146890836
Position 779: 0.0001988469421951958
Position 8523: 0.0001938519834632605
Position 7827: 0.00015361529983611518
Position 8230: 0.00014404778225293917
Position 231: 0.00013993840463062684
Position 4095: 0.0001364250862007126
Position 4880: 0.00010974026805979724
Position 4090: 0.00010183417961462248
Position 1702: 0.00010073648777689953
Position 7993: 8.252937298220213e-05
Position 7923: 7.518331443797387e-05
Position 1865: 7.167770811387896e-05
Position 7860: 6.460223531427038e-05
Position 2461: 5.775047623071388e-05
Position 4909: 4.71257819624624e-05
Position 7645: 4.4164150672487324e-05
Position 1705: 4.377435426982312e-05
