Gene = ms(2)34Fe
index = 1796
Annotated 5SS: [ 290  684 1847 2658 3524 4259 4489 4757 4923]
Annotated 3SS: [ 345  741 1908 2719 3638 4333 4548 4814 4982]
SMsplice 5SS: [ 290  684 1847 2658 4259 4757 4923]
SMsplice 3SS: [ 345  741 1908 2719 4548 4814 4982]
top_k =  500
Partition function (log Z): 19.88058455659441

Sorted 5' Splice Sites (High to Low Probability):
Position 684: 0.998770879583866
Position 4923: 0.9953107338142554
Position 1847: 0.9944977644554088
Position 290: 0.9867392880335211
Position 2658: 0.9788142442459546
Position 4259: 0.9404976058735951
Position 4757: 0.8598909215745246
Position 4489: 0.47173926710362574
Position 3090: 0.375618606047129
Position 3524: 0.35187837489281143
Position 1569: 0.268341297473923
Position 1393: 0.14553009657850355
Position 3939: 0.06561965263458361
Position 5137: 0.054742891442834306
Position 1723: 0.029318615264424665
Position 3529: 0.021114216451864516
Position 4768: 0.016885625842648782
Position 3789: 0.009525130629365587
Position 2179: 0.008957193051696339
Position 1247: 0.008819391492945342
Position 1074: 0.00863162143208375
Position 4670: 0.0071962807357466895
Position 1259: 0.006563117164401781
Position 3667: 0.006201245144548933
Position 1387: 0.00605875846177727
Position 1536: 0.005448177992777677
Position 2820: 0.0049799736443472825
Position 988: 0.0045643958156588475
Position 2463: 0.004293891449360456
Position 2160: 0.0037117382658815455
Position 1028: 0.003606748152055767
Position 1301: 0.003560675408145666
Position 1833: 0.00306369574282027
Position 1080: 0.0028925342392979486
Position 2162: 0.002447675823486066
Position 3491: 0.0023870804811001118
Position 2318: 0.0019061110709844601
Position 3601: 0.001771975193975619
Position 3268: 0.0017191262351316384
Position 1851: 0.001655902004419519
Position 443: 0.0012780119068209138
Position 4908: 0.0012012654180118413
Position 4934: 0.001157126672497146
Position 4893: 0.0010973061799530951
Position 2283: 0.0010506086242682853
Position 1420: 0.001026462152508859
Position 2812: 0.000918879009213536
Position 2024: 0.0007197722555153728
Position 4743: 0.0006943883768443875
Position 2763: 0.0006503631058645971
Position 2019: 0.0006209805117035054
Position 3736: 0.0005832343123429418
Position 1070: 0.0005641360268147546
Position 5325: 0.0005070605368618214
Position 2191: 0.00047447714490643186
Position 1363: 0.00047332449717741817
Position 1690: 0.00039267511190342505
Position 1174: 0.0003876106516160662
Position 1950: 0.0003836298505775387
Position 1170: 0.0003722512424109506
Position 1771: 0.00036133843140668674
Position 270: 0.0003503616955542096
Position 2967: 0.0003266658645402928
Position 323: 0.00032606137138479845
Position 5085: 0.0003239451015883901
Position 297: 0.00027521981737661664
Position 5182: 0.00025842732638687454
Position 787: 0.00024600925447016157
Position 1607: 0.0002259523296019137
Position 3151: 0.00022053930828516732
Position 1758: 0.0002166385879657574
Position 2166: 0.00021085405142045655
Position 5314: 0.0002028994858299841
Position 1516: 0.0001944535183551459
Position 4691: 0.00018244324713969506
Position 464: 0.00017809013487198096
Position 1107: 0.0001700838438941992
Position 1529: 0.00015822979570242942
Position 651: 0.00015308575968767064
Position 2366: 0.00014321917937593128
Position 1940: 0.0001394994685076087
Position 5139: 0.00013841022146277135
Position 2586: 0.0001380762779427612
Position 4913: 0.00012300892833361755
Position 1960: 0.00011958928534120076
Position 5334: 0.0001144555181784398
Position 671: 0.00010876691647787542
Position 2745: 9.517263606560344e-05
Position 1192: 8.852909930955734e-05
Position 416: 8.709075611210704e-05
Position 1592: 7.497468092745329e-05
Position 2666: 6.888071302974105e-05
Position 3585: 6.775242101452131e-05
Position 1104: 6.634234207108921e-05
Position 3136: 6.532470179999466e-05
Position 5312: 6.40327391680991e-05
Position 4927: 6.285571336542204e-05
Position 5276: 5.543136193309094e-05
Position 294: 5.408560728341586e-05
Position 4866: 4.918985977230522e-05
Position 2066: 4.7333238185748274e-05
Position 1635: 4.57432502923805e-05
Position 1590: 4.37175965490147e-05
Position 1020: 3.34061437755621e-05
Position 529: 3.093471210693267e-05
Position 2726: 2.9910670219005894e-05
Position 213: 2.868685886548664e-05
Position 1333: 2.8157732793563763e-05
