Gene = Rbm48
index = 890
Annotated 5SS: [ 620 1331 4916 6363]
Annotated 3SS: [ 1139  4769  5781 11777]
SMsplice 5SS: [ 250 1331 4916]
SMsplice 3SS: [ 1139  4769 11777]
top_k =  100
Partition function (log Z): -4.305989790464982

Sorted 5' Splice Sites (High to Low Probability):
Position 4916: 0.9988091720800073
Position 250: 0.8431622953738929
Position 1331: 0.6922190778809707
Position 6363: 0.43255552256820506
Position 620: 0.23992524123037903
Position 5694: 0.20603233238139795
Position 7459: 0.15809630341841907
Position 5872: 0.13374457026935208
Position 4405: 0.1134329435915147
Position 77: 0.08696988195740941
Position 6289: 0.056046568306033634
Position 7395: 0.04094951052620972
Position 11879: 0.03452091914599824
Position 1663: 0.02741865928879658
Position 3161: 0.026233031378036998
Position 1237: 0.025974586529995528
Position 5136: 0.018317454121042152
Position 4567: 0.01829381199611328
Position 4077: 0.010408996952760458
Position 882: 0.008759888296282815
Position 5689: 0.005684407625206544
Position 769: 0.004915098224100367
Position 206: 0.003143959404610488
Position 5657: 0.0005407125575297476
Position 35: 0.00023333788680367362
Position 119: 0.00013871416187717753
Position 7: 8.171627558728947e-05
Position 794: 6.808737687453122e-05
Position 132: 5.959847279775826e-05
Position 50: 1.1751811064803487e-05
Position 44: 4.277343732573806e-06
Position 63: 3.8039160571205813e-06
Position 39: 2.2204467500227326e-06
Position 42: 1.7202059339411104e-06
Position 9: 2.7439269050791767e-07
Position 23: 8.239619752720416e-08
Position 144: 5.593539284259114e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 4769: 0.9971054309695694
Position 11777: 0.9798963409616909
Position 1139: 0.6103537694633101
Position 6152: 0.27345130745764945
Position 7340: 0.2100575343730972
Position 5542: 0.20769317106084378
Position 6124: 0.2045608176592655
Position 5781: 0.13836841236374986
Position 1056: 0.0723319621795294
Position 4351: 0.06332789685260067
Position 4139: 0.05809496819858293
Position 379: 0.05470611522218619
Position 456: 0.04005284294823568
Position 12068: 0.03452091914599831
Position 205: 0.022113982189511605
Position 162: 0.022076401964957637
Position 2944: 0.01915484956115223
Position 498: 0.018126958813850052
Position 5023: 0.017145783584221606
Position 1616: 0.016298125930682514
Position 1250: 0.01127733500856638
Position 3842: 0.010408996952760458
Position 4211: 0.010303890536444465
Position 1263: 0.009875730584388391
Position 654: 0.007871558866734301
Position 343: 0.007413467785734357
Position 3001: 0.007078181816884756
Position 6052: 0.006757928742161754
Position 1322: 0.006084236528805551
Position 559: 0.005028251388784221
Position 1031: 0.004920077025564573
Position 5551: 0.004779933519916849
Position 337: 0.004627523923466822
Position 1588: 0.004576526163689409
Position 6083: 0.004380813106027441
Position 1544: 0.003378326592577832
Position 1631: 0.003165680601846819
Position 458: 0.002661579594007218
Position 7090: 0.0017229672559828267
Position 4837: 0.001487255353882762
Position 4774: 0.0012570438698849518
Position 500: 0.001226379518968677
Position 6602: 0.0010160432813947266
Position 4993: 0.0009846421818551045
Position 410: 0.0009161912428836282
Position 249: 0.0007871010950683947
Position 831: 0.0006518769508972908
Position 857: 0.00046688073636394316
Position 705: 0.0004532444285380747
Position 519: 0.0003577419956818645
Position 461: 0.0003360475130840942
Position 714: 0.00032351582110330776
Position 382: 0.00028417650630269446
Position 420: 0.00018336736247220336
Position 4999: 0.00011112811220927232
Position 1095: 9.076547044501853e-05
Position 777: 2.8174020948961222e-05
Position 869: 2.7900743785020398e-05
Position 179: 6.151413851097871e-06
Position 225: 5.479798994180285e-06
Position 230: 1.8800880735071833e-06
Position 106: 1.7538107533535562e-06
Position 73: 1.7047895510197198e-06
Position 76: 1.5216964170427267e-06
Position 223: 1.2186210090014223e-06
Position 112: 6.931955524512995e-07
Position 137: 4.4553300337721074e-08
Position 82: 1.4315869217153135e-08
