Gene = Dok7
index = 344
Annotated 5SS: [  127   276  7703  9789 18561 20406]
Annotated 3SS: [  229  7471  9587 18440 20285 22168]
SMsplice 5SS: [  127   276  1342  9789 18561]
SMsplice 3SS: [  229  1188  9587 18440 20285]
length: 24103
Partition function (logZ) = -4.458552877866497
#Introns = 1547
5SS, 3SS, prob
18561, 20285, 0.7469596185631092
9789, 18440, 0.4513629273596502
127, 229, 0.439024972261487
7703, 9587, 0.37816996083872734
276, 1188, 0.29895480173770816
722, 1188, 0.21029382535447183
6920, 9587, 0.17219664840187374
6122, 6797, 0.16562028249844374
9789, 17619, 0.1622336149336411
276, 619, 0.15289302102364624
6122, 9587, 0.15258676997673634
17730, 18440, 0.1461368455805532
6920, 7471, 0.13572475847346824
6122, 7471, 0.1262146599985825
20406, 22168, 0.11659067409383973
9778, 18440, 0.10424328805066145
7730, 9587, 0.10321507156695654
1342, 5934, 0.09771172063821808
8282, 9587, 0.092128008400362
1342, 6041, 0.08687052414478319
6920, 7626, 0.0860647198344557
895, 1188, 0.0817454291787333
1342, 1444, 0.07661568609461068
1342, 6797, 0.07409010469987667
6122, 7626, 0.07401713212326762
18561, 19130, 0.07255665003349332
103, 229, 0.06887197901020767
6136, 6797, 0.06603748610232688
9789, 18467, 0.06391083557506277
1342, 6059, 0.060276891151153825
22493, 23070, 0.05834448756279778
20418, 22168, 0.05730024087769028
1342, 1751, 0.05703855501610086
14145, 18440, 0.05702917192859186
19324, 20285, 0.05561638041509195
1342, 2007, 0.05521295784827386
20406, 23070, 0.05351106989457311
6136, 7471, 0.05104811949294934
20406, 22469, 0.047724679564025284
276, 554, 0.04755822270386818
7703, 8218, 0.04492913789922229
19378, 20285, 0.04482824101598687
276, 557, 0.04389410465030712
1342, 7471, 0.043576097068938516
276, 750, 0.04234911479695072
9789, 10795, 0.04216068770389714
9789, 14087, 0.04183588713658293
20406, 22448, 0.04144980030580494
10906, 18440, 0.04109510838534271
22493, 23275, 0.04085772269745187
22493, 23822, 0.038872287751971595
18822, 20285, 0.03830312179485776
22493, 22733, 0.037511072332967826
20406, 23275, 0.037495197008281154
20406, 23822, 0.03748737475966231
18561, 19242, 0.03739561832361751
9789, 13662, 0.03473775149502315
22894, 23070, 0.03323400990724611
16244, 18440, 0.03281897363796302
9789, 16122, 0.03281897363796302
2104, 5934, 0.032484396139655945
22493, 23446, 0.0318904823097982
13785, 18440, 0.031625563689121165
699, 1188, 0.03101405895027959
23447, 23822, 0.030124955537881762
1807, 5934, 0.029799463550526917
20406, 23446, 0.029582499820677923
722, 820, 0.029303877777308352
2104, 6797, 0.02864213213549099
23227, 23446, 0.028055359961128852
127, 1188, 0.027645159796350786
20406, 22733, 0.026888497772812586
2104, 6041, 0.02677876147112676
20418, 23070, 0.026274954941307223
276, 383, 0.02614516203630929
23227, 23822, 0.026123117226952267
1549, 5934, 0.02590912475574495
6136, 9587, 0.02499250781775324
18561, 18732, 0.02455053439527823
1807, 6041, 0.02433980046477163
20406, 21613, 0.024236876790901328
19434, 20285, 0.023889089233103403
20418, 22469, 0.023234636364532928
276, 698, 0.022576657228415502
2104, 7471, 0.0217067762458123
1807, 6797, 0.02169941021901267
20406, 20539, 0.021577863201693363
1549, 6041, 0.021452666412105404
722, 5934, 0.021359883297506013
