Gene = hoip
index = 1729
Annotated 5SS: [147]
Annotated 3SS: [208]
SMsplice 5SS: [147]
SMsplice 3SS: [208]
length: 669
Partition function (logZ) = -2.941900599188532
#Introns = 532
5SS, 3SS, prob
147, 208, 0.9986761833443267
123, 208, 0.0006147211227236358
117, 208, 0.000214916690873815
91, 208, 0.0001320787334044837
449, 500, 0.00010783929295419284
161, 208, 0.00010472991144761532
147, 229, 6.224837522985427e-05
375, 463, 4.619502254785481e-05
147, 283, 3.508551147627474e-05
147, 214, 3.14094151628788e-05
147, 253, 3.119396218331666e-05
151, 208, 2.7135006063329275e-05
418, 463, 2.46025045524576e-05
147, 191, 2.001920710648372e-05
11, 71, 1.8478928452993857e-05
362, 463, 1.7392534899528186e-05
218, 283, 1.308119445726482e-05
147, 463, 1.2703402322653992e-05
375, 460, 1.209051649161128e-05
418, 500, 9.454458369073937e-06
365, 463, 8.091738387372161e-06
53, 117, 7.223878305584405e-06
375, 500, 7.035316706240483e-06
147, 265, 6.151246023800939e-06
71, 208, 5.3928511416715965e-06
362, 460, 4.244270999992092e-06
434, 500, 3.846657298560086e-06
362, 500, 3.2153893663918806e-06
147, 500, 3.2108240238132383e-06
147, 460, 2.934981426128956e-06
147, 287, 2.6730004267857892e-06
31, 208, 2.6620634179643615e-06
11, 208, 2.556739223684486e-06
474, 531, 2.4914371287263748e-06
53, 208, 2.4337293345677937e-06
474, 600, 2.3749440216648178e-06
365, 460, 1.9485322988286774e-06
71, 117, 1.8466834110055757e-06
418, 460, 1.8003004349348087e-06
443, 500, 1.6917893066640508e-06
375, 430, 1.6148609078987457e-06
541, 600, 1.5491174522629344e-06
365, 500, 1.4241349854939132e-06
123, 191, 1.346442945472871e-06
33, 208, 1.255700009989174e-06
147, 313, 1.1158656227870694e-06
177, 229, 1.0833338363455564e-06
31, 117, 9.789417860625003e-07
362, 430, 7.733233332720597e-07
474, 565, 7.702732499866724e-07
218, 287, 7.260139136791992e-07
177, 253, 6.577844915809502e-07
11, 117, 5.523414888156838e-07
449, 600, 5.480367046762774e-07
33, 117, 5.340660262770151e-07
474, 526, 4.696046384661953e-07
91, 138, 4.2814849874454173e-07
365, 430, 4.2629195235381167e-07
218, 265, 3.364684804918571e-07
117, 191, 3.003305878214754e-07
218, 463, 2.4509578112568745e-07
71, 123, 2.3878788873231477e-07
375, 600, 2.2831162406539706e-07
161, 229, 2.1433921309494464e-07
474, 568, 1.9674630713059176e-07
177, 283, 1.8666110467971878e-07
123, 283, 1.862051347042389e-07
123, 253, 1.7343558053120062e-07
449, 565, 1.7181233110502246e-07
123, 229, 1.565119803961203e-07
191, 253, 1.5013676909468732e-07
147, 600, 1.449720753120813e-07
362, 424, 1.4153763230643259e-07
418, 600, 1.4088103402766793e-07
474, 535, 1.3760602317105968e-07
53, 123, 1.2785680902100094e-07
474, 624, 1.243195725106694e-07
362, 600, 1.229706222174495e-07
474, 562, 1.1397616110161685e-07
453, 500, 1.1304211105973964e-07
449, 531, 1.1059126199290377e-07
71, 138, 1.025998645602106e-07
147, 218, 1.0201537584471206e-07
11, 76, 9.688414927337584e-08
123, 463, 7.345281256694072e-08
117, 253, 7.283119694765724e-08
117, 283, 7.26208436938806e-08
474, 607, 7.258275584005241e-08
117, 229, 7.256679247970768e-08
375, 424, 6.996729540401263e-08
11, 79, 6.714683252039526e-08
218, 500, 6.490468519515883e-08
449, 526, 6.476500556281487e-08
177, 463, 6.063214285291053e-08
365, 424, 6.008393047057607e-08
91, 283, 5.983089447398635e-08
218, 460, 5.3362944837812313e-08
147, 430, 5.329955996290028e-08
375, 565, 5.224323724743831e-08
91, 253, 5.190225899141985e-08
365, 600, 5.124002569727126e-08
91, 229, 5.012334407604581e-08
91, 191, 4.8940654396438786e-08
449, 568, 4.764517095151572e-08
218, 313, 4.5835507695335295e-08
177, 265, 4.2637766895362555e-08
541, 607, 4.197680780204666e-08
478, 600, 3.861856237761919e-08
147, 565, 3.8312121838646846e-08
31, 104, 3.663749821916752e-08
91, 463, 3.5385920171709974e-08
418, 565, 3.391323540494375e-08
449, 624, 3.372739708900782e-08
117, 463, 3.338679995752154e-08
53, 104, 3.215184832170914e-08
91, 165, 3.177458670052832e-08
161, 253, 2.974168529341841e-08
362, 565, 2.9540937301477524e-08
161, 283, 2.8625411359648067e-08
123, 265, 2.7732377726371007e-08
91, 151, 2.4916260249665777e-08
478, 531, 2.4759079245032307e-08
117, 165, 2.3978772573823955e-08
31, 123, 2.347686886774156e-08
33, 104, 2.2594272049796347e-08
123, 500, 2.2585732882085935e-08
449, 562, 2.2194008433504987e-08
31, 79, 2.072589652475132e-08
123, 214, 2.0421724354657056e-08
449, 607, 1.938999277310929e-08
375, 531, 1.7831318528654602e-08
11, 123, 1.7022239403397064e-08
375, 624, 1.6922203210558378e-08
161, 214, 1.684420214639628e-08
123, 460, 1.5911463559511535e-08
474, 547, 1.5454151528228922e-08
191, 283, 1.538577798583103e-08
177, 287, 1.4858261004130363e-08
375, 568, 1.4027104525045508e-08
478, 565, 1.3732281856188393e-08
147, 624, 1.3636058055068251e-08
123, 287, 1.3393162479931763e-08
418, 531, 1.3299114592495295e-08
177, 460, 1.327110209533416e-08
541, 624, 1.3076933201654444e-08
177, 500, 1.2601070417086012e-08
365, 565, 1.2070681551191922e-08
33, 123, 1.1971015613597197e-08
117, 265, 1.1672729853412799e-08
147, 531, 1.1210937309338545e-08
147, 568, 1.0290310529373883e-08
418, 624, 1.0195547887468087e-08
117, 500, 9.440831949594673e-09
31, 76, 9.33331522826975e-09
418, 568, 9.147057095330677e-09
191, 265, 9.139702280492122e-09
434, 600, 8.915509410009437e-09
161, 463, 8.67940014625904e-09
362, 568, 8.517308428271371e-09
91, 265, 8.509781429299839e-09
117, 214, 8.01675837392239e-09
362, 624, 7.876061382104517e-09
91, 500, 7.853448604755086e-09
362, 531, 7.82219502506599e-09
91, 460, 7.618070559702633e-09
117, 460, 7.518551113411819e-09
11, 104, 7.4500340593549485e-09
375, 607, 7.370079308880685e-09
53, 138, 7.20548932599074e-09
375, 562, 7.147032372615948e-09
123, 165, 6.987521324266993e-09
177, 313, 6.696758634176733e-09
123, 313, 6.664209531049855e-09
147, 424, 6.166807953660679e-09
375, 526, 5.785858142053957e-09
33, 79, 5.560827251858949e-09
117, 287, 5.553526743237207e-09
91, 214, 5.504260848971355e-09
147, 394, 5.232541748665507e-09
147, 562, 5.2048421535225745e-09
31, 138, 4.787595460130882e-09
91, 287, 4.702297888117798e-09
11, 138, 4.700935412238266e-09
418, 562, 4.6989501405327775e-09
147, 607, 4.61830059695639e-09
418, 607, 4.549199404374549e-09
362, 607, 4.474934674260086e-09
485, 600, 4.4122824113489535e-09
418, 526, 4.362221976211683e-09
443, 600, 4.164051371363553e-09
449, 535, 4.084300548854127e-09
147, 526, 4.061414974379547e-09
161, 265, 4.017227912433521e-09
362, 562, 3.765485750886451e-09
218, 600, 3.698960127610575e-09
512, 565, 3.6851063812604495e-09
71, 283, 3.664105938582632e-09
365, 568, 3.475226609006527e-09
365, 531, 3.47125656450227e-09
365, 624, 3.400279553851192e-09
478, 568, 3.3564097850064993e-09
191, 463, 3.202621367437614e-09
418, 485, 3.1544909695989265e-09
474, 584, 3.1400566913536045e-09
478, 526, 2.9985269565255487e-09
117, 313, 2.9354142744701276e-09
362, 526, 2.926872580873481e-09
151, 229, 2.8811366788131546e-09
434, 565, 2.7411699811078387e-09
485, 565, 2.6509590647374566e-09
91, 313, 2.5905966219311664e-09
474, 541, 2.5756381592966133e-09
512, 600, 2.560475860446415e-09
71, 253, 2.498816612900781e-09
71, 229, 2.3921171176844975e-09
147, 334, 2.3156181160942382e-09
71, 191, 2.301524375929567e-09
33, 138, 2.275967623316802e-09
478, 562, 2.1841970269306096e-09
33, 76, 2.1806951694417614e-09
161, 287, 2.15296420476197e-09
11, 283, 2.041260992390062e-09
161, 500, 2.031738595107203e-09
478, 624, 1.9706001524126015e-09
161, 460, 1.967329056593182e-09
31, 283, 1.9389372050354147e-09
478, 535, 1.8805578002833835e-09
365, 607, 1.857516197714816e-09
117, 172, 1.5870377578408252e-09
71, 463, 1.5631050236377926e-09
365, 562, 1.5629813318949186e-09
453, 600, 1.5365454530284925e-09
31, 253, 1.5267635882541802e-09
11, 253, 1.5147824742672602e-09
512, 568, 1.450539864303776e-09
53, 283, 1.431838961997266e-09
11, 229, 1.4307703055087767e-09
365, 526, 1.3548390806253114e-09
151, 214, 1.2521301851717039e-09
31, 229, 1.2321194254414087e-09
123, 172, 1.2311493247924282e-09
443, 565, 1.2123351253174253e-09
53, 253, 1.1815388413933984e-09
478, 607, 1.1704677260647391e-09
123, 600, 1.1692894437158918e-09
151, 283, 1.1281262620913674e-09
191, 287, 1.114504053916381e-09
218, 430, 1.109663789482229e-09
31, 463, 1.0997209986657284e-09
434, 531, 1.0747726832750642e-09
31, 191, 1.0416445235219597e-09
151, 253, 1.034157118470542e-09
53, 229, 1.0028521233471715e-09
33, 283, 9.534581396998157e-10
11, 191, 9.34377413024395e-10
53, 191, 9.027692197906961e-10
191, 500, 8.725126583125467e-10
375, 535, 8.612968782468573e-10
161, 313, 8.567238966855839e-10
449, 547, 8.561079056955257e-10
11, 463, 8.473579751155884e-10
449, 584, 8.38435239071028e-10
53, 463, 8.11715160889336e-10
33, 253, 7.743379211855814e-10
177, 600, 7.693448951281035e-10
474, 589, 7.376479524817695e-10
434, 568, 7.263412156945829e-10
191, 460, 6.929248788661493e-10
218, 565, 6.800390224754948e-10
418, 535, 6.771636439391387e-10
434, 624, 6.209401216279052e-10
117, 600, 5.868356766651281e-10
33, 229, 5.864532919883351e-10
500, 565, 5.850715626999737e-10
485, 531, 5.577207737574738e-10
485, 568, 5.531271698213044e-10
147, 535, 5.436736966069536e-10
443, 531, 5.412842820674686e-10
33, 191, 5.123086107082306e-10
91, 600, 5.095803078440326e-10
33, 463, 5.058417363420145e-10
485, 562, 4.97852830658854e-10
147, 385, 4.816378585684099e-10
191, 313, 4.723448310915273e-10
453, 531, 4.629241961489857e-10
453, 565, 4.5512254171877525e-10
71, 265, 4.27795149302163e-10
375, 485, 4.183935222287266e-10
434, 526, 4.137268611936707e-10
71, 500, 4.0416675988493577e-10
151, 463, 4.0175176577204606e-10
362, 535, 3.925244408444375e-10
478, 547, 3.833405968551105e-10
434, 562, 3.789141349508936e-10
71, 165, 3.685626187442907e-10
71, 460, 3.573385958557021e-10
375, 584, 3.5235750419705104e-10
11, 500, 3.447334037165839e-10
123, 430, 3.232499550543612e-10
443, 568, 3.2039748074386604e-10
453, 526, 2.961105438868433e-10
434, 607, 2.9249067580090217e-10
71, 287, 2.905243316640458e-10
512, 562, 2.819989077968824e-10
11, 265, 2.6780122674598577e-10
53, 265, 2.565598759388091e-10
31, 265, 2.561535385926888e-10
443, 624, 2.534239897385535e-10
91, 172, 2.523325878097617e-10
147, 584, 2.513749653375344e-10
443, 526, 2.4950833081662977e-10
485, 624, 2.42512820980867e-10
218, 624, 2.395922318832263e-10
31, 500, 2.341289680189964e-10
362, 485, 2.3354381889614273e-10
31, 460, 2.299262466072173e-10
123, 565, 2.2034410779596903e-10
375, 547, 2.1889711477067303e-10
71, 214, 2.1870413910053325e-10
177, 430, 2.129537155935331e-10
218, 531, 2.0835707984634005e-10
71, 151, 2.0081705337527526e-10
500, 600, 1.9679584877681148e-10
11, 460, 1.933729380077444e-10
218, 568, 1.909215314394345e-10
474, 574, 1.8877643755928786e-10
418, 547, 1.8323003695739426e-10
151, 265, 1.829087590882301e-10
53, 460, 1.7802093119680028e-10
147, 485, 1.7713532514117293e-10
449, 589, 1.7651772394402725e-10
177, 565, 1.756521785760389e-10
418, 584, 1.7499897581759568e-10
362, 584, 1.716366524248234e-10
53, 500, 1.7017591838582145e-10
443, 562, 1.6521117997924038e-10
11, 287, 1.6427821475607246e-10
365, 535, 1.642087811795786e-10
147, 547, 1.5871313615894031e-10
31, 165, 1.5184200950243075e-10
117, 430, 1.46422632740795e-10
485, 607, 1.4630110790195123e-10
31, 287, 1.4515457978188516e-10
53, 165, 1.3827860091271983e-10
11, 165, 1.3207534121111677e-10
71, 313, 1.308786152929557e-10
161, 218, 1.2987938048804408e-10
453, 568, 1.29527432871922e-10
362, 547, 1.2786187265086392e-10
218, 424, 1.2670986778461483e-10
500, 568, 1.2485830366233306e-10
161, 600, 1.2431600710759636e-10
443, 607, 1.2298540823581044e-10
33, 265, 1.2294468429465666e-10
147, 325, 1.1881984772235052e-10
11, 214, 1.185431896331871e-10
31, 214, 1.1843560003933957e-10
434, 485, 1.1783488693933592e-10
218, 607, 1.1574042540352345e-10
91, 430, 1.1427487028067804e-10
53, 287, 1.1403509926430798e-10
512, 624, 1.1237969507889172e-10
33, 500, 1.0704166037525867e-10
33, 460, 1.0630464449784898e-10
365, 485, 1.0287047047636832e-10
53, 214, 1.019048132702985e-10
123, 624, 1.0177885080754728e-10
218, 394, 1.0127786554254888e-10
541, 589, 9.39828281354256e-11
151, 500, 9.33700837612708e-11
91, 565, 9.317113088999351e-11
218, 562, 9.082341566367375e-11
151, 460, 9.028535142865434e-11
500, 562, 8.967503521657782e-11
453, 624, 8.955358979934347e-11
117, 565, 8.941489691098748e-11
449, 541, 8.35215097140401e-11
541, 584, 8.295235681482761e-11
375, 589, 8.186723453901521e-11
485, 535, 7.948800853908799e-11
365, 584, 7.927387062074053e-11
485, 547, 7.179672873224902e-11
218, 526, 7.173542077195705e-11
512, 607, 6.985633775433771e-11
123, 531, 6.633454683811953e-11
453, 562, 5.896917566789517e-11
123, 568, 5.633461705167361e-11
365, 547, 5.475544332423105e-11
453, 607, 5.217874465697835e-11
449, 574, 4.988517532861483e-11
147, 589, 4.896923319100247e-11
177, 624, 4.8297632938350585e-11
478, 584, 4.824726235948989e-11
177, 568, 4.748631559138029e-11
191, 600, 4.7372795250055806e-11
123, 607, 4.427996765015634e-11
91, 624, 4.410900303317526e-11
117, 624, 4.4091938777478464e-11
418, 589, 3.7608872423607866e-11
31, 83, 6.710369506393933e-12
11, 83, 5.7280888818722685e-12
33, 83, 2.1814151468108333e-12
31, 90, 8.890559738929205e-13
33, 90, 3.8894916994283463e-13
11, 90, 1.5988135743119402e-13
31, 151, 1.5893108550191303e-13
53, 151, 1.4464777736626765e-13
11, 151, 1.2395445413802002e-13
31, 88, 8.42711028400119e-14
33, 151, 7.688719564377385e-14
33, 88, 3.403795175112247e-14
151, 287, 2.817703778159649e-14
11, 313, 2.711044260165527e-14
31, 313, 2.68954781910936e-14
123, 218, 2.583838744205629e-14
33, 287, 2.3894253412609904e-14
11, 88, 2.108093395526276e-14
33, 165, 1.9716069858571648e-14
218, 334, 1.6958113877563682e-14
53, 313, 1.681198754619079e-14
33, 214, 1.6115086931770085e-14
147, 317, 1.3908116934481169e-14
33, 313, 1.265051238784761e-14
151, 313, 1.124682995533066e-14
117, 218, 1.0010633988478039e-14
123, 174, 9.805118277725526e-15
117, 174, 9.716770082475191e-15
91, 218, 7.254395162436092e-15
123, 334, 3.83928487438122e-15
177, 334, 3.021559983296896e-15
123, 394, 2.8250125435044918e-15
177, 394, 2.4243841247187906e-15
117, 334, 1.7286758405770394e-15
123, 424, 1.45014279728776e-15
71, 172, 1.4403930299328066e-15
151, 218, 1.3370074849421882e-15
117, 394, 1.3140319568217329e-15
91, 334, 1.2812149072881988e-15
91, 394, 1.1658239906576544e-15
161, 430, 1.1450371740261655e-15
91, 174, 1.0867260893470274e-15
177, 424, 1.0337158777170509e-15
218, 385, 9.923336058482456e-16
218, 325, 8.259942644519994e-16
53, 172, 6.78663320888177e-16
117, 424, 6.742515242995406e-16
31, 172, 6.569502872308391e-16
11, 172, 6.077755326084504e-16
91, 424, 4.857248325805772e-16
191, 430, 4.3521433930737143e-16
161, 334, 3.647254689608242e-16
33, 172, 3.2210744866877995e-16
71, 218, 2.893690133847711e-16
161, 394, 2.866130620551346e-16
123, 385, 2.770372383286643e-16
177, 385, 2.7192589742695933e-16
71, 430, 2.402067063042316e-16
191, 334, 1.7913794396640275e-16
123, 325, 1.7907772603111785e-16
11, 218, 1.7567477168631468e-16
31, 218, 1.6262845842110786e-16
177, 325, 1.5198607662142409e-16
11, 430, 1.4672996306750893e-16
91, 385, 1.432466000869514e-16
117, 385, 1.4133201893985136e-16
31, 430, 1.4064317478589566e-16
161, 424, 1.3021665028542354e-16
53, 430, 1.295467038782979e-16
191, 394, 1.2795209272342257e-16
53, 218, 1.2770476683471516e-16
218, 317, 1.232366002709912e-16
117, 325, 8.887672062660393e-17
123, 317, 8.394272263195138e-17
177, 317, 8.315732988469924e-17
33, 218, 7.921370396803034e-17
33, 430, 6.760541295941441e-17
91, 325, 6.154475524478838e-17
71, 334, 5.696266084134772e-17
151, 430, 5.533538675043194e-17
191, 424, 5.3878554533456704e-17
71, 394, 5.161867936862999e-17
31, 334, 4.504867303055923e-17
31, 394, 4.158103647958611e-17
11, 394, 4.115650532933539e-17
117, 317, 3.930850171007306e-17
