Gene = GeneID_692356
index = 53
Annotated 5SS: [ 183  488 1573 1909 3146]
Annotated 3SS: [ 367 1307 1791 2969 3620]
SMsplice 5SS: [ 109  488 1573 1909 3146]
SMsplice 3SS: [ 367 1307 1791 2969 3620]
length: 3885
Partition function (logZ) = 9.60174091302146
#Introns = 2126
5SS, 3SS, prob
3146, 3620, 0.9518571203937156
1573, 1791, 0.7142248956461834
488, 1307, 0.6392913029459855
1909, 2969, 0.606411626795812
109, 367, 0.4771853097758753
183, 367, 0.4161620495048693
488, 1129, 0.1752484286667435
1909, 2429, 0.16819823544042217
2584, 2969, 0.12168591232476117
1259, 1791, 0.11586494725647077
488, 1791, 0.11282447051933288
1909, 2990, 0.10536610669994272
1216, 1307, 0.0461485841874509
2889, 2969, 0.04217132705515948
1573, 1800, 0.029733642589884684
2584, 2990, 0.022132260271297242
1909, 2583, 0.021068648962768066
273, 367, 0.019300565491039444
3146, 3642, 0.01762976673523058
1909, 2972, 0.017256124855115934
488, 1010, 0.015657475496237777
1909, 2769, 0.014502120748987055
488, 1410, 0.014031213403954778
1887, 2969, 0.01169340684003049
488, 1107, 0.011109435737022392
2882, 2969, 0.010498175282818677
1216, 1791, 0.008775743305115795
2330, 2969, 0.008191343345676628
1909, 2126, 0.008131943184023039
3103, 3620, 0.00751363161065991
56, 367, 0.0067020466997383
488, 1077, 0.005611750429307147
1259, 1410, 0.005282351237928741
2889, 2990, 0.005257886999116366
1909, 2460, 0.0050641218057256455
1259, 1800, 0.004796184502405619
1909, 2180, 0.004766293130967906
488, 1800, 0.004548654047945465
1909, 3620, 0.004354878382057812
2605, 2969, 0.004119730755817386
1909, 2198, 0.004077710777558265
183, 345, 0.0039060367127908857
2646, 2969, 0.0038840050276787836
109, 345, 0.0038790205437317575
2344, 2969, 0.0036284417859780284
2584, 2972, 0.003488484009052957
1909, 2737, 0.0034343426591425
1887, 2429, 0.0033074234422398848
488, 1384, 0.003265861001976486
1909, 2487, 0.0032519849343675055
2826, 2969, 0.0031630963373630618
1909, 2937, 0.003142885266286009
488, 1472, 0.003044442381663581
3195, 3620, 0.003012419438130639
229, 367, 0.0026966440399312027
113, 367, 0.0026936330151209305
2330, 2429, 0.002255309275633912
1573, 2969, 0.00199907990364357
1887, 2990, 0.0019373372164866794
183, 342, 0.001906317187403281
109, 342, 0.0018557134861712339
3351, 3620, 0.0016085144312273836
3146, 3626, 0.001602695432146276
2584, 2769, 0.0015868941611249905
1259, 1384, 0.0015395195616921763
2584, 3620, 0.0015389469528268624
3150, 3620, 0.0014759381621772026
2330, 2990, 0.001452521609115555
105, 367, 0.0014251660884117786
2344, 2429, 0.0013331422340603465
1909, 2391, 0.0012870683161061319
1259, 1472, 0.0012175663995183737
2889, 2972, 0.0012110473215781166
488, 1147, 0.0012046046418610569
3146, 3381, 0.0011981414076474989
488, 1166, 0.0011623383212584887
183, 1307, 0.0011558478358595075
1934, 2969, 0.0011378574603588482
3146, 3459, 0.0010856187708079125
3540, 3620, 0.001083245612853985
2544, 2969, 0.0010819448356862312
1909, 2211, 0.0010743909596317993
2882, 2990, 0.0010679794726976106
488, 1414, 0.0010608541759999513
2574, 2969, 0.0010491439256213645
1909, 2106, 0.0010247343200483483
109, 399, 0.0009395642606223991
1370, 1791, 0.0009391466849638817
3146, 3434, 0.000899033206887036
109, 1307, 0.0008653726526302537
1909, 2705, 0.0008234285865566006
187, 367, 0.0008221881124971406
1573, 2429, 0.000789817575814338
488, 1258, 0.0007726183607879148
183, 399, 0.0007642349907976139
1210, 1307, 0.0007619649645788032
2605, 2990, 0.0007315925091866309
109, 415, 0.0006895739615957627
2646, 2990, 0.0006821687425268701
1201, 1307, 0.0006686987244531491
488, 1505, 0.0006605152625482284
488, 1353, 0.0006493345716884692
536, 1307, 0.0006456656428335143
2344, 2990, 0.0006441738891459089
1259, 1353, 0.0006345395298556137
2684, 2969, 0.0006259451903030572
488, 1448, 0.0006182233467547011
3237, 3620, 0.0006107637552852839
2212, 2969, 0.0005997880383083528
3091, 3620, 0.0005981501703757275
2584, 2937, 0.0005851448676445289
488, 1424, 0.0005776274911999979
3080, 3620, 0.0005737408359000023
488, 1180, 0.0005431949735391566
1573, 1813, 0.0005366064844701954
183, 415, 0.0005351174064952434
2826, 2990, 0.0005243346067800349
