Gene = Rnmt
index = 1430
Annotated 5SS: [1280]
Annotated 3SS: [1336]
SMsplice 5SS: [1280]
SMsplice 3SS: [1336]
top_k =  500
Partition function (log Z): -5.1736836690661345

Sorted 5' Splice Sites (High to Low Probability):
Position 1280: 0.9761420907611902
Position 1561: 0.13372965380089324
Position 1535: 0.12768015655922496
Position 1671: 0.039680712175028006
Position 917: 0.03136867127868497
Position 1207: 0.018762809358447336
Position 211: 0.015187735787020254
Position 711: 0.006211857066292525
Position 1239: 0.004220603119861197
Position 1440: 0.0038410427454516833
Position 1539: 0.0029285392554549393
Position 1483: 0.0018443652619033223
Position 749: 0.0014840417235983223
Position 1549: 0.0013868669868679225
Position 215: 0.0011057798737963995
Position 1458: 0.0009025115390895506
Position 42: 0.0008974139959178755
Position 639: 0.0008313167520751138
Position 1243: 0.0006681276400789418
Position 1348: 0.0006500755194603339
Position 1401: 0.0005178649022073097
Position 927: 0.0005078337784750708
Position 1067: 0.00046104985420824304
Position 444: 0.0004606862089618054
Position 377: 0.0003776986746357063
Position 384: 0.000318824730744759
Position 981: 0.0002562788301895689
Position 479: 0.00023150210436176914
Position 1045: 0.00021956197604074623
Position 1161: 0.00020962638983494642
Position 694: 0.00020180033020529673
Position 585: 0.00019849374015748795
Position 1165: 0.0001558635244083476
Position 328: 0.00015246958765256885
Position 657: 0.0001243867093194479
Position 583: 0.00011040832432306217
Position 1565: 0.00010479380215468859
Position 1735: 0.00010392695950048545
Position 589: 9.83300945816147e-05
Position 1684: 7.278451224818022e-05
Position 521: 4.281187646139863e-05
Position 1464: 3.615491815051856e-05
Position 46: 3.310276064139474e-05
Position 669: 2.8768338284572107e-05
Position 1211: 2.480701795231088e-05
Position 753: 1.994180117580128e-05
Position 231: 1.553665810433444e-05
Position 1569: 1.2517078269190986e-05
Position 266: 9.574900175824731e-06
Position 331: 9.204476264012608e-06
Position 821: 8.854891680349692e-06
Position 493: 7.57283998975635e-06
Position 1583: 6.650960742451885e-06
Position 1284: 6.147790804934449e-06
Position 597: 6.108139863090854e-06
Position 1747: 3.337179640640783e-06
Position 83: 9.816665026817197e-07
Position 1197: 2.75797787314191e-07
Position 1027: 2.755899963719594e-07
Position 504: 2.7322178905410485e-07
Position 186: 2.3430899951117558e-07
Position 777: 2.1115116480840866e-07
Position 139: 1.9778844427078817e-07
Position 1020: 1.0263287367232453e-07
Position 742: 2.6430455895578892e-08
Position 744: 1.4938203033880252e-08
Position 833: 9.621599938263406e-09
Position 147: 6.74181905225512e-10
Position 117: 2.961879584259798e-10
Position 450: 2.5788667013069146e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1336: 0.9209178140659345
Position 1608: 0.13829938297375477
Position 1582: 0.11270854328967969
Position 1777: 0.0595338936900406
Position 1362: 0.04037307436239729
Position 1613: 0.032981816587623544
Position 1110: 0.018346081860209067
Position 981: 0.007187661532131139
Position 1143: 0.006516100529345737
Position 1221: 0.0042398242034017335
Position 1027: 0.003951735433620436
Position 814: 0.002996900859157913
Position 732: 0.0027361559199451267
Position 1323: 0.002354033673573209
Position 753: 0.0022844072532844308
Position 1446: 0.0015665313812890614
Position 847: 0.0014885670151987202
Position 1074: 0.0013930438877013441
Position 1520: 0.001268006403152887
Position 1714: 0.0012463012910274589
Position 1170: 0.0011878820837197134
Position 1050: 0.0011451524783961775
Position 777: 0.0011440836842839582
Position 491: 0.001119863687113439
Position 1276: 0.000959173458936237
Position 109: 0.0007114011645759661
Position 1747: 0.0006427239103535445
Position 1790: 0.0005744977897788777
Position 456: 0.0005309692760596971
Position 543: 0.0005245623327056692
Position 694: 0.000445029489254727
Position 789: 0.0003774148063669155
Position 1640: 0.0003146538848573086
Position 274: 0.0002923262167786277
Position 881: 0.0002705167748032923
Position 540: 0.00022826920157491235
Position 999: 0.00022127407740325615
Position 987: 0.00019117540799978402
Position 1058: 0.00018654937861031844
Position 793: 0.00015907587411909094
Position 1497: 0.00012443549438191756
Position 1273: 0.00012220803113550174
Position 465: 9.045193268376536e-05
Position 1083: 9.036444373758614e-05
Position 1161: 8.185132456358669e-05
Position 1751: 7.870546841281072e-05
Position 1176: 7.492612976135561e-05
Position 1506: 6.442412202609168e-05
Position 462: 5.560948067404287e-05
Position 1559: 4.9102684228653904e-05
Position 932: 4.075911831414759e-05
Position 627: 3.5562780985820864e-05
Position 1472: 3.18892854959285e-05
Position 1020: 2.7611814321492897e-05
Position 976: 1.781197972985577e-05
Position 136: 1.3871470230649581e-05
Position 271: 1.3454131733323438e-05
Position 1538: 1.3059294535428151e-05
Position 582: 9.762023554925208e-06
Position 426: 7.505890987385385e-06
Position 1483: 7.118548881911613e-06
Position 139: 5.039594557296183e-06
Position 597: 3.536781243695775e-06
Position 516: 2.4311383794011907e-06
Position 255: 2.361445542147192e-06
Position 308: 1.7821494958145974e-06
Position 669: 1.0032074974771013e-07
Position 657: 3.736998580266945e-08
Position 493: 2.6204955678231577e-09
Position 615: 2.247273846575442e-09
Position 404: 1.916698254231487e-09
Position 282: 5.51431594042467e-12
Position 360: 4.309141906827561e-12
Position 351: 4.03987259737531e-12
