Gene = Golgin104
index = 1193
Annotated 5SS: [ 832 1119 1242 1459 1663 1927]
Annotated 3SS: [ 998 1177 1303 1519 1745 2140]
SMsplice 5SS: [ 832 1119 1242 1459 1663 1927]
SMsplice 3SS: [ 998 1177 1303 1519 1745 2140]
top_k =  100
Partition function (log Z): 15.598448494678797

Sorted 5' Splice Sites (High to Low Probability):
Position 1459: 0.9988342353868653
Position 1663: 0.9977607016331606
Position 832: 0.9885196543025973
Position 1927: 0.9864226840331073
Position 1119: 0.8638050417709237
Position 1242: 0.6004270398382033
Position 173: 0.03906567863195839
Position 2076: 0.0355101742548809
Position 418: 0.02390367123296439
Position 539: 0.0185271380514236
Position 58: 0.006888353148202121
Position 836: 0.005046013470361079
Position 24: 0.004618333643799912
Position 358: 0.004605305135722376
Position 1877: 0.0035098813669329435
Position 2060: 0.002399257068905265
Position 3085: 0.002332932686261034
Position 1679: 0.0018605349484491398
Position 383: 0.0016841864428320042
Position 757: 0.0016240802039073367
Position 1937: 0.0012244088220752804
Position 787: 0.001102760379644712
Position 74: 0.0006778359466580778
Position 1076: 0.0005416733229177289
Position 813: 0.00031558791979849387
Position 1468: 0.0002748965914337838
Position 1178: 0.00023651474411652635
Position 271: 0.00019448565393798356
Position 282: 0.00011232866787811139
Position 1667: 0.00010721726966916322
Position 1277: 5.775596214488233e-05
Position 44: 4.7925922037712544e-05
Position 1037: 2.075846606034872e-05
Position 1647: 1.4721269849453775e-05
Position 1054: 7.791910239092877e-06
Position 47: 2.5584204721817827e-06
Position 1931: 1.5262973876468977e-06
Position 223: 1.2740942515268395e-06
Position 1970: 9.253646965026653e-07
Position 525: 5.854114425054944e-07
Position 1837: 4.30939881773915e-07
Position 163: 4.200656061013704e-07
Position 346: 3.975208383346983e-07
Position 1578: 5.975938828456782e-09
Position 801: 1.7344340351051716e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1745: 0.9906671270381741
Position 1519: 0.9786635596760807
Position 2140: 0.9248360784523897
Position 1177: 0.8502602804047377
Position 998: 0.7032827719245539
Position 1303: 0.6135749972938626
Position 956: 0.28602696535209776
Position 1995: 0.07353676602365561
Position 456: 0.03658583175222479
Position 582: 0.030487230453526346
Position 2146: 0.026779151149633185
Position 1528: 0.015475902124944155
Position 1773: 0.009049590584069553
Position 555: 0.00546475542694643
Position 88: 0.004663418257697302
Position 609: 0.004592916918398324
Position 126: 0.004227054906605947
Position 1327: 0.0035633422881690725
Position 1184: 0.0029035092487647673
Position 492: 0.002791053307492707
Position 1574: 0.002575037840553402
Position 2110: 0.0023029773797710474
Position 3142: 0.002211637080758168
Position 1361: 0.0021466819928393868
Position 252: 0.002140583796192847
Position 1577: 0.0019567850537991803
Position 2948: 0.0016137002581147353
Position 121: 0.0015947948081922439
Position 612: 0.0013610696816866222
Position 255: 0.0012634365860258064
Position 606: 0.0011724392524145846
Position 1305: 0.0007749423315804484
Position 1047: 0.0006187477893260337
Position 588: 0.00048057703629685353
Position 924: 0.00041132194007516276
Position 1353: 0.00039357107146151303
Position 558: 0.00024499932542258225
Position 304: 0.00021764682623560136
Position 1753: 0.00019974483721254155
Position 1365: 0.00015894405165550377
Position 1540: 0.00015240354504423822
Position 525: 0.00014276440059168155
Position 3175: 0.00012129560550286489
Position 396: 9.942224581177039e-05
Position 1008: 9.238356421705456e-05
Position 933: 8.930647668276051e-05
Position 1012: 7.271019326081971e-05
Position 405: 6.999944178786594e-05
Position 1785: 4.7696810188729553e-05
Position 1612: 2.981794489581994e-05
Position 1587: 2.717835438845424e-05
Position 1398: 2.6647839300338418e-05
Position 1556: 2.6148287548156524e-05
Position 1617: 1.874228875038225e-05
Position 297: 6.10957965781551e-07
Position 1899: 2.2967790697154732e-07
Position 1893: 2.0126197480236705e-07
Position 1921: 1.8394442199309122e-07
