Gene = PCP4L1
index = 1004
Annotated 5SS: [  257 24996]
Annotated 3SS: [24940 25611]
SMsplice 5SS: [  257 24996 25317]
SMsplice 3SS: [24746 25212 25611]
top_k =  1000
Partition function (log Z): -16.451862198627925

Sorted 5' Splice Sites (High to Low Probability):
Position 257: 0.8356080013416934
Position 2436: 0.46742609129697343
Position 533: 0.3340405379486431
Position 782: 0.28225261810855007
Position 1066: 0.19887070850910923
Position 6857: 0.13763967284318557
Position 6518: 0.08537796447311594
Position 264: 0.057030920729683375
Position 10374: 0.04169910295622378
Position 1864: 0.0325221599190911
Position 642: 0.028927146860939383
Position 728: 0.028818786540444955
Position 1158: 0.026565214845129147
Position 530: 0.023161625483123536
Position 9743: 0.02113003536696517
Position 480: 0.015578917677392945
Position 1057: 0.010694535448255358
Position 130: 0.010134812079773273
Position 209: 0.008365914145871161
Position 2301: 0.003958542372100315
Position 2679: 0.0029570456806104614
Position 4110: 0.002555562164946884
Position 8602: 0.002475370647297414
Position 83: 0.0023421933513819515
Position 1704: 0.002323853987137366
Position 10262: 0.0016215314243291463
Position 2594: 0.0013034022306945808
Position 137: 0.0011798480897514088
Position 8532: 0.0007977875871558373
Position 1052: 0.0007457646871422347
Position 537: 0.0005823886470490386
Position 1831: 0.0005676435138659523
Position 864: 0.0005597315860626053
Position 3345: 0.0005505531178074403
Position 1485: 0.0005229728677269017
Position 2308: 0.0003336174467969852
Position 1186: 0.0002723149676830015
Position 305: 0.0002612397930280918
Position 1162: 0.0002570971352926899
Position 3957: 0.00023571513309316903
Position 950: 0.00021760162900252465
Position 2390: 0.00020127854468007559
Position 754: 0.0001242036774758355
Position 1201: 7.916182575927782e-05
Position 38: 6.680732162281741e-05
Position 1692: 6.413903306672968e-05
Position 774: 6.257583619935144e-05
Position 501: 4.1991860213781627e-05
Position 441: 3.8210315592489365e-05
Position 941: 3.2007061705607624e-05
Position 884: 2.99247489327544e-05
Position 711: 1.9847520908029207e-05
Position 48: 1.6695993694498436e-05
Position 776: 1.4738441818845778e-05
Position 886: 1.1851149977004618e-05
Position 234: 1.1713665777392135e-05
Position 846: 1.169790622059558e-05
Position 496: 9.544090677749914e-06
Position 881: 6.889732375481955e-06
Position 1108: 6.550667845566996e-06
