Gene = TNFSF4
index = 1466
Annotated 5SS: [  290 18793]
Annotated 3SS: [18743 20447]
SMsplice 5SS: [  290 18793 20644]
SMsplice 3SS: [18743 20447 22837]
top_k =  500
Partition function (log Z): -7.268171691631652

Sorted 5' Splice Sites (High to Low Probability):
Position 18793: 0.9999230932295203
Position 290: 0.996649925143054
Position 10908: 0.6177371726679828
Position 11366: 0.4720502255462611
Position 20644: 0.46920034481134765
Position 11588: 0.3940529659072255
Position 20639: 0.38249269883854503
Position 7029: 0.34174932710894346
Position 11553: 0.1927937028585008
Position 12971: 0.16787310381899548
Position 21785: 0.1492231890994171
Position 8115: 0.14905257452788595
Position 501: 0.14682717701661255
Position 22407: 0.1411620938503853
Position 20186: 0.1336786063981303
Position 2003: 0.11581153085151517
Position 22974: 0.09688129989227041
Position 7061: 0.06422804340144962
Position 19768: 0.06036786743110951
Position 22243: 0.0590959899929935
Position 1346: 0.05082787886871253
Position 22402: 0.049308948083044
Position 22369: 0.04502216733068051
Position 20209: 0.04064322475681527
Position 19478: 0.030717058482693908
Position 20082: 0.025608446771744623
Position 12904: 0.024801935006582943
Position 560: 0.019104898204378707
Position 752: 0.01661439617571723
Position 11548: 0.007867034424254338
Position 3662: 0.007518700846355118
Position 10861: 0.005050686617353363
Position 3130: 0.004609257661147537
Position 1650: 0.004463883796820809
Position 485: 0.004064833747354827
Position 167: 0.0006739150027229275
Position 224: 0.0006199959007467392
Position 779: 0.00045754359621816694
Position 724: 0.0004273149874256775
Position 215: 0.0004185474449276283
Position 146: 0.0001276530548247073
Position 789: 0.00012201417138675796
Position 1209: 8.938683121993559e-05
Position 628: 3.8261415483431275e-05
Position 1526: 3.60776234194321e-05
Position 389: 2.8855082205740957e-05
Position 791: 1.1545963015013128e-05
Position 131: 9.799253640862471e-06
Position 3477: 7.442957335888477e-06
Position 622: 6.336997203839984e-06
Position 1165: 5.968904020527534e-06
Position 1178: 4.549088795622781e-06
Position 1827: 4.08258357267041e-06
Position 1060: 3.837654010360188e-06
Position 250: 3.449055610180323e-06
Position 1432: 3.282568833111954e-06
Position 387: 8.76797638910618e-07
Position 777: 4.948631703689224e-07
Position 427: 1.9871379562230763e-07
Position 359: 1.8363834109965257e-07
Position 394: 1.343450650386986e-07
Position 78: 1.2529945645442987e-07
