Gene = AT2G35760
index = 402
Annotated 5SS: [601 818]
Annotated 3SS: [ 684 1163]
SMsplice 5SS: [601 818]
SMsplice 3SS: [ 684 1163]
length: 1664
Partition function (logZ) = -5.317346283473821
#Exons = 1125
3SS, 5SS, prob
1163, -1, 0.8525119437907307
0, 601, 0.6930667293877326
684, 818, 0.43223023203979605
733, 818, 0.3949093400583893
0, 818, 0.10093903287475935
1197, -1, 0.09131826740820269
913, 1078, 0.08812494792521397
0, 128, 0.07390927705884973
0, 458, 0.0558846126108543
533, 601, 0.05433923470784596
913, 958, 0.05030674714818947
913, -1, 0.03076307705453619
0, 484, 0.026604901803881652
216, 601, 0.025810651276846137
913, 1084, 0.0243773226335498
980, 1078, 0.022096320185911407
956, 1078, 0.01615845729231162
0, 542, 0.013124482798247895
684, 780, 0.012591983029349869
913, 981, 0.010157745751790502
913, 1117, 0.009235692598427539
0, 643, 0.008729770119244631
913, 953, 0.007096035606469357
377, 601, 0.006841904170482836
0, 491, 0.006643463158989853
980, 1084, 0.006305082881745909
913, 1105, 0.005675920612037662
956, 1084, 0.004464701878717564
1167, -1, 0.004164159427249488
980, -1, 0.0038494894218913797
1160, -1, 0.0036249898559388063
684, 958, 0.0034259926340342427
956, -1, 0.00341833279608745
0, 426, 0.0034181833926890583
318, 601, 0.003277835480749806
684, -1, 0.0032011946227802892
0, 1078, 0.0031587623959895396
216, 458, 0.0031122328926861042
0, 958, 0.002839044518578645
733, 958, 0.002755364305390594
733, 780, 0.002590892507730237
565, 601, 0.0025407029486801363
684, 749, 0.002526749890552525
963, 1078, 0.002515913258172849
980, 1117, 0.0025048845556762717
710, 818, 0.0022416304041796816
684, 1078, 0.002117576753923086
533, 818, 0.0021116663133802743
733, -1, 0.00201398536135922
0, 780, 0.0020018551450692746
733, 1078, 0.0017039967516275522
956, 1117, 0.001686442089620866
0, 648, 0.0016136930238071054
377, 458, 0.0016004912542262706
980, 1105, 0.0015328664077239556
913, 935, 0.0014405767540659838
241, 601, 0.00143073341013224
216, 818, 0.0014270400024745343
401, 601, 0.0014124017240968955
216, 484, 0.0013789915654020205
0, 299, 0.0011384523911190634
379, 601, 0.001110656571376988
199, 601, 0.0010574761323010721
956, 1105, 0.0010378490113025433
0, 1084, 0.0009342397425211341
533, 643, 0.0008907864950639379
913, 975, 0.0008541514590557277
1124, -1, 0.000810892821159349
