Gene = SPRR4
index = 1324
Annotated 5SS: [29]
Annotated 3SS: [1204]
SMsplice 5SS: [29]
SMsplice 3SS: [1204]
Partition function (log Z): -8.123675166675675

Sorted 5' Splice Sites (High to Low Probability):
Position 29: 0.7209993246025521
Position 1461: 0.18891293714371618
Position 184: 0.12254332678210185
Position 838: 0.0875722499544924
Position 411: 0.07933842043511509
Position 373: 0.07374293250170355
Position 339: 0.04518618622539367
Position 128: 0.02127485267610291
Position 1291: 0.020895314479955546
Position 1589: 0.01831784247307564
Position 224: 0.011647268781329514
Position 397: 0.006534802919001433
Position 1602: 0.005431476845851735
Position 1304: 0.003717582434359205
Position 1372: 0.0036053617432191885
Position 33: 0.002134970877672111
Position 399: 0.0016002750177004862
Position 639: 0.0015450193797865751
Position 248: 0.000762193274811706
Position 974: 0.0006843075360920759
Position 616: 0.000652741278817515
Position 1422: 0.00032330936558614006
Position 195: 0.00023726570076159847
Position 1682: 0.00022495805817598555
Position 651: 0.0002192631268154379
Position 1104: 0.00018128000172683165
Position 10: 8.913826786649297e-05
Position 1337: 7.925050332292755e-05
Position 805: 7.830908527818264e-05
Position 1318: 5.58606486025703e-05
Position 140: 4.930016140512215e-05
Position 1111: 4.043332580745869e-05
Position 1361: 3.617706361148273e-05
Position 149: 3.474294802289129e-05
Position 1076: 2.3379017638790718e-05
Position 313: 2.2951621718873996e-05
Position 278: 1.5711994614124455e-05
Position 1325: 1.402354506141583e-05
Position 828: 1.0862513902425897e-05
Position 680: 7.868009484698313e-06
Position 781: 6.5715965691512086e-06
Position 1260: 4.276766977955647e-06
Position 742: 4.127366046060874e-06
Position 62: 3.906130166945394e-06
Position 19: 3.7514156254013856e-06
Position 1621: 2.3859696831769413e-06
Position 1057: 2.342755654823443e-06
Position 1034: 2.069222711539987e-06
Position 849: 1.2934338915176843e-06
Position 842: 1.2356291751997341e-06
Position 331: 1.1875865673641843e-06
Position 1686: 9.245605485048529e-07
Position 1066: 7.011831040937567e-07
Position 774: 4.903336296583195e-07
Position 1146: 4.592858887238128e-07
Position 1424: 3.970757992180933e-07
Position 1688: 3.723845795609308e-07
Position 1754: 3.34437710047698e-07
Position 1194: 2.3285037592975483e-07
Position 47: 1.1587008086657363e-07
Position 1181: 1.0565361456374732e-07
Position 1148: 6.867785706645462e-08
Position 1227: 1.7599113009994523e-08
Position 725: 4.661625196924035e-09
Position 1213: 3.754392263923995e-09
Position 994: 2.4702806425613716e-09
Position 988: 1.7935841926420204e-09
Position 1183: 1.2054998946568829e-10
Position 1721: 2.3835691903944908e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1204: 0.8079065423857109
Position 1545: 0.18513397055125827
Position 261: 0.12271023195099937
Position 1681: 0.08717486813289137
Position 1371: 0.05338837510525765
Position 396: 0.029634357878199156
Position 742: 0.028887977708418257
Position 1220: 0.02399813242458403
Position 1239: 0.013541837251109993
Position 135: 0.007779732482757429
Position 224: 0.007684184819780484
Position 1712: 0.006574333110041715
Position 96: 0.005712172897258014
Position 520: 0.004821524276615694
Position 1242: 0.003301717950009641
Position 1236: 0.0032263508638032947
Position 1353: 0.0025775227152864196
Position 442: 0.002550524404554199
Position 1586: 0.00236066290262412
Position 287: 0.0016807215306217042
Position 1396: 0.0016230021409391671
Position 338: 0.0014178863314746343
Position 1411: 0.0013724329744551158
Position 699: 0.0012007886091285154
Position 373: 0.001066912472150169
Position 614: 0.0010117313761880352
Position 284: 0.0010076696472971906
Position 265: 0.0007481627627954285
Position 1507: 0.0007048094588691947
Position 1144: 0.0006998237762926149
Position 1049: 0.0006637677833723742
Position 599: 0.0006541975690969692
Position 103: 0.0005625772923610953
Position 1754: 0.00048122236600903786
Position 268: 0.0004738504313200113
Position 1330: 0.0004643655841947147
Position 661: 0.0003128841710243568
Position 1377: 0.00026710484694551204
Position 487: 0.0002524763927114108
Position 1272: 0.0002400908420277816
Position 1222: 0.00021170324354358486
Position 191: 0.00020715359946463458
Position 766: 0.00018468743424329847
Position 1432: 0.0001597785608190901
Position 410: 0.00015963069551996203
Position 1245: 0.00011958629842348424
Position 545: 0.00011058492063075487
Position 902: 0.00010544994031043474
Position 631: 0.00010166809768695346
Position 1416: 0.00010150531039373984
Position 651: 9.767164884151657e-05
Position 808: 9.760993416984628e-05
Position 978: 9.525188805461277e-05
Position 1419: 9.249213704494334e-05
Position 784: 8.438988702027309e-05
Position 1071: 7.863691430165199e-05
Position 1332: 7.600985944668503e-05
Position 1801: 6.290323781913348e-05
Position 1155: 5.5335573289131524e-05
Position 528: 5.421005280220433e-05
Position 316: 4.555239801606722e-05
Position 566: 4.278240969352802e-05
Position 774: 3.778912829402215e-05
Position 290: 3.738520166074269e-05
Position 1281: 3.263832321145397e-05
Position 982: 3.243619719828753e-05
Position 1593: 2.8420020601946373e-05
Position 1730: 2.8417900189380515e-05
Position 1719: 2.8057416787233397e-05
Position 377: 2.7673920698020656e-05
Position 634: 2.7622170024199368e-05
Position 1257: 2.7011121731892815e-05
Position 549: 2.6356577883935172e-05
Position 1458: 2.5092039448927343e-05
Position 1441: 2.4773641627050676e-05
Position 1284: 2.1470734663523734e-05
Position 1437: 2.0084822763900975e-05
Position 672: 1.681226997094925e-05
Position 1380: 1.6377851794753268e-05
Position 1254: 1.6146257141119474e-05
Position 1606: 1.5024580623115653e-05
Position 583: 1.4652684580237046e-05
Position 1274: 1.3513994868577286e-05
Position 828: 1.1579442720672704e-05
Position 816: 1.0321099507935335e-05
Position 1823: 1.0191270759452557e-05
Position 195: 9.83678044312615e-06
Position 1798: 9.534864092249336e-06
Position 1553: 8.234166817821973e-06
Position 786: 7.914889373252701e-06
Position 298: 7.5202554423273305e-06
Position 109: 7.255994377516735e-06
Position 149: 6.236237572931128e-06
Position 1422: 6.235147367118983e-06
Position 638: 6.033246407330578e-06
Position 1260: 5.936811791363723e-06
Position 1758: 5.280491950286589e-06
Position 1287: 5.054458703869058e-06
Position 1080: 4.831458417654025e-06
Position 306: 2.933143234611156e-06
Position 1597: 2.7496103306127135e-06
Position 846: 2.70278487763347e-06
Position 140: 2.5369951971445e-06
Position 623: 1.6476966037931434e-06
Position 1809: 1.3355421467113865e-06
Position 1053: 1.2244637170394424e-06
Position 984: 9.601153921133276e-07
Position 1251: 7.523307173677133e-07
Position 1308: 7.312486613272378e-07
Position 568: 6.770620511540801e-07
Position 1057: 6.623522165370743e-07
Position 1449: 6.290203887547204e-07
Position 1696: 5.940044517830604e-07
Position 686: 5.447691202993584e-07
Position 553: 5.048673864423024e-07
Position 1451: 5.020561785779235e-07
Position 1299: 4.954839704148177e-07
Position 1735: 4.372935310843042e-07
Position 842: 3.7205375149624283e-07
Position 1763: 3.604547475984253e-07
Position 1465: 2.6643117475260403e-07
Position 300: 2.439142197057381e-07
Position 576: 1.9521914001822868e-07
Position 326: 1.8691059671349854e-07
Position 1461: 1.5243528055178012e-07
Position 1692: 1.426637651985047e-07
Position 1085: 1.3834339485221688e-07
Position 857: 1.2235610437488127e-07
Position 555: 1.0576033312355562e-07
Position 1291: 2.9116667243423576e-08
Position 1296: 2.178041791519102e-08
Position 1811: 1.6144785522101087e-08
Position 871: 1.405094054350208e-08
Position 1694: 1.3881891281376823e-08
Position 864: 2.4589637062482447e-09
Position 854: 1.9271971381090116e-09
Position 866: 5.048703220145895e-10
