Gene = AGL
index = 37
Annotated 5SS: [  332  1041 11630 12340 14506 20498 20786 24727 25173 25372 26514 27745
 29963 30712 31094 31364 31608 34161 34368 34620 38025 41273 41656 42524
 46305 50778 52711 60764 62434 63655 65403 66414 66648]
Annotated 3SS: [  890 11418 12172 14301 20315 20673 24602 25069 25273 26373 27556 29838
 30547 30991 31207 31456 34035 34254 34484 37893 41135 41521 42347 46201
 50551 52598 60627 62320 63442 65304 66325 66513 71449]
SMsplice 5SS: [  332  1041 11630 12340 20502 20786 24727 26514 30712 31094 31608 34161
 34368 34620 38025 41273 41656 46305 52711 60764 62434 63655 65403 66414
 66648 69139]
SMsplice 3SS: [  890 11418 12172 20315 20673 24602 26373 30547 30991 31456 34035 34254
 34484 37893 41135 41521 46201 52598 60627 62320 63442 65304 66325 66513
 68993 71449]
top_k =  500
Partition function (log Z): 39.6105713353748

Sorted 5' Splice Sites (High to Low Probability):
Position 66648: 0.9998698332279012
Position 1041: 0.9955778298312425
Position 31608: 0.9908052636729325
Position 38025: 0.9884627257906984
Position 31094: 0.9865678279158461
Position 52711: 0.9834894958522705
Position 34161: 0.9834418846791959
Position 60764: 0.9825076053236211
Position 34368: 0.9730749416139984
Position 12340: 0.9630652290025112
Position 41273: 0.9582135191050193
Position 24727: 0.9576401527733258
Position 20786: 0.9517552043289416
Position 11630: 0.9353652086256263
Position 41656: 0.9321356066698789
Position 26514: 0.9264760991622644
Position 62434: 0.8874383180498072
Position 65403: 0.8740778304082877
Position 34620: 0.8611340633208966
Position 63655: 0.7939459419748998
Position 69139: 0.7737086253389958
Position 66414: 0.7439889391267838
Position 46305: 0.7329093829440047
Position 332: 0.633792474154181
Position 42524: 0.6002854042829705
Position 29963: 0.5901219784172897
Position 20502: 0.5750979999904611
Position 30712: 0.5560865267667894
Position 43603: 0.5464887970118762
Position 27350: 0.48024761685949713
Position 59320: 0.473475101998023
Position 70424: 0.42165828100733127
Position 14506: 0.3968366067648624
Position 27745: 0.37874585787651205
Position 31312: 0.35720955204057664
Position 50778: 0.3479469876297695
Position 62196: 0.30100291797400053
Position 3087: 0.2653386559582079
Position 27823: 0.26233517278001667
Position 31275: 0.2244629263179216
Position 24113: 0.19125917689639052
Position 26892: 0.1869582670527249
Position 18: 0.1865504539329351
Position 36887: 0.16358396805729108
Position 35718: 0.16097693181430087
Position 62150: 0.1424885247221121
Position 39229: 0.1377006237188787
Position 24187: 0.13504758184018234
Position 535: 0.12048008200715575
Position 71698: 0.11904742581147491
Position 815: 0.11576478976129406
Position 25173: 0.11340749906678807
Position 10523: 0.11284186262413434
Position 21275: 0.11261267882076006
Position 34661: 0.11143759521405956
Position 25463: 0.10237686761820017
Position 20498: 0.09403203059073699
Position 27213: 0.09101970429830443
Position 27700: 0.09093901985500623
Position 50668: 0.08547118448727456
Position 28245: 0.07594535727545032
Position 59266: 0.07532539863575827
Position 25372: 0.06624170016562206
Position 17329: 0.06481971571706242
Position 42157: 0.06253137769313521
Position 2620: 0.05615762050375363
Position 43446: 0.0525322747355722
Position 12625: 0.047052429750702805
Position 72: 0.04469716337048636
Position 21892: 0.043278083626920275
Position 2184: 0.03688691381430435
Position 48808: 0.036226829859973594
Position 33008: 0.034833042380189104
Position 54357: 0.033954428523982304
Position 17615: 0.03357673666743362
Position 26474: 0.03345335354611969
Position 27248: 0.03142616073367232
Position 31868: 0.031199389292051516
Position 24673: 0.031039078561782993
Position 40925: 0.030194467385786558
Position 35458: 0.029589700414886826
Position 39481: 0.02913739026889645
Position 43971: 0.02831182094814647
Position 69134: 0.027918785840573355
Position 11783: 0.027876093161439998
Position 63659: 0.02578765975331679
Position 71528: 0.025563636232778488
Position 31773: 0.024953664450715257
Position 53173: 0.023615230002190964
Position 25242: 0.022681653485551945
Position 60: 0.022612791310192133
Position 11998: 0.02126256014292973
Position 21283: 0.020942923778087458
Position 43026: 0.020120878269883114
Position 7978: 0.01939174748554081
Position 71585: 0.019374959104707688
Position 2634: 0.018709977196627835
Position 70877: 0.01608042467970464
Position 35447: 0.015670150469733825
Position 69144: 0.015424888126698113
Position 60965: 0.015356028326188504
Position 14414: 0.014258288114630716
Position 1365: 0.01405393537762902
Position 52749: 0.013889720601089946
Position 70631: 0.013310576746467193
Position 22261: 0.012999650293447672
Position 60769: 0.012294560138455323
Position 31323: 0.0113714888631172
Position 23: 0.011303153137170337
Position 65: 0.011115399866206311
Position 33045: 0.011064391210135208
Position 212: 0.010539926909551715
Position 63609: 0.009888906272651292
Position 24983: 0.009652270278376692
Position 53227: 0.009533461605217088
Position 66391: 0.009512144542450664
Position 26638: 0.008205536898047422
Position 58681: 0.00747692017329173
Position 664: 0.006771043390316599
Position 53107: 0.006395661277259419
Position 44: 0.005359973779518071
Position 31393: 0.005142455918670443
Position 63078: 0.004850913607276641
Position 38356: 0.004324619164512128
Position 11819: 0.00427850201592277
Position 27116: 0.004024996122075218
Position 20860: 0.0038867303043278265
Position 66956: 0.0038279660152913684
Position 33081: 0.0037066327772786916
Position 25674: 0.003378094414249644
Position 29442: 0.00331325267078089
Position 618: 0.002821802097179538
Position 28203: 0.002749527641085943
Position 37996: 0.0026547922260498616
Position 63602: 0.0026191596171642644
Position 38172: 0.00260532302360111
Position 31597: 0.0022044830300316123
Position 12467: 0.0021926631812189054
Position 33376: 0.002076052041571218
