Gene = AT2G45406
index = 550
Annotated 5SS: [51]
Annotated 3SS: [201]
SMsplice 5SS: [51]
SMsplice 3SS: [201]
length: 588
Partition function (logZ) = -10.89373335912032
#Introns = 469
5SS, 3SS, prob
51, 201, 0.6738262531353383
99, 201, 0.12671518353893846
268, 363, 0.11474234900347341
51, 363, 0.06608240332483324
51, 203, 0.008481138178430747
51, 233, 0.003927922871216537
61, 201, 0.0036549162870367145
99, 363, 0.0032587986497331126
258, 363, 0.003118476955744296
241, 363, 0.0015467666916482692
99, 203, 0.0014584803142420584
51, 309, 0.0010446586204678912
268, 347, 0.0006094319294876561
268, 370, 0.0005755830779671022
51, 370, 0.00048080669509662573
196, 363, 0.0004794969334927017
51, 347, 0.0003808082347489746
61, 363, 0.00031658669256282154
99, 233, 0.0002918073845090926
475, 558, 0.00028875615332935164
268, 373, 0.00023317736566863312
51, 373, 0.0002311568906620343
319, 402, 0.00021261031777631637
286, 363, 0.00019914424585158497
51, 402, 0.00014946607099603282
51, 324, 8.168573780455535e-05
51, 239, 6.020416482598145e-05
268, 402, 5.774850978945081e-05
343, 419, 5.76233666088489e-05
186, 363, 5.343636523568978e-05
51, 247, 5.216927240668162e-05
99, 309, 5.151646929483758e-05
61, 203, 4.597951710701746e-05
475, 561, 4.254543191569053e-05
333, 402, 3.824890210293035e-05
258, 347, 3.727613956402268e-05
147, 363, 3.7105987253011924e-05
343, 558, 2.892788302122854e-05
51, 318, 2.602847361322463e-05
99, 370, 2.3710581485082265e-05
196, 309, 2.0638219461574508e-05
99, 347, 1.8779240747451198e-05
61, 233, 1.850261666977582e-05
241, 309, 1.8287365944325067e-05
147, 233, 1.814582418525825e-05
241, 347, 1.722133150335719e-05
51, 558, 1.6111596949274512e-05
258, 370, 1.5888459139288846e-05
343, 447, 1.5745882024352423e-05
343, 434, 1.5206008582882955e-05
51, 244, 1.2655051566368817e-05
99, 373, 1.1399309426793587e-05
319, 404, 1.0990022585419005e-05
178, 363, 9.8043531442081e-06
241, 370, 9.674643899740683e-06
333, 419, 7.879836209082331e-06
241, 324, 7.661823886373406e-06
181, 363, 7.392300567222784e-06
99, 402, 7.370794732578169e-06
51, 404, 7.341088543812347e-06
258, 373, 6.718358104085828e-06
51, 419, 6.527093231937804e-06
319, 419, 6.293579025645373e-06
61, 309, 5.004736523964856e-06
241, 373, 4.384634733753537e-06
99, 239, 4.0752378910014085e-06
99, 324, 4.028264086453179e-06
268, 558, 4.022092317928818e-06
343, 561, 3.9982402704936015e-06
196, 370, 3.5451319863259344e-06
477, 558, 3.4799179748054857e-06
196, 347, 3.4534505952291377e-06
99, 247, 3.2154915778071506e-06
319, 558, 2.8904874292350907e-06
343, 450, 2.841355874736872e-06
268, 404, 2.7501719827327603e-06
333, 404, 2.6566647686532814e-06
258, 402, 2.359072076234911e-06
61, 370, 2.3034422736483586e-06
333, 558, 2.301215486092547e-06
343, 453, 2.3001507856950436e-06
51, 250, 2.266507113945215e-06
51, 561, 2.226849289223089e-06
286, 370, 2.180356786458447e-06
51, 447, 2.051076001251623e-06
268, 419, 2.0243853072177377e-06
356, 447, 1.906521771804944e-06
356, 558, 1.8607113441921154e-06
241, 402, 1.8245965875342994e-06
61, 347, 1.8243709894636861e-06
196, 373, 1.7019155938045202e-06
241, 318, 1.6716444133562371e-06
186, 309, 1.6174050191342438e-06
343, 471, 1.318013245856283e-06
99, 318, 1.2835724852264173e-06
487, 558, 1.2043688602908785e-06
61, 373, 1.1074233350453608e-06
196, 402, 1.0910122296423589e-06
286, 373, 1.0897404443695576e-06
51, 434, 1.0522466902234962e-06
196, 324, 1.0350591664712842e-06
51, 241, 9.351926824182857e-07
258, 324, 9.284568424807039e-07
99, 244, 8.087679171816543e-07
343, 511, 7.970177739877399e-07
99, 558, 7.945299768419491e-07
333, 434, 7.632357873468623e-07
333, 447, 7.596539917775582e-07
51, 252, 7.529326687432143e-07
356, 434, 7.206794114036483e-07
61, 402, 7.160600505764566e-07
475, 566, 6.559448354765376e-07
319, 447, 6.38772466370067e-07
147, 309, 5.961758368252823e-07
343, 509, 5.571844988563797e-07
268, 561, 5.55909724378547e-07
477, 561, 5.406540626555436e-07
268, 447, 5.18653479346799e-07
343, 518, 4.862544711116844e-07
319, 434, 4.698029738414114e-07
343, 515, 4.580917043997649e-07
51, 511, 4.4501443763050606e-07
343, 456, 4.4452077456363374e-07
343, 473, 4.4008700130653486e-07
51, 450, 4.3698803266107523e-07
51, 471, 4.2287285848054865e-07
51, 453, 4.1221854651566496e-07
319, 561, 3.9950601405717616e-07
186, 370, 3.9935886505936156e-07
61, 324, 3.913389383551656e-07
196, 318, 3.7592210397114895e-07
356, 450, 3.664937308376675e-07
99, 404, 3.6201966379084253e-07
356, 419, 3.567520769233389e-07
99, 419, 3.2187816333441033e-07
333, 561, 3.1806034409178164e-07
186, 347, 3.150363434658552e-07
51, 509, 3.1276315321501916e-07
356, 453, 3.007640889391717e-07
61, 239, 2.808702195954817e-07
147, 370, 2.6997818181218824e-07
51, 518, 2.6835261830484653e-07
268, 434, 2.6063719457003895e-07
356, 561, 2.571764765037849e-07
487, 561, 2.563802850297325e-07
147, 239, 2.547493272222682e-07
51, 515, 2.5257356806141816e-07
61, 247, 2.523573730501335e-07
178, 309, 2.4392263323136e-07
147, 347, 2.173466602913095e-07
286, 402, 1.985267730121572e-07
181, 309, 1.9745904339126688e-07
186, 373, 1.9251639178792147e-07
241, 558, 1.9059671430351074e-07
258, 558, 1.8816081085191616e-07
343, 526, 1.6444979528991758e-07
147, 247, 1.5294466520284025e-07
51, 473, 1.4703709207993173e-07
333, 450, 1.4388366186364309e-07
99, 250, 1.3585886988877682e-07
147, 373, 1.2979710492956698e-07
319, 450, 1.2813095119377616e-07
61, 318, 1.2469686269071923e-07
333, 453, 1.229958401632897e-07
356, 471, 1.2153906532804947e-07
186, 402, 1.1982557608723772e-07
390, 558, 1.1798135479492598e-07
196, 558, 1.1760494668514818e-07
319, 453, 1.1445762567233478e-07
258, 404, 1.1294692937695033e-07
268, 450, 1.1207430878792983e-07
268, 511, 1.110932179222415e-07
99, 561, 1.0981521693767287e-07
268, 453, 1.0686817540830716e-07
268, 471, 1.0556579095063974e-07
99, 447, 1.0114710372325368e-07
186, 324, 9.564593917697266e-08
319, 471, 9.301964915017544e-08
51, 456, 9.147517248913557e-08
51, 526, 8.873304102779538e-08
333, 471, 8.821488216804968e-08
241, 404, 8.724346074465328e-08
360, 447, 8.568372546522689e-08
147, 402, 8.392682236259352e-08
319, 511, 8.222345574087597e-08
360, 558, 8.131339052810296e-08
258, 419, 7.866070651097903e-08
268, 509, 7.807806264257212e-08
241, 419, 7.799234019349612e-08
61, 558, 7.718722282243727e-08
343, 534, 7.422887725021716e-08
178, 370, 7.074330097976288e-08
496, 558, 6.875639747411094e-08
268, 518, 6.699143529832496e-08
343, 566, 6.47354759598376e-08
333, 511, 6.420193468030879e-08
268, 515, 6.305235980083592e-08
99, 241, 6.195350931287324e-08
61, 244, 6.079241374735344e-08
356, 511, 5.997518117060387e-08
319, 509, 5.795499177190025e-08
356, 456, 5.677916105146945e-08
178, 347, 5.4490756846873893e-08
181, 370, 5.418934222522037e-08
196, 404, 5.358552162918136e-08
99, 434, 5.1890668631264186e-08
319, 518, 4.920837641382147e-08
196, 419, 4.764384647703116e-08
319, 515, 4.6644923225947545e-08
147, 324, 4.626457435126686e-08
333, 509, 4.5052172381476945e-08
99, 252, 4.44602753710836e-08
356, 509, 4.364235725263798e-08
147, 244, 4.361027823010816e-08
181, 347, 4.114171649572008e-08
51, 534, 4.009745763432054e-08
333, 518, 3.980448110964362e-08
356, 473, 3.914628398129432e-08
333, 515, 3.7062071453463705e-08
268, 473, 3.670627448060181e-08
51, 566, 3.605489887452036e-08
61, 404, 3.516958864937322e-08
178, 373, 3.400170303893782e-08
186, 318, 3.3458414978064035e-08
356, 518, 3.1498369210272955e-08
319, 473, 3.1351779879532054e-08
356, 515, 3.1283042454945475e-08
61, 419, 3.1269910814091564e-08
333, 473, 2.990083260985092e-08
241, 561, 2.6343146437395204e-08
258, 561, 2.6006470322241617e-08
181, 373, 2.5921890372047658e-08
333, 456, 2.523244536774196e-08
258, 447, 2.4793910920611243e-08
319, 456, 2.428751642189032e-08
241, 447, 2.426378637097177e-08
268, 456, 2.3686428086821193e-08
390, 471, 2.253320346302255e-08
268, 526, 2.2151279217571865e-08
99, 511, 2.194551613586764e-08
99, 450, 2.1549700663660563e-08
178, 402, 2.1353462373956243e-08
99, 471, 2.08536226119266e-08
99, 453, 2.0328214096223436e-08
496, 561, 2.0279450271449466e-08
360, 434, 2.019816390034697e-08
360, 450, 1.771089701516218e-08
390, 561, 1.6464587656913854e-08
181, 402, 1.6274712127293325e-08
196, 561, 1.6254657608396392e-08
343, 532, 1.6240450076347837e-08
343, 536, 1.62113294468074e-08
319, 526, 1.5919076206793604e-08
99, 509, 1.542365425744674e-08
178, 324, 1.537429751458109e-08
360, 453, 1.531187640995895e-08
196, 447, 1.4971618551148467e-08
147, 318, 1.4738354686817992e-08
99, 518, 1.3233585738180136e-08
333, 526, 1.3046539421703924e-08
178, 247, 1.2972214928079831e-08
186, 558, 1.2916519269335974e-08
241, 434, 1.281402759266222e-08
99, 515, 1.2455455025006877e-08
258, 434, 1.2393376141211357e-08
181, 324, 1.2179814403655477e-08
360, 561, 1.1052546070789444e-08
61, 250, 1.0996029236106115e-08
61, 561, 1.0668359742389606e-08
356, 526, 1.0303526406897749e-08
268, 534, 1.0009912538604e-08
61, 447, 9.826267429157075e-09
286, 404, 9.069624896297492e-09
147, 558, 9.046836690952799e-09
268, 566, 9.000729862066141e-09
286, 558, 8.94337800157071e-09
477, 566, 8.899037544578543e-09
51, 536, 8.771003854409905e-09
51, 532, 8.738709878610324e-09
390, 473, 8.54779492984117e-09
196, 434, 7.680766611340217e-09
99, 473, 7.251011661537128e-09
319, 534, 7.1936504867389415e-09
487, 566, 6.7619268005988046e-09
390, 511, 6.626466358435899e-09
319, 566, 6.468398650193168e-09
360, 471, 6.1632048304022106e-09
186, 404, 5.885283248618223e-09
333, 534, 5.778876696661685e-09
286, 419, 5.704487017106353e-09
147, 250, 5.637257484086357e-09
181, 247, 5.370646885747247e-09
178, 318, 5.294343333323799e-09
241, 511, 5.264424743061768e-09
258, 450, 5.255926361474327e-09
186, 419, 5.232710684639714e-09
258, 511, 5.197143504574647e-09
333, 566, 5.149712464926303e-09
61, 434, 5.041089346894962e-09
258, 453, 4.956627346110099e-09
241, 450, 4.955361869679572e-09
390, 509, 4.938900755248007e-09
258, 471, 4.938560527044871e-09
241, 471, 4.795285819043767e-09
356, 534, 4.677486783093545e-09
241, 453, 4.6744780983216724e-09
99, 456, 4.511021899829636e-09
61, 241, 4.411857596769866e-09
99, 526, 4.375795971988027e-09
181, 318, 4.194371246946197e-09
356, 566, 4.163942256049326e-09
147, 404, 4.1221009561491874e-09
241, 509, 3.6999205941948998e-09
147, 241, 3.6920968881997557e-09
61, 252, 3.6858110391069297e-09
147, 419, 3.6650337469262325e-09
258, 509, 3.6526342804889904e-09
390, 515, 3.4208772765598805e-09
390, 518, 3.4155116196220836e-09
196, 511, 3.248337168340944e-09
354, 558, 3.1987364113313575e-09
196, 450, 3.1897492498698554e-09
258, 518, 3.13398161773038e-09
196, 471, 3.086716986080066e-09
241, 518, 3.0430540099898154e-09
196, 453, 3.008946930477135e-09
258, 515, 2.949704476256869e-09
241, 515, 2.8641233834864844e-09
354, 447, 2.844146432082768e-09
360, 456, 2.778900585195702e-09
360, 511, 2.7195545641360915e-09
178, 558, 2.3017824510140037e-09
196, 509, 2.282982504759569e-09
268, 536, 2.1895897305781772e-09
268, 532, 2.181527875978176e-09
61, 511, 2.1319692060776183e-09
61, 450, 2.0935164126773747e-09
61, 471, 2.0258936253099882e-09
99, 534, 1.977372707740948e-09
61, 453, 1.974851090281189e-09
196, 518, 1.958812367757416e-09
196, 515, 1.8436348115869682e-09
360, 473, 1.8210559326576862e-09
360, 509, 1.8205746881477133e-09
186, 561, 1.7852446188118132e-09
99, 566, 1.778017291395898e-09
181, 558, 1.7543219040485768e-09
241, 473, 1.667368264348326e-09
186, 447, 1.644328788539618e-09
258, 473, 1.5736063617868522e-09
319, 536, 1.5735545311097157e-09
319, 532, 1.5677608576841328e-09
61, 509, 1.4983815244300056e-09
360, 515, 1.3487426951189665e-09
360, 518, 1.3456136082964826e-09
390, 453, 1.3383473193752858e-09
354, 434, 1.3254211938987254e-09
61, 518, 1.2856201287367326e-09
333, 532, 1.2757533671929785e-09
333, 536, 1.2527603540414093e-09
147, 561, 1.25040006390383e-09
286, 561, 1.236100618005338e-09
61, 515, 1.2100260662176363e-09
147, 447, 1.151701453460925e-09
196, 473, 1.0732821475886175e-09
178, 404, 1.0487842288189867e-09
241, 456, 1.037310092652325e-09
