Gene = AT4G28740
index = 954
Annotated 5SS: [ 423 1220 1355]
Annotated 3SS: [ 640 1303 1500]
SMsplice 5SS: [ 423 1220 1355 1620]
SMsplice 3SS: [ 640 1303 1500 1706]
length: 1864
Partition function (logZ) = -0.9978616578438051
#Exons = 9335
3SS, 5SS, prob
1303, 1355, 0.8829470707157702
0, 423, 0.8675414321168781
1500, 1620, 0.6656868978039694
1706, -1, 0.6041561427471811
640, 1220, 0.5427155487016573
1500, -1, 0.21994248185857415
613, 1220, 0.10269578629537515
640, 957, 0.10193981785881841
492, 562, 0.09197702291877514
1803, -1, 0.08823249372085093
525, 562, 0.06113272716166977
1500, 1629, 0.041715364521296865
0, 1220, 0.03927187223503411
0, 208, 0.033152452181832014
525, 1220, 0.032997193775073874
0, 459, 0.032281764459983764
535, 562, 0.029703470079207244
535, 1220, 0.029137099479979733
640, 790, 0.026338311567847803
311, 423, 0.026120959734265738
1303, 1387, 0.02537938696589175
1303, 1409, 0.022416020327057067
1755, -1, 0.021896032092102533
613, 957, 0.0192896440407194
1029, 1220, 0.01924048634416381
1303, -1, 0.01629675697643285
1533, 1620, 0.013880457539849142
1500, 1636, 0.013724306255403154
1032, 1220, 0.012961411261825335
1774, -1, 0.012832766988815091
561, 1220, 0.011984287011907015
0, 562, 0.011313375041121761
492, 1220, 0.01045373105855477
1795, -1, 0.009839943640594003
898, 1220, 0.008799998157754447
1716, -1, 0.008419864100221773
1303, 1620, 0.007697838536002588
1835, -1, 0.00708944460258152
525, 957, 0.006197957532873783
875, 1220, 0.005805917841629585
991, 1220, 0.0056466600947029
535, 957, 0.005472904951828089
290, 423, 0.005336525872752489
492, 532, 0.005244816453545241
1443, 1620, 0.005087327460983565
581, 1220, 0.005065718858402691
640, 691, 0.0049243619602720974
335, 423, 0.0048721615906175166
640, 1355, 0.004778757526979783
754, 1220, 0.004664207316140745
1045, 1220, 0.004454852893314519
1050, 1220, 0.00426972017169876
1443, -1, 0.004116853902599083
0, 245, 0.00408320150547919
613, 790, 0.004030217376366634
640, 1188, 0.003961077018700168
1155, 1220, 0.003941759624661439
1062, 1220, 0.003440868302380892
789, 1220, 0.003376448498864855
0, 213, 0.0030992278487686513
1533, -1, 0.003091232359547929
344, 423, 0.002480392290444883
613, 691, 0.002480362006047841
0, 532, 0.002364983564297663
525, 532, 0.0023517283174249756
561, 957, 0.00225104299680418
762, 1220, 0.0021742565191129196
682, 1220, 0.0021661244086834596
875, 957, 0.0021639358008211304
1040, 1220, 0.002136522485252338
0, 957, 0.0020850384816337494
1319, 1355, 0.0019656228511358217
492, 957, 0.0019635542829084408
1500, 1589, 0.0019075253747472384
1303, 1359, 0.0017436432715437998
898, 957, 0.0016781745140611601
492, 536, 0.0013949959958513645
1127, 1220, 0.0013398580923029257
1303, 1438, 0.0012887731726909473
717, 1220, 0.0012323373686408607
640, -1, 0.0012238940537698192
640, 1078, 0.0011673813494739718
652, 1220, 0.001072961480509507
969, 1220, 0.0010297710392255593
525, 790, 0.001000315634388907
1533, 1629, 0.0009696332316372343
581, 957, 0.0009515085001432792
754, 957, 0.000932020479837039
1500, 1608, 0.0009053490914298746
613, 1355, 0.0009042642373563392
0, 111, 0.0008933910479539188
535, 790, 0.000883296208436542
789, 957, 0.0008806994899747215
640, 1197, 0.0007648154875274959
640, 814, 0.0007607111906345208
1815, -1, 0.000756057043984881
613, 1188, 0.0007495379853868433
0, 236, 0.0007468725880301158
1777, -1, 0.0006796006149085972
0, 1355, 0.0006614492207684294
311, 459, 0.0006443712127821822
525, 536, 0.0006265425493792506
0, 493, 0.0006125862458896907
525, 691, 0.0006069315853685442
535, 691, 0.0005798543938645325
812, 1220, 0.0005603973650675752
1042, 1220, 0.0005374144429887712
732, 1220, 0.0005191313711395614
1303, 1629, 0.0005138145484270818
0, 536, 0.0005071279471368503
640, 970, 0.0004979929373964147
1166, 1220, 0.0004839811255338645
640, 763, 0.0004691144646739437
762, 957, 0.0004605720962831649
640, 666, 0.0004530314081719226
1075, 1220, 0.0004450045968371158
640, 687, 0.00040979652972925875
682, 957, 0.00040686935948120107
784, 1220, 0.00040466821101527644
661, 1220, 0.00040357454359580695
613, 666, 0.0003976890641173365
561, 790, 0.00036330573280659684
1322, 1355, 0.0003594160412798847
1019, 1220, 0.0003472729409259861
640, 724, 0.0003440341907818702
1539, 1620, 0.00034120422338455435
1533, 1636, 0.0003344305565374734
687, 1220, 0.0003232677877863404
492, 790, 0.00031690666445303886
1443, 1629, 0.000316715672534631
1848, -1, 0.0003166890004347212
0, 487, 0.0003047398079733615
561, 691, 0.00029261070573759554
640, 966, 0.00029062238193671856
525, 1355, 0.0002905492361497244
366, 423, 0.00028743463207142204
525, 666, 0.00028576540631668424
535, 666, 0.00027264709122858875
613, -1, 0.00026480241386256506
535, 1355, 0.0002565600594775931
359, 423, 0.0002542627138293865
1344, 1355, 0.0002505063150855292
0, 1188, 0.00024578529253877315
525, 1188, 0.00024083412803765602
613, 687, 0.00023302180551690167
717, 957, 0.00023147346192751742
613, 1078, 0.00022089867496442265
535, 1188, 0.00021266074911219167
652, 957, 0.00020153743181733398
640, 795, 0.00019224718424307668
618, 1220, 0.00018958900330778286
1029, 1188, 0.00018008229213221404
1303, 1636, 0.0001782495341061686
812, 957, 0.0001753810102421675
581, 790, 0.0001566916393237704
0, 97, 0.00015627459317971311
1303, 1335, 0.0001514369191184581
0, 790, 0.00015085636052936845
1303, 1362, 0.0001507653607883167
492, 691, 0.00014925855990264154
1077, 1220, 0.0001484844713405142
665, 1220, 0.00014774429138461712
1073, 1220, 0.00014649970444205514
1029, 1355, 0.0001457747976059313
613, 1197, 0.00014472282588994705
335, 459, 0.00014340645163980222
682, 790, 0.0001413455612907366
581, 691, 0.00014083318286688823
1500, 1663, 0.00013924822265006537
525, 602, 0.00013922646438221432
881, 1220, 0.00013644229725621424
1303, 1430, 0.0001322847579003384
525, -1, 0.00013168244848128015
561, 666, 0.0001314565751102234
1782, -1, 0.00013047980311378825
290, 459, 0.00012850817857789918
1032, 1188, 0.00012142215929497167
1319, 1409, 0.0001202736428617673
613, 814, 0.00011722962402996905
640, 677, 0.00011595538247944023
535, -1, 0.00011064772241083777
561, 1355, 0.00010552489586975028
1443, 1636, 0.00010417234053290936
784, 957, 0.00010151144089951047
311, 562, 9.922891213797924e-05
732, 957, 9.750993415494855e-05
492, 525, 9.68903792848072e-05
