Gene = ENSDARG00000078315
index = 494
Annotated 5SS: [ 635 4134 5512 9484]
Annotated 3SS: [ 3976  5359  9369 15898]
SMsplice 5SS: [ 185 4134 5512 9484]
SMsplice 3SS: [ 3976  5359  9369 15898]
length: 16427
Partition function (logZ) = -1.6765442798989034
#Exons = 1094
3SS, 5SS, prob
3976, 4134, 0.9666483399030009
5359, 5512, 0.9596692981014033
15898, -1, 0.9382367544448245
9369, 9484, 0.9236291738943802
13706, 13899, 0.5196154135790647
0, 185, 0.47182858245641845
0, 635, 0.3745404764315706
14019, 14293, 0.20192240480062743
5653, 5733, 0.09306487177534478
11126, 11347, 0.08512535417398623
0, 647, 0.07831261923004884
5696, 5733, 0.05417356057157931
6313, 6370, 0.02824960422312801
14187, 14293, 0.027998860633708312
11228, 11347, 0.02735114566727096
16147, -1, 0.026036204994492235
11126, 11328, 0.025773338785607055
5600, 5733, 0.024709554107123163
5594, 5733, 0.023652344708262867
15898, 16003, 0.01919838448310509
14160, 14293, 0.017791321676555706
0, 190, 0.017502940696112874
9253, 9484, 0.014828120696357278
0, 59, 0.01366289595258742
11765, 11846, 0.010676500597631427
11126, 11260, 0.010519561364256453
3979, 4134, 0.01015803275569483
0, 894, 0.009636553997975987
1080, 1179, 0.009050787226236052
14019, -1, 0.008982247801018285
3982, 4134, 0.008748640269722645
0, 1179, 0.007785112671057451
14933, 15072, 0.0072134766770701455
0, 410, 0.006318144835675994
3976, 4046, 0.00599043548507563
15924, -1, 0.00594134629824281
11228, 11328, 0.005741992607312211
5420, 5512, 0.005384976948763853
469, 635, 0.004639404943097634
6929, 7135, 0.004440375435647696
13106, 13207, 0.004416689474424765
15898, 16073, 0.003690721457657086
9317, 9484, 0.0034262791966812004
13706, 13908, 0.0033500944185600573
1080, 1183, 0.0032797706408809217
5359, 5733, 0.0028501664478880174
11208, 11347, 0.002767001428889199
11126, -1, 0.0027068322093456807
0, 1183, 0.0026984176756121685
15848, -1, 0.002494407443338101
529, 635, 0.002476572450068009
3541, 3741, 0.002364509128447971
6929, 7091, 0.0022400299630600112
3577, 3741, 0.0021989211649600404
450, 635, 0.002191894094934325
9222, 9484, 0.002133798235810483
9433, 9484, 0.0020813301449110785
0, 414, 0.002068242506965933
11765, 11910, 0.0019191201589563588
15320, -1, 0.0019065507508884622
0, 1308, 0.0018617590738123921
6788, 6930, 0.0017164092246545579
16169, -1, 0.0017130971329127368
14019, 14315, 0.0016657726115956787
14019, 14104, 0.0016378524583927372
9285, 9484, 0.0015503759407251069
0, 251, 0.001532304142306955
3620, 3741, 0.0015151828926381675
10400, 10697, 0.0015070955533641414
11260, 11347, 0.0015004123558093952
0, 218, 0.001449448712259826
14019, 14110, 0.0014271891569042528
6929, 7201, 0.0013674692429596089
13106, -1, 0.0013308354054836862
16206, -1, 0.001317798128135154
3499, 3741, 0.001317481247942405
3602, 3741, 0.0013150117544759934
14019, 14231, 0.0013086674510129242
5696, 5897, 0.0012980757672842386
0, 888, 0.0012900196559666682
4414, 4508, 0.0012671251994577323
15900, -1, 0.0012461247070432143
14019, 14115, 0.001193721410653029
11257, 11347, 0.0011903800044108278
15452, -1, 0.0011800835106540591
15452, 15548, 0.0011643442242892637
14019, 14381, 0.0011556269021499263
3976, 4138, 0.0011188252669170166
5359, 5430, 0.001117446084163936
0, 363, 0.0011082927416059694
3976, 4178, 0.0010350849728603076
8442, 8647, 0.0010181209863935276
6313, 6417, 0.0010009826626843456
14824, 15072, 0.0009396336158550843
13844, 13899, 0.0009277625162419662
14202, 14293, 0.0009169434515988774
16125, -1, 0.0008943047535230203
14163, 14293, 0.0008565230057617996
4989, 5077, 0.0007936662727371063
11654, 11846, 0.0007908804961643984
469, 647, 0.0007750948578197172
485, 635, 0.0007643903938185274
1080, 1241, 0.0007635875014181559
0, 1241, 0.0007615270490236144
12388, -1, 0.0007573236599321796
3306, 3405, 0.0007503611659459447
0, 224, 0.0007433663429800359
9406, 9484, 0.0007229393913566513
1080, 1308, 0.0007015903666183884
11208, 11328, 0.000670609844843212
6215, 6370, 0.0006460960398193322
14851, 15072, 0.0006237203989715162
9782, -1, 0.0006235170826694357
0, 685, 0.0006177104451753053
11519, 11846, 0.0006100025817674913
0, 1975, 0.0005984066969200587
0, 589, 0.0005880407816910659
3740, 3802, 0.0005810802247386159
16418, -1, 0.000567517686523056
0, 737, 0.0005559254492580143
529, 647, 0.0005472060690509158
4989, 5075, 0.0005313188995494912
6908, 7135, 0.0005130138196844332
11535, 11846, 0.000500922809160165
3976, 4191, 0.0004921361904433326
12388, 12465, 0.0004910639625876341
11769, 11846, 0.00048733889963845886
6964, 7135, 0.0004757734390337775
6212, 6370, 0.0004718310475535909
8236, 8395, 0.00046162007638328895
