Gene = OSCP1
index = 987
Annotated 5SS: [  194 11696 18030 18650 27089 27684 28302 29976 31461]
Annotated 3SS: [11540 17861 18568 26984 27554 28231 29835 31396 32195]
SMsplice 5SS: [  194 11696 18030 18650 25711 27684 28302]
SMsplice 3SS: [11540 17921 18568 25649 27554 28231 32195]
top_k =  1000
Partition function (log Z): 2.7927423195192658

Sorted 5' Splice Sites (High to Low Probability):
Position 11696: 0.9985976639749066
Position 18650: 0.9780252238716023
Position 18030: 0.9721627092743506
Position 28302: 0.8514877101928866
Position 194: 0.8055363997353309
Position 27684: 0.6088886717151958
Position 25711: 0.5241468372693198
Position 9633: 0.4404170974457471
Position 2639: 0.3661120538203335
Position 8009: 0.26851339390488616
Position 31461: 0.20858585713738198
Position 27089: 0.20512985895617356
Position 29976: 0.19972549771887918
Position 17614: 0.19521905987049196
Position 88: 0.1939275735700839
Position 6554: 0.1538676416304433
Position 31797: 0.15317568775950596
Position 13393: 0.14491309724674287
Position 25765: 0.12750249304474434
Position 18965: 0.08341412116088076
Position 16831: 0.07894294500388394
Position 10193: 0.07739885304588665
Position 6448: 0.07427820677527361
Position 18186: 0.070949354706745
Position 25866: 0.06965735553618473
Position 26985: 0.05897916727187095
Position 18510: 0.056658954510396674
Position 17589: 0.05621054168820055
Position 27572: 0.05157507882655924
Position 28370: 0.051033926240662913
Position 16894: 0.04993029739874543
Position 19040: 0.04963017939443587
Position 27635: 0.04876238036116473
Position 6343: 0.046163324924340145
Position 16877: 0.04024624114001841
Position 3061: 0.040127811297356784
Position 11258: 0.04012383589147619
Position 32082: 0.038607567789373416
Position 6757: 0.03822362674346784
Position 9999: 0.03665376981635188
Position 17266: 0.030395185755478463
Position 19363: 0.030271634381694758
Position 31649: 0.02831886834530263
Position 5675: 0.0265899907209588
Position 13424: 0.026412026974858505
Position 16399: 0.025955550946167492
Position 2169: 0.024980070818016002
Position 9932: 0.024330531838055114
Position 26024: 0.022720064431004848
Position 21259: 0.0220750493199049
Position 28232: 0.020565730982018627
Position 9475: 0.020438347022222157
Position 16758: 0.01976051696374032
Position 18379: 0.018939232075212656
Position 16819: 0.018616509189232175
Position 9855: 0.016915969505794402
Position 12734: 0.01634917792561393
Position 9442: 0.016329600284670766
Position 2324: 0.015498675461146754
Position 18338: 0.014162539380897931
Position 19548: 0.013730272901022278
Position 18865: 0.012918153837501613
Position 8563: 0.011458840260144328
Position 2846: 0.010728534552247577
Position 2779: 0.010143933357941769
Position 3732: 0.00953439022072063
Position 10422: 0.008934379518809238
Position 10216: 0.00879741362085264
Position 9539: 0.008356195261924316
Position 25541: 0.008020576715091085
Position 17774: 0.006865428137969639
Position 9556: 0.006479698440204926
Position 6491: 0.00619089764032045
Position 21002: 0.006045168977683694
Position 30897: 0.005285642903496982
Position 9358: 0.005237487666586684
Position 9737: 0.004859183937472213
Position 18748: 0.004518656452123682
Position 20258: 0.004501611346093227
Position 21012: 0.0043475791023001665
Position 11193: 0.004147977874703671
Position 4917: 0.004031765321175053
Position 11094: 0.0036142163795399476
Position 6195: 0.003601640666781226
Position 18097: 0.0035940753514930603
Position 18710: 0.0033044485820871456
Position 10825: 0.0029860481077420113
Position 25384: 0.0029428887344608704
Position 9421: 0.0028674417854930743
Position 19598: 0.0026941177524004776
Position 19566: 0.0024930710969287236
Position 16213: 0.002358915633145787
Position 7748: 0.0020017699109913033
Position 4180: 0.0018085571803736742
Position 8302: 0.0015618313158693511
Position 9324: 0.001532192557604237
Position 18997: 0.0015012465705641425
Position 458: 0.0014934128319611063
Position 900: 0.0014884234213019497
Position 2665: 0.0013546307155187863
Position 29318: 0.0013494938709414418
Position 8981: 0.0012705916651726593
Position 21174: 0.001248418310407626
Position 30815: 0.0011322586885340901
Position 21073: 0.0010747416993559485
Position 6311: 0.0010050648947287199
Position 16033: 0.0009477389145350878
Position 17630: 0.0009337275310204699
Position 30243: 0.0009291231120560161
Position 30747: 0.000923888318468473
Position 3057: 0.0008590754858367971
Position 2858: 0.0007662372398337441
Position 18386: 0.0007412214675875839
Position 29565: 0.0006135109746633181
Position 29614: 0.0005934064039393935
Position 30956: 0.0005878959257693407
Position 5866: 0.0005323470038189765
Position 14619: 0.0004932912608918447
Position 84: 0.0004207328951776551
Position 12537: 0.00041209473838344244
Position 29046: 0.00039444128091021874
Position 2197: 0.0003765990793230353
Position 28888: 0.0003261782285325146
Position 29042: 0.0003256298198446919
Position 29431: 0.0003233350073518906
Position 9152: 0.00031364321286163403
Position 415: 0.0003136209037397944
Position 924: 0.00031185664296243574
Position 4198: 0.00027568890652562443
Position 18766: 0.0002700816425538872
Position 877: 0.00025458210078482807
Position 13417: 0.00023695813900092666
Position 1334: 0.0002333136384294052
Position 2173: 0.00020261865639673024
Position 13697: 0.0001740747696463964
Position 2291: 0.00016055918143949985
Position 576: 0.00015484221702339693
Position 2424: 0.00014103642462408967
Position 1736: 0.00013534942132192385
Position 2354: 0.00012637716958968659
Position 1718: 0.00010617940719761128
Position 9992: 0.00010221929272158088
Position 18066: 9.884005518695785e-05
Position 18191: 8.975131700308828e-05
Position 2144: 8.695008476698518e-05
Position 499: 7.528388106868415e-05
Position 18047: 7.480223487669752e-05
Position 18986: 5.4373533767059214e-05
Position 1239: 5.2353540527996655e-05
Position 5320: 4.7711870352728356e-05
Position 724: 4.5307572642688746e-05
Position 16864: 4.1921435267692895e-05
Position 2407: 3.536083910213066e-05
Position 18654: 3.300531824160016e-05
Position 1714: 2.7624145300010303e-05
Position 2589: 2.3329838566822853e-05
Position 972: 2.1288438650034525e-05
Position 20295: 1.8279636152499384e-05
Position 3065: 1.0840767371681064e-05
Position 927: 9.422446269807836e-06
Position 3323: 7.94535841426544e-06
Position 1403: 6.806773613364097e-06
Position 1405: 6.437666841569934e-06
Position 18690: 5.9484333489039366e-06
Position 526: 5.539338721645182e-06
Position 1722: 5.263718899302565e-06
Position 2289: 4.3582991454857124e-06
Position 2375: 4.119133847996105e-06
Position 1349: 3.690043565835671e-06
Position 2351: 3.6706377234798e-06
Position 1925: 3.6641006442288497e-06
Position 1279: 3.3509311962831246e-06
Position 1401: 3.2895660964162926e-06
Position 2725: 3.092694095159875e-06
Position 778: 2.8237959679412644e-06
Position 1886: 2.769174571807096e-06
Position 2400: 2.626432361922368e-06
Position 2678: 1.57388944791463e-06
Position 3171: 1.181828444500158e-06
Position 2893: 7.916458082197007e-07
Position 5597: 7.095162482484693e-07
Position 3543: 4.3984263827506515e-07
Position 2768: 4.396483963216424e-07
Position 3184: 4.0347744897333235e-07
Position 2655: 3.3296342648904106e-07
Position 3820: 1.305026431152071e-07
Position 3709: 8.107794695725157e-08
Position 3743: 6.273012300639935e-08
Position 3679: 5.831785454098804e-08
Position 70: 3.657789716358227e-08
Position 4704: 1.5572291852079717e-08
Position 4969: 7.787467374197743e-09
Position 4230: 7.030998148440783e-09
Position 61: 5.89057589718918e-09
Position 1512: 3.7100575191213113e-09
Position 1730: 3.140041838152533e-09
Position 2007: 3.120286334555753e-09
Position 624: 1.2000521048224355e-09
Position 403: 9.496842249293258e-10
Position 860: 7.666151482304632e-10
Position 649: 5.486695561168298e-10
Position 469: 1.5373213327074245e-10
Position 478: 1.0573975025995771e-10
Position 352: 1.0466464755163594e-10
Position 544: 8.410345506471618e-11
Position 486: 3.36178210132619e-11
Position 505: 1.4749483352986088e-11
Position 692: 5.518763447014731e-12
Position 651: 2.203423946103467e-12
Position 769: 4.5127180220441764e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 11540: 0.9802566917660416
Position 32195: 0.8778199781323492
Position 18568: 0.8262811220753804
Position 28231: 0.7633157256435574
Position 25649: 0.7206758800410049
Position 17921: 0.7037436734771181
Position 27554: 0.6157954070023528
Position 2563: 0.3741827474341793
Position 9323: 0.2952791958929358
Position 17861: 0.2583568036172035
Position 17540: 0.25259793775718264
Position 6417: 0.20560498018012827
Position 9320: 0.20147582694813357
Position 16657: 0.19536153246945723
Position 29835: 0.17899429562459138
Position 26984: 0.16870063354043502
Position 13291: 0.16044718655860973
Position 31396: 0.15996286425871192
Position 18590: 0.1570082864913711
Position 7868: 0.15483975084228535
Position 28113: 0.1333185950125358
Position 18906: 0.1296592020962002
Position 31531: 0.1277233234440807
Position 7884: 0.1090094414590297
Position 27480: 0.09417026532832237
Position 10095: 0.08622555317281991
Position 9788: 0.07796193307713167
Position 26925: 0.0633785125498634
Position 6256: 0.06262301905514157
Position 31698: 0.05968623093931871
Position 18096: 0.05833689554882301
Position 32081: 0.05133758301869119
Position 2804: 0.050397276114816696
Position 31116: 0.040559469444706356
Position 10974: 0.03523013021776372
Position 19266: 0.03325383343529462
Position 32049: 0.033009643239307336
Position 2125: 0.029556868977660928
Position 6711: 0.02721968468018982
Position 17157: 0.026925824352548398
Position 18153: 0.026322454455823083
Position 5592: 0.025470323653006235
Position 25848: 0.025296353986088392
Position 28143: 0.024922820671634562
Position 18452: 0.022421211671164475
Position 18449: 0.02215052106535331
Position 26887: 0.02024556666274025
Position 21072: 0.019582524695571122
Position 29888: 0.018839024781162707
Position 17996: 0.018743050027064327
Position 31974: 0.01841249409431906
Position 18288: 0.01641214137485306
Position 31551: 0.013435497560379987
Position 10950: 0.012655899927956092
Position 12668: 0.012451505525878969
Position 11574: 0.012256381755052403
Position 27002: 0.012001650114449564
Position 16281: 0.011526181696194168
Position 20955: 0.011484687377514976
Position 16342: 0.011456280912888023
Position 6184: 0.011024605213095366
Position 30673: 0.010224652162977787
Position 16797: 0.009933857865243376
Position 3649: 0.009533578386271946
Position 31239: 0.009143759623239524
Position 9294: 0.009026323488468099
Position 10215: 0.00890509301272863
Position 2080: 0.008172702587862705
Position 25451: 0.008020576715091085
Position 19393: 0.007391059912005419
Position 18328: 0.007289869721126074
Position 29866: 0.007279501177698998
Position 8227: 0.0065696243878572156
Position 13262: 0.006395711614789483
Position 6105: 0.006255373127516792
Position 11403: 0.006084590453813499
Position 19428: 0.005866116375117778
Position 17586: 0.005825591175397319
Position 30955: 0.005641907907492726
Position 31701: 0.005220623264748847
Position 8441: 0.004382524290010845
Position 6621: 0.004297293478723174
Position 18787: 0.004041256160640918
Position 4839: 0.0037775946018338926
Position 32342: 0.0035307474514753205
Position 28058: 0.0034809719640803904
Position 12597: 0.003472231961053523
Position 17076: 0.0034693614029300698
