Gene = LOC101745226
index = 676
Annotated 5SS: [  212   632  8163  8440  9066  9235 11188 11619 12129 12386 12651 14830
 15161 17052 18162 18295 19386 19624]
Annotated 3SS: [  467  7464  8232  8968  9144 10579 11410 11887 12233 12452 14535 14917
 16915 17998 18236 19329 19568 21986]
SMsplice 5SS: [  212   632  1880  9066  9235 10799 11188 12129 12386 12651 14830 15161
 17052 18162 18295 19386 19624 19891 21409]
SMsplice 3SS: [  467  1727  8968  9153 10579 11039 11887 12233 12452 14535 14917 16915
 18004 18236 19329 19568 19726 21272 21986]
length: 23228
Partition function (logZ) = 46.08641714265947
#Exons = 2007
3SS, 5SS, prob
8968, 9066, 0.9886827801747882
19329, 19386, 0.9805957745608422
14535, 14830, 0.9801994013574002
467, 632, 0.9757859026069997
16915, 17052, 0.966230883806905
1727, 1880, 0.8816636808761246
18004, 18162, 0.8686522061083554
19568, 19624, 0.8024501878310637
12233, 12386, 0.7960424379061454
10579, 10799, 0.6351581070556797
12452, 12651, 0.6252417585246969
6934, 7065, 0.6198761149819437
0, 212, 0.5837534807367423
9153, 9235, 0.5711636324747206
21272, 21409, 0.5061638786576227
18236, 18295, 0.4990654671574131
8232, 8440, 0.4756197013219857
15998, 16073, 0.4314727782719286
21986, -1, 0.4226907157760361
9144, 9235, 0.41870568641725514
11887, 12129, 0.4163314309024706
14917, 15161, 0.40822600675166526
0, 243, 0.3723676838943374
11039, 11188, 0.34804736522139973
21272, 21427, 0.3043414138865758
22421, -1, 0.28732656153715974
12539, 12651, 0.2747836548638858
11894, 12129, 0.2446599349091042
2615, 2696, 0.24180707945242866
9775, 9929, 0.20657860238758372
19739, 19891, 0.18470367216424982
21986, 22345, 0.1745166481111334
11973, 12129, 0.16414973747937314
18545, 18700, 0.15001734849147713
1181, 1310, 0.12995235789746895
2881, 3057, 0.12365187672277488
12244, 12386, 0.12219267744889056
11410, 11619, 0.12177236360507428
10906, 11188, 0.11638737318020305
1958, 2087, 0.11170912587522719
9775, 9875, 0.10741878733443515
19745, 19891, 0.10579425667365491
10798, 11188, 0.10467625418802887
19510, 19624, 0.10212307190717086
21989, -1, 0.10134885225893034
13505, 13743, 0.10126763253645599
18236, 18425, 0.09382782209914352
22421, 22553, 0.08974829610891004
14941, 15161, 0.08766574066390716
6240, 6312, 0.0856564639217428
10593, 10799, 0.08212786511587851
22421, 22680, 0.08064723930022463
10579, 11188, 0.07867570356714229
14962, 15161, 0.07725705190711123
23061, -1, 0.07340704013668846
15004, 15161, 0.06841469599699408
6240, 6390, 0.06453270327989963
2615, 2803, 0.06104454618842914
15998, 16101, 0.06007849802466629
21272, 21478, 0.05732251073289118
12295, 12386, 0.05599575196095498
13330, 13460, 0.05540244577668322
3140, 3243, 0.05364754081576434
18545, 18737, 0.05245773770113193
10195, 10328, 0.05177903547001564
15569, 15642, 0.051616370689502845
17972, 18162, 0.05022954406185362
22986, -1, 0.05021512040387639
9775, 10050, 0.05002584429205618
8539, 8853, 0.049260980521098875
975, 1081, 0.04836197007515402
12461, 12651, 0.04557173156967892
21989, 22345, 0.04391165875139051
2615, 2706, 0.04348104873900709
1181, 1277, 0.04313999787308601
13505, 13618, 0.0425165565112236
15412, 15517, 0.0408806597856102
20545, 20833, 0.040638410386528975
21986, 22162, 0.03869668143022707
9775, 9850, 0.03866095103155268
9788, 9929, 0.03796637492712864
21272, 21507, 0.03762942448167472
18845, 19187, 0.037538808353636745
8539, 8541, 0.036446714773196325
11428, 11619, 0.03632346842681237
2615, 3057, 0.03388132445583331
0, 270, 0.03322688336392134
17998, 18162, 0.03290922706867766
19568, 19802, 0.03202846238009665
1727, 2087, 0.02921888202242069
19739, 19802, 0.028683507719930314
9775, 9864, 0.027800221591036824
9775, 9988, 0.027520536307997636
18569, 18700, 0.027203145548747507
22680, -1, 0.026276324845496673
10864, 11188, 0.02457286854334052
2582, 2696, 0.024142112776265465
18236, 18309, 0.023573651726542955
20738, 20833, 0.022450477705533767
15412, 15642, 0.02242764173686868
20997, 21116, 0.0216232536597183
15998, 16134, 0.021316929316720426
13330, 13618, 0.02119619460970358
19456, 19624, 0.0211212859284445
18845, 19047, 0.020961091360336817
13330, 13743, 0.02049931167181145
11314, 11619, 0.01927310517403677
8539, 8682, 0.0189472457363995
21272, 21581, 0.018619697506476473
3767, 3970, 0.017425577926921683
21986, 22020, 0.017286810063581223
18819, 19187, 0.016760544608946746
10903, 11188, 0.01645937372489905
3767, 3891, 0.016075684486953967
5441, 5568, 0.015659396757811146
16896, 17052, 0.015322077642813374
2990, 3057, 0.015307718883368246
1727, 2046, 0.01438138157216171
2555, 2696, 0.014108721354009403
18569, 18737, 0.014091249215123855
9788, 9875, 0.013945872650795733
7464, 7728, 0.013794875407822727
19745, 19802, 0.013405290285018514
18004, 18295, 0.012776833801288481
1958, 2046, 0.012680134008652554
2025, 2087, 0.012599871178345972
1942, 2087, 0.012250128454473175
21272, -1, 0.01204153331917409
11956, 12129, 0.011663018199025378
12512, 12651, 0.011638853035287446
3686, 3891, 0.011126688233470416
9788, 10050, 0.011032021636889997
19568, 19891, 0.0107666642916039
18545, 18668, 0.010445358935492395
13359, 13460, 0.010383943040434723
11864, 12129, 0.010310835720156696
3140, 3312, 0.010296844677888928
14535, 14685, 0.010142708412053851
10593, 11188, 0.009880696036931518
13359, 13618, 0.009824117365601842
3648, 3891, 0.009750883477768145
21989, 22162, 0.009711212287062978
8232, 8280, 0.009662082846808688
13359, 13743, 0.009449810732402239
12215, 12386, 0.009291478977164962
10546, 10799, 0.009255078650728417
13558, 13743, 0.009243710239976414
975, 1310, 0.009019426331918694
20257, 20318, 0.009012630691105323
21986, 22283, 0.009004815090695024
18819, 19047, 0.008917902011848364
975, 1277, 0.008770869692486775
22882, -1, 0.008455907070839982
1993, 2087, 0.008407969160368461
20598, 20833, 0.008397377295597846
8968, 9235, 0.008356867460169799
18545, 18653, 0.008329868388955462
19466, 19624, 0.008093418901310798
10879, 11188, 0.007976987231084982
0, 27, 0.007797541110587904
11853, 12129, 0.007722242869156738
13505, 13635, 0.007661340495464696
12518, 12651, 0.007596323525815245
13143, 13331, 0.007433364126132469
12485, 12651, 0.007427824273706277
14917, 15228, 0.007421924062193185
23021, -1, 0.007361964539056803
21986, 22154, 0.0073240550652539154
17913, 18162, 0.007057530769776773
21272, 21577, 0.007025959253290447
12096, 12129, 0.006864288266655668
5043, 5273, 0.006708744267237416
1118, 1310, 0.006681340209592111
6934, 7217, 0.006660363655547731
12233, 12364, 0.00665741871871952
9775, 9900, 0.0065947204316584625
15569, 15684, 0.006570034492173709
18236, 18700, 0.006541912463987254
17239, 17388, 0.0065028928972247334
7608, 7728, 0.006496849828325334
18046, 18162, 0.006493914984240663
9788, 9988, 0.006437693819889252
2959, 3057, 0.00637085944820191
19329, 19624, 0.006332731431012021
3686, 3970, 0.006287139425165663
1118, 1277, 0.006124052400114434
18236, 18316, 0.005890245485972096
18051, 18162, 0.005876740678711479
21986, 22141, 0.00585492321736332
9801, 9929, 0.005828636492440581
1181, 1281, 0.005745509398757217
3648, 3970, 0.005693309102159909
19690, 19802, 0.005657904710713806
15412, 15422, 0.005601356956902045
19568, 19628, 0.005280895737175872
15998, 16276, 0.005157483145870541
19690, 19891, 0.005114482341160181
20501, 20833, 0.005110704818705675
18505, 18700, 0.004979838771289258
9788, 9850, 0.004660301234458141
4794, 4967, 0.004587145379335931
18845, 19153, 0.004561123828145209
2990, 3243, 0.004501149732310669
15569, 15630, 0.004480715439030239
4992, 5119, 0.004454743335949675
3031, 3243, 0.004406904937349493
2946, 3057, 0.004340111481023212
9775, 10045, 0.004327746214945332
10867, 11188, 0.004303729703792252
3782, 3970, 0.004246845543637728
14795, 14830, 0.004238330327788209
6934, 7070, 0.00421797276299879
1149, 1310, 0.004190277452935886
9775, 10114, 0.0041676455345005465
11434, 11619, 0.004118266048668182
19739, 20080, 0.0041132295312083945
15516, 15642, 0.0040658888460023855
19739, 19842, 0.003954459049755281
20257, 20491, 0.0038961838729536175
3726, 3891, 0.0038698109689287346
2045, 2087, 0.003778545742692338
21989, 22020, 0.0037423696676149028
2582, 2706, 0.0037258713728730002
22790, -1, 0.003674400745453876
3242, 3312, 0.0036583004351517113
18872, 19187, 0.0036490440212646152
6934, 7101, 0.0034621189316641075
9788, 9864, 0.003459837487342402
467, 868, 0.00344991334561843
16861, 17052, 0.003427039603673073
920, 1081, 0.003363726238170138
20580, 20833, 0.003348550721849794
13330, 13432, 0.003338508563801564
15412, 15630, 0.0033303139056849685
10184, 10328, 0.003270530553225419
16041, 16073, 0.003220512146567048
21986, 22244, 0.0032135955084021516
