Gene = Ankdd1a
index = 119
Annotated 5SS: [   34  3302  5547  7537  9866 10548 11571 12162 12578 15062 15703 16101
 16828 18009]
Annotated 3SS: [ 3197  5447  7437  9760 10448 11471 12062 12478 14962 15603 16004 16622
 17876 18678]
SMsplice 5SS: [  346  3302  5547  7537  9866 10548 11571 11808 12162 12578 15062 15703
 16101 16828 18009]
SMsplice 3SS: [ 3197  5447  7437  9760 10448 11471 11703 12062 12478 14962 15603 16004
 16622 17876 18195]
top_k =  500
Partition function (log Z): 25.640241156692724

Sorted 5' Splice Sites (High to Low Probability):
Position 9866: 0.9936894072578304
Position 11571: 0.9894344273092552
Position 7537: 0.940398827837833
Position 16101: 0.925579337485317
Position 16828: 0.9233201942496586
Position 12578: 0.9034577824247843
Position 18009: 0.9012019659265949
Position 12162: 0.8963332928062836
Position 3302: 0.8890737398214935
Position 10548: 0.8045129508170825
Position 15703: 0.7258589473751627
Position 5547: 0.5960539640478177
Position 15062: 0.585111247758116
Position 346: 0.49907530515231924
Position 11808: 0.46800055698190246
Position 5557: 0.39880196103355997
Position 17100: 0.35020464869071505
Position 34: 0.30684406260059643
Position 8991: 0.29679595511400503
Position 5821: 0.2875898353340901
Position 11948: 0.2210979157870871
Position 16281: 0.17068769564233197
Position 3528: 0.0910789085814238
Position 81: 0.08462740604025716
Position 10314: 0.075640681878282
Position 18231: 0.07545100830869746
Position 431: 0.07257325846415684
Position 7944: 0.06560640227022646
Position 2993: 0.06284945488894546
Position 9700: 0.04698183127757596
Position 9499: 0.04274086856275153
Position 5381: 0.03944845720263923
Position 15311: 0.037591489525497415
Position 16439: 0.03664905497515899
Position 12144: 0.03170820892159548
Position 2957: 0.03147135010812465
Position 16882: 0.02906264678541824
Position 105: 0.027240072586329194
Position 11092: 0.02212455583781109
Position 11723: 0.022094439420395448
Position 11814: 0.02167359402111553
Position 2097: 0.01984360071343711
Position 120: 0.016615504876912823
Position 16739: 0.016477087053898633
Position 15279: 0.015450717689041217
Position 3370: 0.015300715232395993
Position 4097: 0.015012968469275486
Position 3306: 0.013281199811890645
Position 2754: 0.01279061839420634
Position 10904: 0.012641590745428494
Position 8820: 0.011082566876406954
Position 3112: 0.010228466495529064
Position 7122: 0.009743379139142314
Position 12416: 0.00928370127453795
Position 234: 0.009270434432369072
Position 8609: 0.009064253357912957
Position 2848: 0.0076059311031250465
Position 7922: 0.007111904548527689
Position 15197: 0.006360453264243315
Position 6612: 0.006327668845683252
Position 11608: 0.005318928278186778
Position 492: 0.005294461302295239
Position 12916: 0.004657012779630373
Position 4804: 0.00452836135195998
Position 13989: 0.004524104469541002
Position 2648: 0.004243941158724287
Position 2722: 0.004237238313691648
Position 15793: 0.0041452471266763226
Position 3102: 0.00413829430576972
Position 805: 0.004124131937687294
Position 15154: 0.004119347904165822
Position 9394: 0.003863253155300966
Position 11851: 0.0038028499308635187
Position 6492: 0.0037169384727930893
Position 4815: 0.0034382845830927414
Position 3487: 0.0033284326710709576
