Gene = AT4G31200
index = 991
Annotated 5SS: [1378 1829 2972]
Annotated 3SS: [1556 1942 3073]
SMsplice 5SS: [2972]
SMsplice 3SS: [3073]
Partition function (log Z): -9.126681672344775

Sorted 5' Splice Sites (High to Low Probability):
Position 2972: 0.9168136177164888
Position 1829: 0.8174690368210991
Position 1378: 0.6160732504755186
Position 2167: 0.21142037862665314
Position 2114: 0.20172397119216265
Position 1152: 0.16908887232155465
Position 2529: 0.13052882927047343
Position 2186: 0.07888195696521061
Position 1845: 0.06636341702155298
Position 20: 0.04694372252597685
Position 1473: 0.03743656584348756
Position 2192: 0.03612090393632258
Position 2150: 0.03440441807324468
Position 2567: 0.032496399357970725
Position 438: 0.0274601320728976
Position 496: 0.025904301839385087
Position 1717: 0.02379024811118388
Position 88: 0.015032128924330299
Position 772: 0.013993183210814605
Position 1161: 0.013869803288278783
Position 2649: 0.012830155826310514
Position 779: 0.01103020435482603
Position 2644: 0.010773774164519672
Position 3004: 0.01074608963703628
Position 864: 0.009314659121617606
Position 2393: 0.007593089361241234
Position 2233: 0.006892860772001382
Position 2303: 0.006680073321585169
Position 1467: 0.006061907726613762
Position 700: 0.00589225603718258
Position 105: 0.005637332099685162
Position 870: 0.004833723507544439
Position 2324: 0.003587282414873934
Position 2660: 0.0033876287527637595
Position 2698: 0.002803021097319521
Position 1307: 0.002787946822460087
Position 2653: 0.002310230078884541
Position 1967: 0.00230579794954966
Position 789: 0.0022738254947934403
Position 2266: 0.0021777344217491063
Position 2770: 0.0020442373183466823
Position 767: 0.002001362672816456
Position 1439: 0.001977132805176559
Position 84: 0.0018004592750429811
Position 2425: 0.0017126702465942647
Position 2063: 0.001564900286214123
Position 3010: 0.0015325929507144747
Position 204: 0.001511914164460774
Position 2278: 0.001465161972746714
Position 2308: 0.0014560335832775233
Position 1008: 0.001283868875220266
Position 1116: 0.001267457606198124
Position 1446: 0.0012483765098483801
Position 2675: 0.0012108550590042143
Position 1197: 0.0011130015332770948
Position 2051: 0.001038930388081108
Position 858: 0.0010031890509296947
Position 1001: 0.0009243345772615937
Position 630: 0.0009017810984383513
Position 2539: 0.0008857105664777286
Position 2689: 0.0008848809117610269
Position 1178: 0.0007449375128575632
Position 1877: 0.0006964679218298481
Position 209: 0.000666897788772406
Position 2623: 0.000641103584383567
Position 2189: 0.0006148781990036587
Position 1346: 0.0005544558044654463
Position 2680: 0.0005479656101998443
Position 1144: 0.0004340268825521593
Position 2038: 0.00041165733969693297
Position 2474: 0.00039713074118240044
Position 1477: 0.0003873545993794403
Position 1823: 0.0003662804378635982
Position 984: 0.00035470116303763723
Position 215: 0.0003232123313779321
Position 2286: 0.0002942028726724096
Position 522: 0.000293292900817386
Position 2954: 0.00026108591225521
Position 2318: 0.0002560568630791914
Position 1132: 0.0002438740393745835
Position 229: 0.00024312593572205676
Position 1679: 0.0002088332998643642
Position 1893: 0.00019652295769523385
Position 265: 0.00018252441898371983
Position 625: 0.0001722867103608484
Position 2683: 0.00016740549036835625
Position 1252: 0.00015463209342551646
Position 2194: 0.00014804797563414216
Position 1239: 0.00014055154517465194
Position 148: 0.0001379329226697229
Position 69: 0.00013791468336189644
Position 92: 0.00013039918599761603
Position 2011: 0.00012254739175180963
Position 2673: 0.00011415811840128686
Position 2857: 0.0001141183569280258
Position 217: 0.00011001956389454169
Position 1622: 0.00010896689989008111
Position 1228: 0.00010520904766245047
Position 143: 0.00010511414930669405
Position 1698: 0.00010119627085190076
Position 1534: 9.232940606832021e-05
Position 180: 8.14638917780367e-05
Position 1763: 6.546828236737132e-05
Position 1972: 6.0114066907644065e-05
Position 202: 5.370811020865967e-05
Position 1199: 5.366630640199237e-05
Position 796: 5.182198344908572e-05
Position 937: 5.1682569202679115e-05
Position 137: 4.5089454921274846e-05
Position 2591: 4.273978910403138e-05
Position 2086: 4.16552609015287e-05
Position 3170: 4.091506089614197e-05
Position 151: 3.667223056346764e-05
Position 1674: 3.371978075640753e-05
Position 2853: 2.139808215069728e-05
Position 553: 2.055068440873178e-05
Position 169: 1.966544826878108e-05
Position 24: 1.962050037777025e-05
Position 1495: 1.8505082203081147e-05
Position 850: 1.668733040456855e-05
Position 844: 1.6311772186202164e-05
Position 74: 1.320875687584416e-05
Position 112: 1.3078421314363367e-05
Position 2838: 1.1996659335363108e-05
Position 406: 1.0356579312274479e-05
Position 1019: 6.254593571319284e-06
Position 5: 4.924449446463765e-06
Position 1584: 4.182272090422528e-06
Position 2375: 4.16299312222716e-06
Position 146: 2.9011320925460707e-06
Position 110: 2.848847421784678e-06
Position 348: 2.8333092938113383e-06
Position 3108: 2.233293376068088e-06
Position 358: 2.189225315685781e-06
Position 300: 1.6170316493280204e-06
Position 2848: 1.5843365604487683e-06
Position 1556: 8.019745290217742e-07
Position 2870: 7.713943938576236e-07
Position 2908: 5.0899701134631e-07
Position 350: 4.967659576840509e-07
Position 2884: 4.059950499336971e-07
Position 2912: 3.7296285015272977e-07
Position 3034: 1.1927933809097457e-07
Position 3044: 5.370291976800422e-09
Position 3048: 1.6226212378672526e-09
Position 3052: 4.731980859965274e-10
Position 3060: 2.7282614788535287e-10
Position 3056: 2.0075174033561951e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 3073: 0.9416186755340455
Position 1942: 0.8353324695343533
Position 1556: 0.535994968176188
Position 2893: 0.3776585102673893
Position 2853: 0.23535107976491304
Position 1261: 0.18499618464209125
Position 1610: 0.07797991466465065
Position 2896: 0.07230595451405233
Position 1464: 0.05886090982918127
Position 318: 0.05251702859902243
Position 2555: 0.042451376903533546
Position 863: 0.039461645985769685
Position 2346: 0.02733595637075371
Position 2838: 0.025620727942234894
Position 2802: 0.019015504967258807
Position 1507: 0.016372140594546246
Position 2424: 0.015356425812118095
Position 1698: 0.010266247597354053
Position 2712: 0.008744593453005118
Position 2932: 0.007200871124981233
Position 2266: 0.006665643499642026
Position 1804: 0.006238421310179226
Position 2375: 0.005705815708384736
Position 2824: 0.004784070859725442
Position 1280: 0.004482564314785194
Position 1568: 0.004292520705797593
Position 356: 0.003949099081383887
Position 1956: 0.0034950083242720207
Position 553: 0.003487590803245618
Position 550: 0.0030813495176595994
Position 1597: 0.002882647519567417
Position 2808: 0.002844685994110022
Position 1807: 0.002780227148951023
Position 2302: 0.002346553894789266
Position 232: 0.002257960143506199
Position 583: 0.0021372128998537556
Position 2323: 0.0020528015341983114
Position 2723: 0.0018501420628328274
Position 1377: 0.0018149602506411845
Position 141: 0.0015157642058624885
Position 421: 0.001462240129439693
Position 1332: 0.001143912566914769
Position 1069: 0.0010309340551848914
Position 580: 0.0009497221392608523
Position 1993: 0.0008784778308486268
Position 348: 0.00087555726391516
Position 1239: 0.0007798370443063175
Position 1226: 0.0007586844766196354
Position 586: 0.0007459736446805352
Position 1132: 0.0006326217749405491
Position 622: 0.0005984332564395982
Position 1828: 0.0005903441066966197
Position 1637: 0.0005638758582254193
Position 2935: 0.0005483955118482664
Position 637: 0.0004592106999717405
Position 2367: 0.0004485494946527949
Position 2382: 0.0004317197982181138
Position 1979: 0.0004238909601859944
Position 209: 0.00040861722026770686
Position 2770: 0.000376208681940971
Position 1289: 0.00035546624788551883
Position 1151: 0.0003425383982996723
Position 1263: 0.0003372423763371613
Position 1473: 0.00032244752036003795
Position 1090: 0.00031084267483039033
Position 2286: 0.00029536949139311416
Position 2940: 0.0002893686935070295
Position 2644: 0.0002723865307396248
Position 378: 0.0002705300118780794
Position 565: 0.0002658839913228684
Position 2296: 0.0002648625921131047
Position 1286: 0.000262191145339237
Position 2506: 0.0002580016448343716
Position 1967: 0.00023290289460330718
Position 2171: 0.00019297652373744846
Position 2658: 0.00018703653328273773
Position 1713: 0.00018566605304013353
Position 1246: 0.00017486539784778576
Position 1755: 0.00015856335940934586
Position 1662: 0.00015392032491708991
Position 104: 0.0001460870506335919
Position 646: 0.00014353750538947935
Position 382: 0.0001433419262894886
Position 2440: 0.0001341000195000075
Position 1336: 0.00013246184399396944
Position 3079: 0.00012952780177761196
Position 2276: 0.00012920057254225435
Position 2564: 0.00012367227614923357
Position 1753: 0.00012068726337776082
Position 2649: 0.00012067127705049719
Position 2905: 0.00011865318798119702
Position 1995: 0.0001173390434878046
Position 731: 0.00011523562176422748
Position 358: 0.0001125418662466924
Position 1716: 0.00010896899070436652
Position 1666: 0.00010876489043071248
Position 2181: 0.00010420215931671983
Position 1419: 0.00010296591587545982
Position 1729: 9.841771434192733e-05
Position 886: 9.410567649964579e-05
Position 1467: 9.174534744938052e-05
Position 1689: 8.89328795372923e-05
Position 2298: 8.659766082040762e-05
Position 1078: 8.642473885571885e-05
Position 2318: 8.375307886426966e-05
Position 2623: 7.916065473665001e-05
Position 1584: 7.815217074144261e-05
Position 3291: 7.72213567964424e-05
Position 2278: 6.473071793357869e-05
Position 88: 6.222013816240713e-05
Position 784: 5.978111246870051e-05
Position 1763: 5.898037260083346e-05
Position 2121: 5.886535662528475e-05
Position 427: 5.438629784766862e-05
Position 454: 5.187319372270728e-05
Position 294: 4.93889801581269e-05
Position 2274: 4.9345245568044926e-05
Position 430: 4.714169669359925e-05
Position 328: 4.416388410359312e-05
Position 1898: 4.236284794788723e-05
Position 1228: 4.178845782264205e-05
Position 595: 3.911654043676003e-05
Position 2591: 3.885774034401491e-05
Position 914: 3.79839823106637e-05
Position 2665: 3.6673131645976e-05
Position 2307: 3.6451524396431234e-05
Position 3108: 3.5886171331143414e-05
Position 2459: 3.490103451488754e-05
Position 2392: 3.363462844272413e-05
Position 3097: 2.9637143530066024e-05
Position 151: 2.89752871056925e-05
Position 2680: 2.6057926707163357e-05
Position 984: 2.4027597295626257e-05
Position 2436: 2.390479374945748e-05
Position 2597: 2.2698514363672252e-05
Position 1749: 2.2522695748156714e-05
Position 740: 2.1810634326429565e-05
Position 2946: 2.056991735607681e-05
Position 1674: 2.0347191829971284e-05
Position 2189: 1.6981114334544086e-05
Position 1355: 1.661290622794658e-05
Position 496: 1.6044775700124018e-05
Position 2472: 1.5463471031522723e-05
Position 819: 1.5462619366676963e-05
Position 1686: 1.5190662765064833e-05
Position 2673: 1.4646828440731695e-05
Position 3112: 1.4450905275069221e-05
Position 2118: 1.264627866202827e-05
Position 2609: 1.2612419402179304e-05
Position 2389: 1.2612345413694152e-05
Position 2175: 1.2491993932939783e-05
Position 2599: 1.0878311169822378e-05
Position 92: 8.274638025775056e-06
Position 155: 6.868494488702626e-06
Position 2969: 5.946335172440736e-06
Position 2567: 5.8056187036236565e-06
Position 2529: 5.4054449595766135e-06
Position 1421: 5.3651559177838985e-06
Position 823: 5.137041533443861e-06
Position 2213: 5.044808489452852e-06
Position 1291: 4.788867714674146e-06
Position 2486: 4.770184395391113e-06
Position 3295: 4.704095340462829e-06
Position 802: 4.33162924784888e-06
Position 1346: 4.044083686669109e-06
Position 748: 3.3778890797756274e-06
Position 1883: 3.2563026848520826e-06
Position 3190: 2.948337053887654e-06
Position 2614: 2.3370585287351064e-06
