Gene = Supt7l
index = 1045
Annotated 5SS: [ 159 4120 6691 8507]
Annotated 3SS: [ 3511  6365  8268 10846]
SMsplice 5SS: [ 159 6691 8507]
SMsplice 3SS: [ 6642  8268 10846]
top_k =  100
Partition function (log Z): -5.984634544327562

Sorted 5' Splice Sites (High to Low Probability):
Position 159: 0.9941252925923378
Position 6691: 0.8757407476527229
Position 4120: 0.5442533694293216
Position 8507: 0.37557058475992805
Position 3715: 0.3454513812108908
Position 8362: 0.34022380115738565
Position 2195: 0.23147957080783294
Position 8387: 0.0778275198511623
Position 9956: 0.07156969151167802
Position 9275: 0.06359060640536912
Position 8383: 0.05865543761301849
Position 7983: 0.032318306913763355
Position 326: 0.03130558803905878
Position 6106: 0.01678254546678931
Position 1862: 0.01317648073385625
Position 8456: 0.006238980895307367
Position 1607: 0.004568878501775333
Position 2462: 0.001507855402195737
Position 653: 0.00011106062715269966
Position 1589: 7.8904027534966e-05
Position 330: 6.552659978940552e-05
Position 135: 4.141696811582567e-06
Position 122: 2.2328300618321545e-06
Position 116: 2.0633663816508325e-06
Position 163: 1.99169636853157e-06
Position 6: 6.953527213682184e-07
Position 60: 4.0805139659347394e-07
Position 99: 3.4528613737076147e-07
Position 43: 2.466555794806085e-07
Position 51: 1.104436822857593e-07
Position 507: 1.939888455731122e-08
Position 190: 1.1358660615762429e-09
Position 184: 4.190418702327201e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 10846: 0.9166469375333269
Position 8268: 0.8965039760593166
Position 6642: 0.5349997180850402
Position 3613: 0.3595579470425545
Position 6365: 0.34238206129332954
Position 4084: 0.2699354426795614
Position 4048: 0.19778082061856206
Position 1956: 0.09894182723590463
Position 9816: 0.08976146102701277
Position 9102: 0.0867722319072345
Position 2053: 0.06481986175210033
Position 2037: 0.05313390548665628
Position 7867: 0.032318306913763355
Position 3823: 0.03035529134127389
Position 228: 0.02089097213136828
Position 3872: 0.018183848834354133
Position 6052: 0.016782545466789298
Position 3511: 0.014171334420414837
Position 1989: 0.013572911699979824
Position 1713: 0.011260115508812658
Position 1504: 0.0063987266050158555
Position 237: 0.0046219302419462545
Position 8555: 0.0017519340560009518
Position 2018: 0.0010469871098992309
Position 2380: 0.0008138464746616799
Position 2327: 0.0006940089275340588
Position 5011: 0.00019144175427398546
Position 1731: 0.00015439666855135276
Position 578: 0.00010137022912521537
Position 1654: 4.4379812303888924e-05
Position 259: 2.9805855132334118e-05
Position 1426: 2.6185927470707562e-05
Position 1479: 7.855832533418195e-06
