Gene = PIGV
index = 1028
Annotated 5SS: [ 274 2899 7240]
Annotated 3SS: [2763 6117 9567]
SMsplice 5SS: [ 681 2899]
SMsplice 3SS: [2763 6117]
top_k =  1000
Partition function (log Z): -9.273939673597942

Sorted 5' Splice Sites (High to Low Probability):
Position 6212: 0.6792849458924565
Position 2899: 0.6675085113452398
Position 681: 0.4288798558380046
Position 6661: 0.32717695083542137
Position 4099: 0.29380659952897514
Position 825: 0.20572495522349585
Position 4885: 0.1899667988634651
Position 6643: 0.14430088122253468
Position 274: 0.14036862520515944
Position 1332: 0.13528153797650017
Position 7240: 0.0930614890731836
Position 4005: 0.08198810613859742
Position 1036: 0.07742726224390938
Position 7012: 0.07418111609389258
Position 3114: 0.05820897706198473
Position 2876: 0.05472102528209713
Position 2859: 0.036969947880666584
Position 3068: 0.03277913254520047
Position 1523: 0.028486166992957064
Position 100: 0.02842455592803938
Position 6279: 0.0280237005979126
Position 220: 0.02781588031945786
Position 1964: 0.025003150518036064
Position 9870: 0.024021037893020673
Position 735: 0.02343262238780099
Position 627: 0.018471165868366664
Position 15: 0.01766073351390962
Position 6328: 0.014047695812197223
Position 883: 0.013976086429753953
Position 9712: 0.013160055374922121
Position 699: 0.010283962588824665
Position 400: 0.009308252325860262
Position 632: 0.009084659858578344
Position 5066: 0.007936343745241761
Position 2097: 0.0066019698380482186
Position 2656: 0.006438675533507454
Position 2648: 0.005884677103329424
Position 2955: 0.004762064195578874
Position 2057: 0.0044959188986603725
Position 1503: 0.004423088316572144
Position 2851: 0.004348619463432365
Position 9101: 0.004138168406537337
Position 1284: 0.004012500315099397
Position 2990: 0.0034594483196428148
Position 3223: 0.0033150548086404905
Position 1562: 0.003271405573045019
Position 433: 0.0031123065498088152
Position 6394: 0.002839352438036801
Position 1144: 0.002360168212164597
Position 1272: 0.002264899478290949
Position 840: 0.002230719659575485
Position 878: 0.0021526822132680807
Position 7220: 0.0021350593012553105
Position 3244: 0.0017508053039536156
Position 637: 0.0017271892336534185
Position 1367: 0.0014318729939192894
Position 3956: 0.0012892553833376444
Position 2653: 0.001160160698284779
Position 2111: 0.0011523220691394232
Position 3538: 0.0010746971092267395
Position 3570: 0.0010574729875754078
Position 6342: 0.0007986136540399387
Position 2448: 0.000632759553732268
Position 1154: 0.0004797233108338464
Position 1045: 0.0002913704501323827
Position 1040: 0.00028215705960023463
Position 1149: 0.0001777923250979239
Position 335: 0.0001240068960290751
Position 939: 0.00012173621696421221
Position 4002: 0.00011376095869897716
Position 544: 9.59877799891249e-05
Position 4020: 9.458926662079387e-05
Position 7182: 9.273446505543123e-05
Position 671: 8.4932068461851e-05
Position 1741: 7.816238583768007e-05
Position 1732: 3.448655017880725e-05
Position 847: 3.1250531055363666e-05
Position 451: 3.051837015401381e-05
Position 249: 2.776075825674407e-05
Position 307: 1.599551531071364e-05
Position 431: 1.529284661721721e-05
Position 709: 1.3808139433036157e-05
Position 65: 1.3601509688214046e-05
Position 196: 1.2195274322261483e-05
Position 564: 1.1754405749528116e-05
Position 291: 1.1483961001315024e-05
Position 1081: 9.396159595989706e-06
Position 817: 8.474701921395277e-06
Position 1022: 8.442737589625383e-06
Position 851: 7.805849565924918e-06
Position 600: 7.0111408274622814e-06
Position 1109: 6.029302355924318e-06
Position 1136: 5.607931172548117e-06
Position 2903: 4.69286623461352e-06
Position 280: 4.665023625353228e-06
Position 867: 4.168799181271219e-06
Position 808: 3.928432525208771e-06
Position 1609: 3.336276183307243e-06
Position 1670: 3.050294777373029e-06
Position 829: 2.92995152825139e-06
Position 1696: 2.2485458329059267e-06
Position 1723: 1.7472598316732951e-06
Position 212: 1.2872908235505289e-06
Position 1507: 1.242390195861002e-06
Position 309: 1.2110560485433347e-06
Position 1430: 1.1406187146183574e-06
Position 757: 1.3599107458414097e-07
Position 1206: 1.0422041409918788e-07
Position 685: 1.012611489444236e-07
Position 1232: 5.684803141828226e-08
Position 246: 8.8250548627454e-09
Position 85: 1.0784995976843232e-09
Position 573: 8.889627380951945e-10
Position 437: 1.7688742544714114e-11
Position 464: 6.547581898115481e-12
Position 476: 3.8669023987126975e-12
