Gene = AT2G01690
index = 9
Annotated 5SS: [ 396  609  792 1068 1273 1385 1622 1814 2066 2291 2474 2642 2799 3040
 3242 3581 3797 3945 4334]
Annotated 3SS: [ 494  725  977 1152 1352 1478 1718 1978 2182 2381 2559 2732 2923 3120
 3418 3667 3875 4045 4496]
SMsplice 5SS: [ 396  609  792 1068 1273 1622 1814 2066 2291 2474 2642 2799 3040 3242
 3581 3797 3945 4334]
SMsplice 3SS: [ 494  725  936 1152 1478 1718 1985 2182 2381 2559 2732 2923 3120 3418
 3667 3875 4045 4496]
length: 5104
Partition function (logZ) = 70.40311143475114
#Introns = 3034
5SS, 3SS, prob
3040, 3120, 0.995512775934584
1622, 1718, 0.9942313067741134
2291, 2381, 0.9885472309025709
396, 494, 0.9863834154504093
3581, 3667, 0.9681630275947642
609, 725, 0.9652467124719233
3797, 3875, 0.9650898477137898
3945, 4045, 0.9646712224232045
2474, 2559, 0.9643643938872757
1068, 1152, 0.9636596188125822
2066, 2182, 0.9629684168814342
3242, 3418, 0.9616367160015946
4334, 4496, 0.9232747324068661
2799, 2923, 0.8221355480245851
2642, 2732, 0.8005871627096005
792, 936, 0.7505451764899129
1385, 1478, 0.5261097985195596
1814, 1985, 0.48220375979806773
1273, 1478, 0.4498451594507311
1273, 1355, 0.38091734161068064
1814, 1964, 0.25589309370328217
1814, 2017, 0.09447159264764478
2833, 2923, 0.09059046635534099
792, 977, 0.08890676593511421
1900, 1985, 0.08553537682011983
2642, 2709, 0.08463109981197421
800, 936, 0.060830822624177674
4670, 4785, 0.0358273130421236
2820, 2923, 0.029542540886516238
792, 912, 0.02887094363379865
1814, 1978, 0.026335817189392804
4373, 4496, 0.02629943129100504
2654, 2732, 0.02463870181898338
2474, 2556, 0.02434064254174288
1031, 1152, 0.02373940936723782
792, 917, 0.022961560340650545
3945, 4021, 0.022358084790598434
1814, 1923, 0.02226946349586245
2837, 2923, 0.022148588725641558
3242, 3479, 0.020002003715209837
2857, 2923, 0.01856873424480493
2634, 2732, 0.017882483011796287
2062, 2182, 0.015875031524380443
4334, 4499, 0.013346895008290699
3581, 3875, 0.011943441023713369
2118, 2182, 0.009943954919205734
3288, 3418, 0.009688785458473091
2634, 2709, 0.009474556438651256
2474, 2563, 0.008851657192198383
2291, 2403, 0.008749103689205525
3581, 3676, 0.008524956582415946
792, 984, 0.008018198222803787
396, 512, 0.007041307572721541
3797, 3888, 0.0068985405267292495
4334, 4439, 0.0065005074816883125
800, 977, 0.006302900269706536
1273, 1352, 0.006136649329279067
3581, 3707, 0.0057605535138612295
2642, 2923, 0.005471796158848768
1379, 1478, 0.005229095193451402
609, 936, 0.00504269920270379
3945, 4050, 0.004670492029550877
1900, 2017, 0.004668473426076726
1305, 1478, 0.004536059352398584
834, 936, 0.004534153164221684
4645, 4785, 0.004389335456204571
649, 725, 0.0041002072146768724
1814, 1904, 0.0038425237646728667
3893, 4045, 0.003785228575882691
2097, 2182, 0.0034489932851821266
4179, 4496, 0.003436639238783975
2799, 2872, 0.003408601554999354
1900, 1978, 0.003358559932680722
1814, 2182, 0.003333193282364374
2799, 2944, 0.003202808914317995
792, 1152, 0.0030860900658237667
800, 912, 0.002854344417285345
1900, 1964, 0.0026579630903497803
4179, 4261, 0.0026199499008067997
4256, 4496, 0.002478388261707239
1910, 1985, 0.0024075691630167807
3297, 3418, 0.0024010754143341203
609, 744, 0.002346547297868592
815, 936, 0.002199021380253322
396, 725, 0.0021654702993136967
800, 917, 0.0020915197778246957
1042, 1152, 0.002055127390139323
4334, 4417, 0.0020034663803096243
1622, 1691, 0.001974540310018866
3040, 3144, 0.0017831303532118725
1068, 1188, 0.0017006115007875907
4156, 4246, 0.0016978593092998242
1273, 1507, 0.0016518001460750233
274, 494, 0.00160922400138511
2105, 2182, 0.001534595531675308
4179, 4246, 0.0015254414946716144
792, 1017, 0.0014831635211588676
