Gene = AT2G27840
index = 292
Annotated 5SS: [ 292  807 1120 1252 1372 1524 1757]
Annotated 3SS: [ 735  898 1231 1335 1464 1614 1851]
SMsplice 5SS: [ 292  807 1252 1372 1524 1757]
SMsplice 3SS: [ 735  898 1335 1464 1614 1851]
length: 2103
Partition function (logZ) = 15.360964466375455
#Exons = 1070
3SS, 5SS, prob
1614, 1757, 0.989926437159296
1851, -1, 0.9874047742722293
735, 807, 0.9511094734472609
0, 292, 0.8142566173817611
898, 1252, 0.795027211935411
1464, 1524, 0.6049352305995812
1335, 1372, 0.5455054261915409
1335, 1524, 0.37205555391325623
627, 650, 0.09706151519635045
537, 650, 0.09443400076153402
0, 650, 0.09199409820562421
1095, 1252, 0.052713516006808916
898, 1372, 0.04959607315006909
1178, 1252, 0.04388347575648976
898, 1006, 0.035193427626432926
898, 1065, 0.032148143973426586
521, 650, 0.03198289111829235
537, 618, 0.026186387296020977
0, 618, 0.024095120501558123
396, 650, 0.02289955694628032
898, 979, 0.02117927290789548
627, 807, 0.020917050653926017
898, 1089, 0.01613768911003849
1148, 1252, 0.0158392463586615
659, 807, 0.012219879009602246
0, 386, 0.011770567607339527
521, 618, 0.011142533154489726
0, 168, 0.011068503022318009
1854, -1, 0.010183182744413183
373, 650, 0.009675085006637895
898, 1524, 0.009173397319747813
1037, 1252, 0.007991683267413927
0, 538, 0.007368121940376096
537, 636, 0.00683449180912561
396, 618, 0.006818350784369723
0, 636, 0.0059174011771667145
576, 650, 0.005600562312240074
922, 1252, 0.005384863790034504
254, 292, 0.005271213100206747
898, 963, 0.004832709480911145
0, 807, 0.0046027103008942005
1645, 1757, 0.004477669516077707
396, 538, 0.004341433091402471
530, 650, 0.004191062116487156
0, 396, 0.003846918536277098
735, 822, 0.0036528964875985233
0, 563, 0.003620974287047388
627, 660, 0.0035047081225134434
0, 420, 0.003194721237248625
898, 923, 0.0031206225314532317
1464, 1541, 0.0030497660086355296
434, 650, 0.002982374325964031
627, 636, 0.0029269583208754364
373, 618, 0.0028807598190860257
537, 628, 0.0028706940250605153
0, 373, 0.0026013107140967816
0, 449, 0.0025437379296013966
735, 811, 0.0024443698090848053
0, 628, 0.0024337123139547283
521, 636, 0.002418906467934405
898, 1076, 0.0023194940778146493
898, 953, 0.002316516900285035
1095, 1372, 0.0021716221816424305
0, 660, 0.001910822250815294
562, 650, 0.0018752000322682107
1178, 1372, 0.0018342123138126634
606, 650, 0.0017917293502912395
0, 174, 0.0017850374110165478
537, 660, 0.00175443681866865
1065, 1252, 0.0017280583959892132
396, 563, 0.0016348575346403149
0, 576, 0.0015942950677863901
396, 636, 0.0015754900480188002
373, 538, 0.0015281194727907047
1411, 1524, 0.001451933830517234
627, 654, 0.0013479957752768382
590, 650, 0.001331841930700597
