Gene = GeneID_692395
index = 56
Annotated 5SS: [ 12 511]
Annotated 3SS: [105 609]
SMsplice 5SS: [ 12 511]
SMsplice 3SS: [105 609]
top_k =  500
Partition function (log Z): -3.0673552882328043

Sorted 5' Splice Sites (High to Low Probability):
Position 511: 0.9498202856576841
Position 12: 0.8502709831919507
Position 133: 0.03588720348526148
Position 28: 0.014804883573272861
Position 146: 0.01227387639602369
Position 184: 0.007889046981350921
Position 256: 0.005688291723617425
Position 241: 0.00464600212582049
Position 537: 0.001949798000142085
Position 202: 0.0017482258911524786
Position 515: 0.0016674107784019258
Position 457: 0.000760777260858859
Position 16: 0.0007559195572159488
Position 60: 0.0006529231077007785
Position 484: 0.0005144098889276835
Position 343: 0.000300806367383356
Position 478: 0.0001839454166444053
Position 790: 0.00016817369438125793
Position 298: 0.00014244118088015307
Position 794: 5.9390816655848244e-05
Position 748: 4.499361998406263e-05
Position 692: 3.507968988103061e-05
Position 92: 3.3036782422983045e-05
Position 448: 3.0272513016733425e-05
Position 711: 2.674834949930937e-05
Position 734: 2.1789041193684908e-05
Position 753: 2.145522590532643e-05
Position 557: 1.273131258122009e-05
Position 841: 1.1594079396016608e-05
Position 330: 8.030053616944071e-06
Position 206: 7.019378536133887e-06
Position 412: 6.87099051527939e-06
Position 739: 6.765168575561732e-06
Position 277: 3.3120970287469325e-06
Position 365: 2.594159357264258e-06
Position 109: 2.1794776820753904e-06
Position 430: 1.2626548100884694e-06
Position 137: 1.0779293268946967e-06
Position 817: 3.797123691610334e-07
Position 119: 2.7816688047415615e-07
Position 124: 9.942720461143338e-09
Position 561: 4.496968954985199e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 609: 0.9795631917518174
Position 105: 0.7776568626021605
Position 354: 0.1018484184710085
Position 195: 0.015203248340507028
Position 133: 0.005531554148193371
Position 656: 0.0020669331298173053
Position 145: 0.0020431588838838305
Position 292: 0.0016509549642486174
Position 259: 0.0010479677141178353
Position 375: 0.0009240079100782622
Position 244: 0.0008937286924579886
Position 222: 0.0008014826681536755
Position 256: 0.0003549495090331152
Position 891: 0.00019334065192379703
Position 112: 0.0001739854633213191
Position 560: 0.00012583049771851707
Position 911: 0.00011082277262343351
Position 794: 7.42544023241231e-05
Position 850: 4.069355154307867e-05
Position 575: 2.8368569607784497e-05
Position 872: 2.4611689636417985e-05
Position 727: 2.36138764960182e-05
Position 425: 1.661912974597577e-05
Position 457: 1.4942183389477453e-05
Position 137: 9.893224240307898e-06
Position 669: 7.542637139595127e-06
Position 739: 6.19586407691421e-06
Position 681: 5.4929557472672095e-06
Position 478: 5.120099763020246e-06
Position 536: 4.537185059453084e-06
Position 675: 4.1402577486207706e-06
Position 119: 3.3879312530436997e-06
Position 748: 7.809427802130936e-07
Position 197: 6.046924103228226e-07
Position 572: 5.920647347124198e-07
Position 502: 4.458858096449251e-07
Position 159: 1.7102396527749317e-10
