Gene = FAIM
index = 522
Annotated 5SS: [   87 12689 13566 20306]
Annotated 3SS: [12555 13336 20255 24078]
SMsplice 5SS: [   87 10920 12689 13566 20160 20306 23586]
SMsplice 3SS: [10782 12555 13336 20046 20255 23469 24078]
top_k =  1000
Partition function (log Z): -1.2880574483057836

Sorted 5' Splice Sites (High to Low Probability):
Position 20306: 0.9728421194479618
Position 12689: 0.9298201368637478
Position 87: 0.7378781560710383
Position 13566: 0.663044916210508
Position 20160: 0.5461915141594833
Position 23586: 0.47716103314002284
Position 20486: 0.3447207419817418
Position 10920: 0.3254713305087031
Position 13542: 0.30527381973037215
Position 6597: 0.17585628132648234
Position 23743: 0.14395415917759402
Position 1562: 0.12183646146969641
Position 269: 0.09519755319925637
Position 20181: 0.08896818540518779
Position 20867: 0.08846679747538422
Position 385: 0.08755730079252497
Position 14995: 0.05005076548448659
Position 19519: 0.04990073092923777
Position 1104: 0.04265136117732645
Position 22801: 0.039417688034015456
Position 284: 0.03867384188325865
Position 15509: 0.030276867666778493
Position 296: 0.02810902157397131
Position 2187: 0.024151784455662535
Position 23761: 0.023085283918369157
Position 21505: 0.019915392393363634
Position 14796: 0.019771075299022594
Position 15725: 0.018675534237833972
Position 5726: 0.01802353790773135
Position 23090: 0.01647535187321775
Position 7304: 0.015955720143942156
Position 18997: 0.013722113863970858
Position 20620: 0.013460453030207818
Position 20481: 0.012140030860597298
Position 22602: 0.01151917132859017
Position 20654: 0.011143909946112876
Position 13674: 0.010030097644073891
Position 16978: 0.008759607249078302
Position 23631: 0.007997774490669409
Position 18893: 0.006589875215206081
Position 22768: 0.006562705354854605
Position 24277: 0.006424290650676964
Position 379: 0.005581109875012009
Position 19054: 0.004422521720718329
Position 14658: 0.004076517668487534
Position 890: 0.004060235525281241
Position 18753: 0.004014226972127945
Position 21165: 0.0028198278539100993
Position 13526: 0.002819211588171049
Position 13059: 0.0025651982767913167
Position 18212: 0.0022215909691685465
Position 17052: 0.002208297539915985
Position 15413: 0.002106653193134098
Position 20572: 0.0019319956356823491
Position 21030: 0.0016476700122928243
Position 2235: 0.0015848433825371405
Position 4447: 0.001528397420754102
Position 265: 0.0012238442989808266
Position 20286: 0.0012148339961787484
Position 5814: 0.0011686496585876884
Position 6655: 0.0009590829804543292
Position 2492: 0.0008419917189380162
Position 24248: 0.0007919308697329865
Position 3530: 0.0007907263514725347
Position 24080: 0.0007541409550323211
Position 9274: 0.0007474912141713999
Position 12668: 0.0005348645412491038
Position 24294: 0.00040870532427170187
Position 423: 0.00036634543635160894
Position 22016: 0.0003608405736826971
Position 7135: 0.00035005140539597307
Position 17081: 0.0002828179732978745
Position 18050: 0.00026747344246940796
Position 1351: 0.00026537345042485525
Position 6665: 0.0002569676537165288
Position 21450: 0.0002491583474771441
Position 22991: 0.0002463126183219355
Position 109: 0.0002452876331199791
Position 18237: 0.0002129332831342933
Position 18039: 0.00019948182182298092
Position 6676: 0.0001928244399501995
Position 2531: 0.00017447925077769406
Position 1051: 0.00013794677043741193
Position 13489: 0.000132884163994742
Position 24224: 0.00012542719036985888
Position 104: 0.00012394722316270813
Position 328: 0.00012020369915167194
Position 602: 7.685011375650659e-05
Position 45: 5.265186967142775e-05
Position 14798: 3.809629174885829e-05
Position 814: 3.536336446057719e-05
Position 13570: 3.5298027344538424e-05
Position 20474: 3.484180572843998e-05
Position 37: 3.2785079090583684e-05
Position 604: 2.127946333048003e-05
Position 805: 1.990598236116354e-05
Position 590: 1.6975332791824428e-05
Position 13753: 1.5737570060199663e-05
Position 13654: 1.217772800270918e-05
Position 1481: 9.161871818778895e-06
Position 932: 8.910129581197529e-06
Position 14203: 4.024684705475911e-06
Position 873: 3.718677174117935e-06
Position 859: 1.8902887493387989e-06
Position 254: 1.8557782783240694e-06
Position 896: 1.7857306747802385e-06
Position 2840: 1.5628409932484039e-06
Position 902: 1.2637165706709145e-06
Position 2210: 1.1049771432673543e-06
Position 621: 1.029767309809383e-06
Position 631: 9.91263112265757e-07
Position 795: 6.188433091444903e-07
Position 13975: 5.822106151472253e-07
Position 1080: 4.948363091812474e-07
Position 13684: 4.311807249156546e-07
Position 3804: 2.4977037619109744e-07
Position 2369: 2.4866827906648565e-07
Position 23747: 1.7922820228251938e-07
Position 113: 3.9153165647417606e-08
Position 527: 3.273975366037781e-08
