Gene = RP11-574F21.3
index = 1177
Annotated 5SS: [   76  2187  3092  5061  5330  7000 41171 45434 46524 47996 53834 59540
 60069 60689 62480 66282 66807]
Annotated 3SS: [ 2020  2929  4883  5284  6938 41095 44759 46382 47900 53722 59466 60010
 60580 62348 66161 66689 67421]
SMsplice 5SS: [   76  2187  2714  3092  5061 13078 24617 41171 46293 46524 47996 53834
 59540 60069 60689 62480 66282 66807]
SMsplice 3SS: [ 2020  2627  2929  4883 12973 24438 41052 46105 46382 47900 53722 59466
 60010 60580 62348 66161 66689 66942]
top_k =  500
Partition function (log Z): -25.52980277524122

Sorted 5' Splice Sites (High to Low Probability):
Position 5061: 0.9699973705165332
Position 76: 0.8521376936775887
Position 2714: 0.7984239800793304
Position 3092: 0.7841277927127956
Position 2187: 0.7802869627565934
Position 5330: 0.5281186667444789
Position 5837: 0.4695851077817604
Position 1719: 0.34616904804993576
Position 3945: 0.246368931018596
Position 5548: 0.18807364597026346
Position 1601: 0.11828214073965872
Position 2305: 0.07659578987408093
Position 115: 0.06720428149503159
Position 6683: 0.066217028184142
Position 2183: 0.06400657226163342
Position 1099: 0.05615841363629715
Position 7000: 0.05071445127510925
Position 7166: 0.03452602710486935
Position 1000: 0.032187011686469084
Position 4177: 0.03185314299709841
Position 5411: 0.02987020426614507
Position 6858: 0.023311237271635147
Position 2352: 0.02191442432030965
Position 7297: 0.01828984955887395
Position 7160: 0.017733066505937808
Position 7004: 0.015201462862400433
Position 5334: 0.014992388061827303
Position 421: 0.014540127869231586
Position 4720: 0.013737582638597373
Position 7119: 0.01329962959768564
Position 1660: 0.013041951159883502
Position 6065: 0.011775345948331057
Position 4975: 0.011626784291023826
Position 770: 0.011483310773247943
Position 893: 0.010234740975359096
Position 7012: 0.007408772015997891
Position 3759: 0.006247036033629691
Position 183: 0.0061289244285832635
Position 936: 0.005391289108814087
Position 3494: 0.004935109036295875
Position 2144: 0.0046379863420055
Position 1802: 0.004138691870469645
Position 1305: 0.004109856587134637
Position 3283: 0.003930760207966726
Position 1700: 0.003852367316902737
Position 4538: 0.0036087729881379054
Position 798: 0.003351254118324712
Position 5557: 0.0030767393401460973
Position 6829: 0.002906790942393498
Position 6700: 0.0028536399540838786
Position 6266: 0.002690124330051153
Position 7812: 0.0026657525338685964
Position 134: 0.002534632377128179
Position 478: 0.002342450577936269
Position 2893: 0.0022098431937946587
Position 113: 0.0021207275538211705
Position 4734: 0.0017071022824391385
Position 3526: 0.0016998771724530638
Position 1913: 0.0015729154319562742
Position 726: 0.0014371400106542081
Position 7189: 0.0012883064963704867
Position 4085: 0.0012485664637233525
Position 1824: 0.0011246212926332951
Position 5576: 0.0011200536039634632
Position 2876: 0.0010580647703739624
Position 1351: 0.0010532081586816212
Position 875: 0.0008406458173486582
Position 1765: 0.0008052787901292114
Position 883: 0.0007812099863225673
Position 1491: 0.0007701535320785886
Position 4499: 0.0007410510879169585
Position 3646: 0.0006036293815050944
Position 354: 0.0005717019315697823
Position 3061: 0.0005651114881828785
Position 3183: 0.00053857445937149
Position 5040: 0.0004799171910036432
Position 2725: 0.0004789645829573181
Position 5445: 0.00046363685618703925
Position 1145: 0.0004572434248401996
Position 139: 0.0004493964461016389
Position 1320: 0.00040434082969349077
Position 371: 0.00039881475012244815
Position 2808: 0.00035815584769169643
Position 2538: 0.000333603876691899
Position 898: 0.00030700790670597943
Position 1025: 0.00030313244742384614
Position 4173: 0.00029192588313053323
Position 2361: 0.0002814360808971394
Position 2369: 0.0002785815471687334
Position 484: 0.0002741311237343809
Position 553: 0.0002731659657461724
Position 5119: 0.000251972606165117
Position 1049: 0.00024869927605305423
Position 582: 0.000246750767018567
Position 5678: 0.00023636867173301387
Position 5731: 0.0002264697848175613
Position 1969: 0.0002245063662842363
Position 2796: 0.00020645208542952945
Position 410: 0.00018378601440107792
Position 3302: 0.00017787334672035023
Position 3991: 0.00014164324880640292
Position 1924: 0.0001408749383640624
Position 1692: 0.00012949790024903017
Position 5088: 0.00012581656522162
Position 33: 0.00011772728093338942
Position 300: 0.00010714379155910346
Position 6468: 9.3642553174236e-05
Position 291: 6.84134921302625e-05
Position 89: 5.9898615305944225e-05
Position 4964: 4.939054404276287e-05
Position 832: 4.3435914253514264e-05
Position 28: 2.854035055334667e-05
Position 1103: 2.6967594960062805e-05
Position 1178: 2.230249165865804e-05
Position 767: 2.0926702403608082e-05
Position 534: 2.03351304784985e-05
Position 306: 1.7471759018015854e-05
Position 280: 5.067174960716721e-06
Position 1151: 4.618273952511431e-06
Position 233: 5.796582916364998e-07
Position 486: 4.413563476454514e-07
Position 388: 1.7517457177938192e-07
Position 653: 1.1899347733309982e-07
Position 288: 1.15521362836943e-07
Position 362: 1.0337291265606153e-07
Position 201: 2.052784040660565e-08
Position 31: 1.854476794212714e-08
Position 631: 4.9756331309959315e-09
Position 586: 1.0592527446122568e-09
Position 471: 1.7440892762573225e-10
Position 322: 1.3099049745417282e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 4883: 0.968390025762896
Position 2627: 0.791485021842082
Position 2020: 0.6997722342020748
Position 2929: 0.6188019581754226
Position 5751: 0.5572639965529445
Position 5284: 0.5098891002589847
Position 1490: 0.47240342120076595
Position 6968: 0.4165259283504585
Position 3834: 0.26463220317888286
Position 5495: 0.22255004967918102
Position 7349: 0.2192032405651917
Position 2042: 0.21429352753857442
Position 6938: 0.1411237673720918
Position 3025: 0.0863744106714532
Position 2836: 0.0781486885980227
Position 5187: 0.07415889287060763
Position 6212: 0.06844924693478645
Position 6677: 0.047882678564266166
Position 7702: 0.03800005047775932
Position 6184: 0.035065385222392845
Position 749: 0.02661760005919434
Position 6556: 0.024860154230114274
Position 6498: 0.020657194473187968
Position 4676: 0.01642133205320934
Position 7742: 0.01641064566900655
Position 5397: 0.016399687301710677
Position 5547: 0.015442117879459096
Position 2255: 0.015127733131612428
Position 557: 0.012856266433382217
Position 8345: 0.011179032457260443
Position 3415: 0.010853348755650132
Position 11972: 0.009686033386443844
Position 3830: 0.009565285170930747
Position 315: 0.00953584410163001
Position 353: 0.008906840283052324
Position 5190: 0.008846514465242764
Position 13380: 0.008818246943252608
Position 2047: 0.008515210657484545
Position 6405: 0.008084537866696792
Position 4890: 0.007795068074290279
Position 5930: 0.007401996497026464
Position 4926: 0.00705574888764586
Position 5352: 0.00672923606283187
Position 908: 0.005204152017857278
Position 1529: 0.004919140965637585
Position 6092: 0.004443438570907629
Position 1573: 0.004357388213649157
Position 4276: 0.004349824076054876
Position 1514: 0.00404734049898555
Position 1242: 0.0031744780803514366
Position 6445: 0.0029987021885147843
Position 2557: 0.002978424440193554
Position 2070: 0.002566137266744647
Position 724: 0.0025527171450405845
Position 5771: 0.002544123235980658
Position 2631: 0.0022389533916595903
Position 3989: 0.002074036833384675
Position 2671: 0.001923880823046671
Position 2406: 0.0019194179767895235
Position 2044: 0.0018254860941003164
Position 6610: 0.0017731947734725257
Position 5102: 0.0017529303870242518
Position 589: 0.0016366041774354787
Position 3168: 0.001579105475264064
Position 3896: 0.001574861089819249
Position 3052: 0.001567193206554107
Position 1961: 0.0014547041670239782
Position 9366: 0.0013721184235439936
Position 1422: 0.0013358170729138056
Position 1089: 0.0013251937777569783
Position 3458: 0.001291234538273233
Position 1165: 0.0012821082785419815
Position 2223: 0.0012558066534594885
Position 5410: 0.0011809141053841952
Position 1881: 0.0011744467785804369
