Gene = Sertad4
index = 969
Annotated 5SS: [ 314 4805 6006]
Annotated 3SS: [4612 5889 8540]
SMsplice 5SS: [ 314 4805 6006]
SMsplice 3SS: [4612 5889 8540]
top_k =  100
Partition function (log Z): -2.4670087949972705

Sorted 5' Splice Sites (High to Low Probability):
Position 6006: 0.9952504011505737
Position 314: 0.9848723117763563
Position 4805: 0.8636939712824355
Position 8633: 0.7958388418056477
Position 1118: 0.35408348905587883
Position 9171: 0.21231181317930894
Position 872: 0.15365890065375265
Position 4736: 0.11618964208289945
Position 7083: 0.10058872084757628
Position 5666: 0.06536023867523559
Position 7603: 0.06454569424334274
Position 6257: 0.05446321672384466
Position 6660: 0.04811240331328907
Position 3293: 0.029304136792287074
Position 1397: 0.024657909723325974
Position 7214: 0.018864062362319967
Position 2112: 0.012247633194415627
Position 4701: 0.00874562875607049
Position 9297: 0.006760129044815432
Position 6504: 0.004661448948286731
Position 4064: 0.0013741372587402897
Position 507: 0.0005356759035260029
Position 538: 0.0003363977904713794
Position 467: 0.00033129864888880667
Position 2906: 0.00019662958044055007
Position 2642: 0.00017050875483691613
Position 60: 6.599357181929905e-05
Position 518: 4.528979707047702e-06
Position 492: 3.9105021829483116e-06
Position 226: 2.509658699208951e-06
Position 497: 2.464987944439386e-06
Position 260: 1.815981973804552e-06
Position 55: 6.020426288981583e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 8540: 0.9882663339428641
Position 5889: 0.9660046049432194
Position 4612: 0.8873095633774979
Position 9034: 0.25975743092630754
Position 9443: 0.24268582230135233
Position 1020: 0.22160680221096707
Position 8828: 0.14196032197438951
Position 969: 0.12119941427077044
Position 7019: 0.11251115897812103
Position 4655: 0.10131967874390706
Position 9901: 0.10066515761184329
Position 10551: 0.09008999622947242
Position 9124: 0.068687647989654
Position 5512: 0.04464445985770842
Position 10255: 0.04359026778802361
Position 9063: 0.04011878113048809
Position 715: 0.039332137136063455
Position 7495: 0.032902082575585474
Position 6564: 0.030590074717120413
Position 3226: 0.02930413679228707
Position 5902: 0.02889849963799989
Position 758: 0.02752187726380007
Position 6151: 0.023523175460142678
Position 5482: 0.020715778817527165
Position 695: 0.019032908883729115
Position 587: 0.018539457149136275
Position 7431: 0.018519378036837984
Position 1293: 0.017804239545236585
Position 6533: 0.01752232859616866
Position 6097: 0.016403924866308008
Position 6076: 0.014112654412479471
Position 8875: 0.013661473218061465
Position 7542: 0.013124233630919267
Position 1988: 0.012247633194415627
Position 1053: 0.01099009954659378
Position 718: 0.010947737466567948
Position 791: 0.008679928759247566
Position 785: 0.008421492628079974
Position 6863: 0.007599375894324734
Position 7033: 0.007365264047595691
Position 11225: 0.006731169038602123
Position 745: 0.005315982961913738
Position 8736: 0.004676612020519867
Position 1174: 0.004511420998648332
Position 6337: 0.0039727807913009765
Position 7195: 0.0035841006136441765
Position 9140: 0.002412653534404039
Position 1233: 0.0023422491794410586
Position 3973: 0.0013741372587402897
Position 761: 0.0006430619223987922
Position 5714: 0.0003547153652719257
Position 6103: 0.00029880478543901993
Position 6361: 0.00025673411584529115
Position 815: 0.00025479444884176305
Position 773: 0.0002517187654804048
Position 818: 0.00021202706316987742
Position 2748: 0.00019662958044055007
Position 564: 0.0001960706342376082
Position 602: 0.00019077419817741903
Position 2549: 0.00017050875483691554
Position 6368: 0.0001578374429154905
Position 6441: 0.00013896285334608665
Position 6365: 0.000135133744878883
Position 917: 0.0001221328901842543
Position 936: 0.00011810304851600479
Position 834: 7.509968755439305e-05
Position 513: 7.31877941736418e-05
Position 156: 6.65956144481972e-05
Position 6197: 6.023689302058047e-05
Position 6175: 5.700151053705763e-05
Position 438: 3.5446529635894304e-05
Position 510: 2.3245771292240388e-05
Position 974: 1.6717090468000403e-05
Position 866: 6.277185978086037e-06
Position 972: 4.879274145608875e-06
Position 920: 4.586274420883087e-06
Position 940: 3.7871503121936416e-06
Position 1060: 3.7683349641232757e-06
Position 1082: 3.0852211580892138e-06
Position 988: 2.9535258892462024e-06
Position 828: 1.9445817569914075e-06
Position 534: 1.8042697578104192e-06
