Gene = Oscillin
index = 1346
Annotated 5SS: [ 327  827 1015 1624]
Annotated 3SS: [ 721  886 1081 2357]
SMsplice 5SS: [  85  327  827 1015 1624]
SMsplice 3SS: [ 146  721  886 1081 2357]
top_k =  500
Partition function (log Z): 8.599666508964416

Sorted 5' Splice Sites (High to Low Probability):
Position 827: 0.9930664221341108
Position 1015: 0.9647528414064942
Position 85: 0.8281411680550277
Position 327: 0.7187429793839847
Position 1624: 0.5982347162270955
Position 671: 0.2926150744089625
Position 643: 0.10156387286589759
Position 2133: 0.09558364165853268
Position 1996: 0.04944418502129449
Position 1330: 0.0410526083961748
Position 1600: 0.032292213467663464
Position 1685: 0.02584923932509942
Position 1706: 0.025296283876578073
Position 1991: 0.017786009813976954
Position 1011: 0.017242732131208204
Position 1677: 0.014441760153638078
Position 75: 0.014428004237709907
Position 278: 0.012582824751818699
Position 1396: 0.012475808185280813
Position 1511: 0.010122063365377926
Position 2029: 0.010105215595511785
Position 1450: 0.008766094110279152
Position 1007: 0.008551917709230576
Position 2080: 0.008369534543524947
Position 1787: 0.007528421048266023
Position 969: 0.005136065510368217
Position 1695: 0.005034384975438962
Position 1531: 0.003946959061929792
Position 980: 0.0038071622550871222
Position 1784: 0.0035853358600980672
Position 1712: 0.003233875825762412
Position 20: 0.0031376777363713265
Position 1708: 0.002172238375773976
Position 1825: 0.0014818237772475295
Position 648: 0.0012099075420297287
Position 1262: 0.0009063200754816219
Position 1246: 0.0008856954157221102
Position 1609: 0.0007462682854594575
Position 1513: 0.000695156323207297
Position 1215: 0.0006843844907239059
Position 1859: 0.0004975236668594158
Position 1491: 0.000342309969536685
Position 1769: 0.0003311348402178866
Position 339: 0.00030949312414818526
Position 1791: 0.0002615096450778279
Position 1315: 0.0002607591998293684
Position 42: 0.00025634094655629003
Position 1796: 0.0002209967806175809
Position 1417: 0.0002104115258299425
Position 2122: 0.0001735520539363227
Position 1845: 0.00016293905855705552
Position 1653: 0.00014847324476997722
Position 1370: 0.00013421989298721213
Position 1432: 0.00012617385991788968
Position 1758: 0.0001024034549118803
Position 261: 8.409154916773213e-05
Position 14: 8.017558992604748e-05
Position 539: 7.093219856236663e-05
Position 1864: 6.245326406819375e-05
Position 48: 5.76729582487964e-05
Position 817: 5.204050152769302e-05
Position 454: 5.03273912263889e-05
Position 1165: 4.9825259458993974e-05
Position 389: 4.4949680208775386e-05
Position 570: 4.218179680261698e-05
Position 222: 4.194555867815388e-05
Position 762: 3.6898660964788264e-05
Position 370: 3.668014173456608e-05
Position 1254: 3.2680776506882935e-05
Position 1198: 3.26063499921481e-05
Position 984: 3.250355383428003e-05
Position 496: 3.155896695669922e-05
Position 650: 2.867071327574288e-05
Position 331: 2.7902808767150024e-05
Position 1848: 2.651860662419324e-05
Position 770: 2.1530785953837113e-05
Position 351: 1.8273504942841862e-05
Position 1019: 1.6080487322087596e-05
Position 579: 1.4841798133745335e-05
Position 401: 1.3571017600714244e-05
Position 932: 9.034923407770946e-06
Position 439: 8.636498014816018e-06
Position 786: 4.374783988925438e-06
Position 24: 3.4215546833026987e-06
Position 1035: 2.698067621099362e-06
Position 304: 2.127775044309192e-06
Position 318: 2.0097615627791677e-06
Position 866: 1.8364997388983494e-06
Position 316: 1.774013989536228e-06
Position 616: 1.0730393649231444e-06
Position 597: 8.363422933504508e-07
Position 950: 4.1113016524043143e-07
Position 1122: 7.821337560293117e-08
Position 403: 2.002390011323816e-08
Position 194: 3.600801256837615e-09
Position 1206: 2.5920525571185997e-09
Position 1317: 2.5635710074676583e-09
Position 216: 8.655599110004585e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1081: 0.9919331926495288
Position 886: 0.9915304737361442
Position 721: 0.9868717854258471
Position 2357: 0.8949814149996234
Position 146: 0.83838798369203
Position 1930: 0.06376558337584289
Position 389: 0.061008654506102496
Position 471: 0.03399207441776506
Position 401: 0.013159446205073696
Position 639: 0.008824849817262694
Position 1749: 0.008465064965208019
Position 579: 0.007469775626663125
Position 1851: 0.006602390225881704
Position 216: 0.0052847263669911675
Position 370: 0.004861348999332323
Position 2288: 0.004136471960505698
Position 1407: 0.0040703035563558
Position 454: 0.003406403031459492
Position 754: 0.003308786740417399
Position 2049: 0.0030425346932229018
Position 326: 0.0028780350069447535
Position 872: 0.0021137701505324984
Position 1791: 0.0011722001732551483
Position 1836: 0.0011651726054703806
Position 492: 0.0010022953878913346
Position 1693: 0.0009049954614317674
Position 2381: 0.0009019892906899453
Position 590: 0.0008177427789153245
Position 1043: 0.0005450054973190759
Position 656: 0.00041680545160350624
Position 2203: 0.00039682977957254624
Position 171: 0.0003868720052010885
Position 2251: 0.0003446674709653818
Position 2068: 0.00034101082591088107
Position 812: 0.0002977061431579046
Position 2218: 0.00021612205419754005
Position 1449: 0.00018311991840587864
Position 496: 0.00018157570991694208
Position 1395: 0.00011743228610068439
Position 1497: 8.514494606130874e-05
Position 1656: 8.044697244752792e-05
Position 334: 6.808196165737935e-05
Position 1446: 6.415448250135184e-05
Position 675: 5.557602071723942e-05
Position 1705: 5.5220478570662635e-05
Position 222: 5.324100382443228e-05
Position 980: 3.811057978070493e-05
Position 1752: 3.6103582980183316e-05
Position 301: 3.0302977480712805e-05
Position 226: 2.7331462029075938e-05
Position 962: 2.4880807272762807e-05
Position 2018: 2.2847031566937276e-05
Position 84: 2.2589991543387046e-05
Position 733: 1.8157932014607116e-05
Position 671: 1.2278400180967526e-05
Position 1884: 1.1663286224642986e-05
Position 1189: 1.0199498303833641e-05
Position 1755: 9.645736685687237e-06
Position 2388: 8.42563934852925e-06
Position 939: 8.254404786359973e-06
Position 331: 7.4785430989561375e-06
Position 2414: 7.418731709108579e-06
Position 229: 7.052482895137104e-06
Position 1140: 6.184426923202335e-06
Position 1535: 5.488518684018055e-06
Position 1471: 3.1528734655214086e-06
Position 298: 2.869223997990252e-06
Position 258: 2.601974822609983e-06
Position 2481: 2.385417913239112e-06
Position 959: 1.9362622466159836e-06
Position 246: 1.917629630573345e-06
Position 1548: 1.3056968993519237e-06
Position 75: 1.0340895237207985e-06
Position 770: 6.1434578506512e-07
Position 968: 4.5398069878180255e-07
Position 826: 2.814785564455622e-07
Position 255: 2.084245156522479e-07
Position 261: 2.0053632646397133e-07
Position 845: 1.6598189477272822e-07
Position 1093: 1.2798065819236175e-07
Position 1091: 1.2501208921679434e-07
Position 1161: 5.2272438649189715e-08
Position 1347: 1.9849483752936954e-08
Position 1623: 1.7563137787104927e-08
Position 1545: 1.3872705476969143e-08
Position 1227: 5.337965967452341e-09
Position 278: 1.085590815365422e-09
Position 1479: 9.032401744507321e-10
Position 1104: 1.3490800801072992e-10
Position 267: 2.909206969532632e-13
