Gene = eIF3l
index = 1686
Annotated 5SS: [ 142 1326 2353]
Annotated 3SS: [ 846 1379 2411]
SMsplice 5SS: [ 142 1326 2353]
SMsplice 3SS: [ 846 1379 2411]
top_k =  500
Partition function (log Z): 0.020971833905288756

Sorted 5' Splice Sites (High to Low Probability):
Position 2353: 0.9892381850053615
Position 1326: 0.9697936155061709
Position 142: 0.6484643124643523
Position 405: 0.24631102257567514
Position 416: 0.03089504563404963
Position 484: 0.021002053434694766
Position 585: 0.020903746717710166
Position 704: 0.013772562438897597
Position 402: 0.010982584988259958
Position 785: 0.010660512355500557
Position 942: 0.010010206151216432
Position 566: 0.0071383258449742495
Position 687: 0.0067275607066673996
Position 424: 0.005643372854983508
Position 1529: 0.00528080282600419
Position 793: 0.0043248102566407695
Position 1075: 0.0038770440292594578
Position 2134: 0.003829188340116073
Position 284: 0.0035880789241983357
Position 694: 0.0028815255365327707
Position 1290: 0.00280945483821333
Position 631: 0.002377489308307918
Position 1657: 0.0021947242199257186
Position 1553: 0.002194417290172782
Position 717: 0.0021720944326271098
Position 937: 0.0019109385568899437
Position 553: 0.0018153700671817024
Position 987: 0.0018006152529910083
Position 1005: 0.0017084560193359106
Position 2119: 0.0016179373258740147
Position 604: 0.0015862159699225433
Position 439: 0.0013176369575656926
Position 782: 0.0012934238588516165
Position 306: 0.001191700751804671
Position 422: 0.0010183724318111255
Position 375: 0.0009377924617230265
Position 111: 0.0009126626846970901
Position 579: 0.0007680677030764107
Position 1278: 0.0006836510729197485
Position 897: 0.0006675527042607881
Position 652: 0.0006485910905347753
Position 1102: 0.0006415140341993803
Position 1634: 0.0006294914982135105
Position 1422: 0.0005726636077351262
Position 1282: 0.00054163544023688
Position 1945: 0.00047989069617978533
Position 1296: 0.00045012083851359263
Position 2044: 0.000449957935146068
Position 1735: 0.0004028382679125486
Position 2340: 0.00036387482322231305
Position 288: 0.000345853163404091
Position 2005: 0.0003320705375777408
Position 2471: 0.00032024252099916415
Position 1330: 0.0003044002738234903
Position 1087: 0.0002921523736913996
Position 2487: 0.00021135504716309617
Position 1725: 0.00019845877335233377
Position 1320: 0.00018061622973924315
Position 1803: 0.00017026594132593336
Position 1170: 0.00015689214402735734
Position 1272: 0.00013964502615479977
Position 1686: 0.00013506386737503396
Position 1994: 0.00013294686993178744
Position 1728: 0.00010052784805527444
Position 1294: 9.082368462677896e-05
Position 488: 6.95668329178561e-05
Position 77: 6.360894833327095e-05
Position 1128: 6.214725855031808e-05
Position 1827: 6.193078113641659e-05
Position 290: 5.796317363245735e-05
Position 1814: 5.4040088667453274e-05
Position 266: 5.363293670765218e-05
Position 327: 4.3646164278537586e-05
Position 378: 4.2513785331987264e-05
Position 116: 3.811499477653573e-05
Position 146: 3.635366277837624e-05
Position 64: 3.527310067041501e-05
Position 1125: 3.272694183196878e-05
Position 1302: 2.6033005238513744e-05
Position 655: 2.4455777751995018e-05
Position 1160: 1.4497781517516675e-05
Position 347: 1.2606462293981556e-05
Position 2491: 9.193797459398482e-06
Position 81: 7.532574482417901e-06
Position 40: 6.465453191919368e-06
Position 2460: 6.1780468410482275e-06
Position 1243: 6.088376378263166e-06
Position 1906: 3.593329540623939e-06
Position 469: 1.630589554680127e-06
Position 220: 8.327029804519122e-07
Position 2299: 7.086911627862327e-07
Position 2169: 5.544075567102534e-07
Position 29: 2.1531121592638066e-07
Position 35: 8.932500329532981e-08
Position 486: 1.7469964304453273e-08
Position 37: 1.3417153381095377e-08
Position 79: 2.627464824745391e-09
Position 543: 1.0157204359075806e-09
Position 72: 6.26459912068464e-10
Position 1017: 4.966379251526728e-10
Position 2181: 1.8508200982871181e-10
Position 1443: 1.7236538482034835e-10
