Gene = ENSDARG00000020642
index = 107
Annotated 5SS: [  734  8286 15041 18185 34263 37247 47540 49590 55626 56043]
Annotated 3SS: [ 8090 14872 18010 34166 37081 47429 49444 55554 55950 58615]
SMsplice 5SS: [  734  8286 15041 34263 37247 40311 43210 47540 49590 55626 56043]
SMsplice 3SS: [ 8090 14872 34166 37084 40189 43104 47429 49444 55554 55950 58615]
length: 60933
Partition function (logZ) = 2.1833868547671647
#Introns = 2975
5SS, 3SS, prob
56043, 58615, 0.9136617489364683
55626, 55950, 0.6966061144733618
47540, 49444, 0.6757323045254554
8286, 14872, 0.5904428384394168
49590, 55554, 0.5866835073244737
43210, 47429, 0.5263647985020969
34263, 37084, 0.4969457935007245
734, 8090, 0.4783194780243762
40311, 43104, 0.4334721307475495
37247, 40189, 0.3291289809388206
15041, 34166, 0.28843765969875035
15041, 18010, 0.2617675126895887
18185, 34166, 0.25443526591248367
34263, 37081, 0.21044879217181905
47080, 47429, 0.20876056078071184
37247, 43104, 0.18527489276568676
49590, 55950, 0.18131316811394985
15041, 34142, 0.1544890099298551
13857, 14872, 0.1404821946016685
47540, 55554, 0.13642958474650227
18185, 34142, 0.13596446828371767
8286, 13768, 0.13561768494811194
734, 1199, 0.12199521243105194
5620, 8090, 0.10977696416199682
15041, 17843, 0.10845999652176108
34263, 40189, 0.0964980108013216
37247, 40169, 0.09006054121056871
1354, 8090, 0.08173628845596785
734, 5531, 0.08169641445063315
41049, 43104, 0.08081371083936147
45711, 47429, 0.07907715144359005
734, 3242, 0.07765360019323797
40287, 43104, 0.07573963754424046
47540, 47679, 0.07258147755166634
47758, 49444, 0.07166304448253097
8286, 10585, 0.0688931872915571
8286, 14271, 0.062427948716935994
43210, 45532, 0.06002628032121274
34263, 43104, 0.05999782746893852
3369, 8090, 0.059697282557998436
14395, 14872, 0.05922357399990005
43210, 46945, 0.05854308065078652
43210, 46838, 0.058355796442970925
40311, 40974, 0.04723515365768459
43210, 46850, 0.0467210358473121
7920, 8090, 0.046666308557777744
734, 7842, 0.045541593541957505
40539, 43104, 0.04356155168719398
55626, 58615, 0.04255962022945797
47540, 55950, 0.04208344528619743
43210, 46340, 0.041740406166716836
46560, 47429, 0.040959440846330325
40311, 40426, 0.03978534001451015
40311, 47429, 0.039207092832120406
5548, 8090, 0.03329410210501655
8286, 11636, 0.032347042977531874
15041, 18089, 0.032301885425224594
15041, 29627, 0.03221333303079486
37247, 40251, 0.03203182082791845
19162, 34166, 0.030674825639509073
34263, 40169, 0.030660711907563618
29778, 34166, 0.029019335500719202
10762, 14872, 0.028215857673512524
37247, 37988, 0.026475175170185293
37247, 40974, 0.02586181234227557
1393, 8090, 0.02423984902796164
15041, 16389, 0.023903557032443953
29778, 34142, 0.02346024230257519
43210, 46923, 0.02175682523140853
3369, 5531, 0.02115939541752723
11817, 14872, 0.020447340083601332
18185, 29627, 0.02026624477249951
37247, 47429, 0.01985487969878611
7899, 8090, 0.01985382767803177
28308, 34166, 0.019304472216475285
43210, 45592, 0.01849391551695318
5034, 8090, 0.018493254908383647
44570, 47429, 0.018151009259695913
58719, 58796, 0.017782933727775303
34263, 37202, 0.01651910455728431
19162, 34142, 0.01642962797496037
734, 4843, 0.01621451414924433
13857, 14271, 0.01605051728523796
43210, 44472, 0.0160330453711237
43210, 47463, 0.015830109896431986
734, 1293, 0.015544795056692613
13464, 14872, 0.01501594867916526
10161, 14872, 0.014534472791261655
682, 8090, 0.014458019806888678
15041, 28214, 0.014420393931193218
15041, 18921, 0.013880926685367246
18185, 28214, 0.013878551642587337
18185, 18921, 0.013647434151061198
10742, 14872, 0.013336818336354328
47540, 47617, 0.012991748349521895
47758, 55554, 0.012921146203604609
14612, 14872, 0.012829991669706279
49590, 58615, 0.012783408012251867
34263, 37092, 0.012322065265154692
37247, 39189, 0.012292898562561898
38101, 40189, 0.012291972063252247
8286, 13374, 0.012184790263593755
11745, 14872, 0.012152030347396831
5555, 8090, 0.011922605040132867
37247, 40229, 0.011747983884206127
14391, 14872, 0.011662655427319264
1354, 5531, 0.011167597027723098
34263, 37988, 0.011142795255231212
8286, 10143, 0.01086712901713647
16529, 34166, 0.010585512814321307
34263, 37001, 0.010465961573976184
28308, 34142, 0.010339595748545663
43210, 49444, 0.01032579272642333
34263, 40251, 0.010321628562327264
8286, 9902, 0.010135043952450748
8286, 18010, 0.01006556239771634
34263, 37172, 0.009966530622595027
39333, 40189, 0.009934347291642356
16529, 18010, 0.0096534673471416
41412, 43104, 0.009318105853570789
734, 7788, 0.00927437065917006
10762, 13768, 0.00926474454014024
55626, 55913, 0.009093289441671459
15041, 17992, 0.00899372373657623
43210, 45543, 0.008100096681157227
235, 8090, 0.008059622747047765
34263, 40974, 0.00787973249677901
1354, 3242, 0.007751462550773549
47540, 49302, 0.007647444245746747
46560, 46838, 0.00746459142402584
734, 5238, 0.007363830431559971
34263, 37100, 0.007227010323460566
8286, 34166, 0.007201480919345204
734, 5256, 0.0069007959388891794
47540, 49459, 0.006858682636905608
37247, 39186, 0.00682480277681002
734, 2788, 0.00671976377040822
46560, 46850, 0.006637141425413252
43210, 44527, 0.006584009451118337
15041, 18967, 0.0065632256090790595
8286, 14904, 0.006548593313244718
21743, 34166, 0.006399143988814434
8286, 11565, 0.00634382552103134
40287, 40974, 0.0063207237286062685
47540, 47635, 0.0062610539083718525
734, 4281, 0.006174659910023251
18185, 18967, 0.0061601079439496526
56438, 58615, 0.006107132177541551
38101, 43104, 0.006102401308252768
5620, 7842, 0.0060588456149654486
47080, 47222, 0.006037149297514156
47540, 49561, 0.005955739228827296
47080, 47463, 0.005905424840922286
43210, 46398, 0.005883431207281919
5906, 8090, 0.005877966961900767
734, 5493, 0.005857346344926243
34263, 47429, 0.005811377355307832
19942, 34166, 0.0058079793295224055
8286, 10504, 0.005790571717505275
56043, 56484, 0.005727136388949294
20527, 34166, 0.005717955263411173
734, 5444, 0.005500580097956836
41049, 47429, 0.005306775702924821
1354, 7842, 0.005280602229796835
37247, 38657, 0.005266112225746
49673, 55554, 0.005247434792850321
734, 3183, 0.005225227759807352
45711, 46850, 0.0049396132991924024
1421, 8090, 0.004923194704802526
47540, 49488, 0.004704456350735745
58719, 59816, 0.004704221001312346
39333, 43104, 0.004494589881559048
4421, 8090, 0.004436847311788377
40539, 40974, 0.004391344907836988
37247, 40267, 0.004325062971361748
45711, 46838, 0.004223580743860896
38892, 40189, 0.004067126672754811
40311, 46838, 0.004030295224452504
11817, 13768, 0.004019349566206782
3369, 4843, 0.003986001500620358
15041, 17365, 0.003936278367855281
38101, 40169, 0.003905350719980328
3297, 8090, 0.003901962466645591
49590, 55408, 0.0038933546365324274
13464, 13768, 0.0038842857638782314
40311, 46850, 0.003772752543642889
8286, 13657, 0.0037725294517786043
682, 1199, 0.0037504080636996543
38241, 40189, 0.0037180425300152816
10161, 13768, 0.0037063935843650083
46964, 47429, 0.0037020687519888403
18185, 19734, 0.003696322226665394
5863, 8090, 0.0036925863244664375
38314, 40189, 0.0036496087397825876
14151, 14872, 0.003634819956797505
56595, 58615, 0.0036211340460019586
43210, 47222, 0.003608085160834771
10879, 14872, 0.0036021226900951305
47540, 49508, 0.0035703595445622763
5620, 5740, 0.0035586548975075198
40384, 43104, 0.0034935235529592523
15041, 18887, 0.0034922445828849446
56043, 56301, 0.0034806814443836564
10742, 13768, 0.003456003695772688
11745, 13768, 0.003442803144250593
47758, 55950, 0.003436795825312108
45711, 46340, 0.0034138156554489913
40287, 47429, 0.0034090276936752824
15081, 18010, 0.003382648485116184
56043, 56125, 0.003347512952584584
56043, 59816, 0.0033333579055590925
4914, 8090, 0.0033261157084033214
58738, 59816, 0.003306379971846973
5034, 5531, 0.0032704460218559305
734, 5740, 0.0032703571838011212
14374, 14872, 0.003244967097130773
8286, 13230, 0.003244271941597407
14277, 14872, 0.0031838704564235644
39251, 40189, 0.003170005246124401
47080, 49444, 0.0031682995550729783
47779, 49444, 0.0031554318924987253
43210, 45603, 0.0031535684584428586
40287, 40426, 0.003136228364659789
10762, 14271, 0.003133991224233772
49590, 50544, 0.0031335496046506948
18185, 18887, 0.0030939287368600197
1354, 4843, 0.003070173394133165
734, 3153, 0.0030349090598970224
8286, 17843, 0.0030198113190653074
34263, 40229, 0.003007383345362535
15041, 21515, 0.002972697187986436
47540, 58615, 0.0029644045029538755
16529, 17843, 0.0029219579213742375
49930, 55554, 0.0028852187461222067
18185, 21515, 0.002855925044069816
975, 8090, 0.002805283494326146
39333, 40169, 0.0027536124303810233
14044, 14872, 0.002750792805816615
40311, 46340, 0.0027067253429894234
8286, 8575, 0.0026311299620167643
235, 597, 0.0026257724934912624
10777, 14872, 0.0025981722033397063
746, 8090, 0.0025340157785769695
1393, 5531, 0.002532693123157962
235, 670, 0.002524514802534961
38112, 40189, 0.0025183449351300303
3369, 7842, 0.0025013846906863984
8702, 14872, 0.0024764500644546433
43210, 45398, 0.002448664550077898
8286, 14887, 0.0024474559923408517
13674, 13768, 0.0024158849415116986
34263, 39189, 0.0024135826855470914
37247, 40426, 0.002385274380024411
7968, 8090, 0.002375236093992463
14081, 14872, 0.002373412715983467
10161, 10585, 0.002337449292762141
7903, 8090, 0.0023212888288942518
2866, 8090, 0.002304516694898784
682, 3242, 0.0023041648722218534
1393, 3242, 0.002267174143696307
49182, 49444, 0.002251451608155407
14151, 14271, 0.002245102969449799
5620, 5692, 0.002244805555053654
13857, 18010, 0.002237729074740173
734, 8172, 0.0022266246621022476
47540, 49465, 0.0022239321094661042
44570, 46838, 0.0022231093007355467
11817, 14271, 0.0022213265265396765
5540, 8090, 0.002211124338309697
4622, 8090, 0.002201127653426523
734, 5302, 0.0021849147527738754
682, 5531, 0.0021819448548143416
8021, 8090, 0.002173624624580572
437, 8090, 0.0021594862133800493
17680, 18010, 0.002157503356221937
56606, 58615, 0.0021536476333287864
3369, 5256, 0.002118833645095357
45711, 46945, 0.0020795864028397056
37247, 40201, 0.0020467650342146774
58719, 60523, 0.0020424472288596385
10742, 14271, 0.002040081523403847
235, 5531, 0.0020375027978428296
816, 8090, 0.002025742946079952
37247, 39813, 0.002018691006352446
34263, 37206, 0.0019988728526124768
58719, 60490, 0.0019868836074601005
40311, 45532, 0.0019861088154862878
14337, 14872, 0.0019855839459970524
58719, 60118, 0.0019854026704114454
17468, 18010, 0.0019780689388263035
4415, 8090, 0.0019749989614862616
56265, 58615, 0.001966994407691811
5548, 7842, 0.001948358622747985
55626, 55829, 0.0019373056318052343
3369, 5238, 0.0019288506020492084
734, 5314, 0.0019131708947006424
1252, 8090, 0.001901207064552905
39877, 40189, 0.0018846720525501524
46560, 46945, 0.0018764323750184728
37247, 46838, 0.0018715960625109457
18185, 20345, 0.0018710030690573354
2961, 8090, 0.001866470247311436
3369, 5444, 0.0018259930393287958
437, 597, 0.0018122932553171153
8286, 13720, 0.0017648762642663682
37247, 46850, 0.001755695518709717
47540, 49068, 0.0017490541534419086
734, 6482, 0.0017472868363074769
44570, 46850, 0.001736998536979361
8286, 34142, 0.001733424476993538
37291, 40189, 0.0017333510325775545
37247, 39292, 0.0017279137008909548
49590, 55913, 0.0017204771054634134
8286, 10062, 0.0017065367375964122
15041, 19734, 0.001697593660512846
17680, 17843, 0.0016938604637463095
8286, 9604, 0.0016917617280852034
734, 4493, 0.0016513659148160724
15041, 17385, 0.001641217677979731
235, 1199, 0.0016207230146855016
10762, 11636, 0.001617286033948136
15087, 18010, 0.0016155880091322438
3297, 5531, 0.001582710158413555
40317, 43104, 0.0015826676852731289
13857, 14904, 0.0015756747025633966
3369, 5493, 0.0015675930432118366
39251, 43104, 0.0015649820946737072
5912, 8090, 0.0015513708693121022
34263, 40267, 0.0015513556899143985
4430, 8090, 0.001549548661821511
38101, 40251, 0.001544244250484305
1393, 7842, 0.0015298659689296423
58738, 60523, 0.0015153996196764737
8286, 13258, 0.0015028601937594117
730, 8090, 0.0014893426617114663
43210, 55554, 0.0014882818991015427
14401, 14872, 0.0014757681799937087
15041, 20345, 0.0014533680651219456
10161, 14271, 0.0014253889780990242
1354, 5256, 0.0014203693755773827
58693, 58796, 0.0014121990933829828
682, 7842, 0.0013923867860181935
10161, 11636, 0.0013744354299302112
19162, 28214, 0.0013451223912403724
38241, 40169, 0.001323385130125321
