Gene = NDUFB5
index = 930
Annotated 5SS: [  238 10358 11348 12343 13820]
Annotated 3SS: [10268 11280 12280 13712 19217]
SMsplice 5SS: [  655 10358 12343 13820 18280]
SMsplice 3SS: [10249 12280 13712 18145 19217]
length: 19796
Partition function (logZ) = -2.869455434896533
#Introns = 2486
5SS, 3SS, prob
18280, 19217, 0.6298109460437091
12343, 13712, 0.5447174237453365
10358, 12280, 0.4511268374490809
6644, 10249, 0.35291721942354315
13820, 18145, 0.21877807899675086
13837, 18145, 0.17377580664514417
10358, 10483, 0.1624947031354773
11348, 12280, 0.15979735219962812
10358, 11280, 0.15519213320308367
12579, 13712, 0.15495894253930512
18056, 18145, 0.15289476267737956
3415, 10249, 0.1476005791878884
655, 2660, 0.13335016750181924
10579, 12280, 0.11284628669085184
13820, 19217, 0.10291393589029935
17409, 18145, 0.0995649047298438
12343, 12460, 0.09605527925354417
6644, 10078, 0.09069493979627812
13837, 19217, 0.0815916356120576
3415, 6426, 0.07975533800498749
238, 2660, 0.07724920381303885
10358, 13712, 0.07450125808897314
5100, 10249, 0.06906295481727544
238, 566, 0.06701981336463035
12985, 13712, 0.06647252696312793
13820, 17873, 0.060412417345074895
13228, 13712, 0.05310601733481604
13820, 17290, 0.050682958292848565
5100, 6426, 0.050084652218382084
655, 6426, 0.04863975248348236
13837, 17873, 0.04772373353167472
17409, 19217, 0.0468894755804566
3111, 3323, 0.04663947896598306
13820, 17870, 0.04661061669373065
3111, 6426, 0.044263484375510004
2823, 2917, 0.044199496561873726
655, 3323, 0.042148322348741045
3111, 10249, 0.04213735285868385
12343, 12456, 0.04166027536496576
692, 2660, 0.041107733118338
640, 2660, 0.041052240043740834
13837, 17290, 0.04026213328849372
3415, 10078, 0.0391436495315947
11348, 13712, 0.038992635795413524
10579, 11280, 0.03874290338128244
2823, 10249, 0.038533028824314204
2823, 6426, 0.037791796174435455
12343, 13061, 0.03628876124996083
274, 2660, 0.03308959046899357
655, 10249, 0.03281488733062523
2823, 3323, 0.03245543743552024
10914, 12280, 0.03204287659729886
274, 566, 0.02968947279430528
10579, 13712, 0.025653895876152966
5100, 10078, 0.025531920965823098
2532, 2660, 0.023233434628705838
2810, 2917, 0.023096330837012354
238, 10249, 0.023080433260809018
238, 6426, 0.02282072847382979
2810, 6426, 0.02248362078215537
10358, 12022, 0.021390323948621386
2823, 2983, 0.02134312470359591
655, 2688, 0.02118138783973919
238, 3323, 0.02111147818037665
12160, 12280, 0.020105277971158526
3111, 10078, 0.020053061754092105
2810, 3323, 0.019319476322717057
2999, 6426, 0.019108982733110142
12343, 12861, 0.01898952136011264
6524, 10078, 0.0187243981538004
3415, 6573, 0.018665514069655945
238, 530, 0.01837914783647064
13820, 17286, 0.018039590141435167
2877, 2983, 0.01758461738977082
3910, 6426, 0.01757784866030717
10358, 10827, 0.017285930744237725
2999, 3323, 0.017085222905296658
12343, 12480, 0.01664652875079473
655, 2983, 0.016523417618220633
655, 2917, 0.016171611011312623
692, 6426, 0.015437461969159698
2877, 6426, 0.015037541536448117
12343, 12843, 0.014891097808582844
2823, 10078, 0.01478360501680362
640, 6426, 0.014332962922890005
6106, 6426, 0.014329357723571176
13837, 17286, 0.014273155191284043
655, 10078, 0.01412410327463737
18056, 19217, 0.013837085687809303
692, 3323, 0.013288081010343702
3415, 4983, 0.013251991562317902
2877, 3323, 0.012829727166812594
640, 3323, 0.01261909905681926
13820, 14772, 0.012535691129194799
3111, 3343, 0.012456677935106821
16282, 19217, 0.012404433293361721
238, 2688, 0.012278244569208485
2810, 2983, 0.012168743001143652
10358, 10853, 0.012028741988945019
10358, 10609, 0.011876917646822487
3415, 5020, 0.011808145407515307
10914, 11280, 0.011692086615641271
10358, 10536, 0.011467885889021312
655, 3343, 0.011437751088941265
14861, 19217, 0.01121407097188315
12343, 12912, 0.010875176931463858
10358, 10425, 0.01040238774370103
274, 6426, 0.009771479563395566
3415, 4959, 0.009568316828246227
12343, 13753, 0.00956221307828726
13837, 14772, 0.009342832857478707
274, 530, 0.00923985410547227
13820, 16161, 0.009050969883113515
274, 3323, 0.00903960527943664
10358, 10560, 0.008845692822332779
655, 2656, 0.008823266391949896
2810, 10078, 0.00881943273761266
2823, 3343, 0.008752755704546167
6644, 12280, 0.0085879922117915
13820, 13908, 0.00813361575968482
12579, 13061, 0.007966573338930789
3111, 4983, 0.007905148631212023
12343, 12872, 0.007902268462421863
15589, 19217, 0.007896021119736751
238, 2917, 0.007823257715441437
13820, 15443, 0.007776419852867569
2823, 4983, 0.007772949497775374
504, 2660, 0.007709609855964341
238, 2983, 0.00765381576617137
655, 6573, 0.007631266494025626
5354, 6426, 0.00741759411900232
2999, 10078, 0.007384143444134825
655, 4983, 0.007348496988820914
10914, 13712, 0.00731556611371646
13837, 16161, 0.007183799936122367
3111, 5020, 0.007046207390044726
2823, 5020, 0.006938481628020786
11348, 12022, 0.006937396946124309
655, 5020, 0.006691006705642413
12985, 13061, 0.0065904075748451346
692, 2688, 0.006528652717277414
640, 2688, 0.006522056652286808
2823, 6573, 0.006489816903181077
655, 2460, 0.006453817683067067
14865, 19217, 0.006438640735760218
13820, 17656, 0.006386552612199279
3910, 10078, 0.0063826241693239645
