Gene = AT2G23090
index = 234
Annotated 5SS: [236 384]
Annotated 3SS: [342 657]
SMsplice 5SS: [236 519]
SMsplice 3SS: [342 657]
length: 985
Partition function (logZ) = 1.0756609872869292
#Introns = 547
5SS, 3SS, prob
236, 342, 0.9422989902100698
519, 657, 0.8027265046671869
27, 127, 0.11323541324264251
384, 657, 0.0791904381200669
35, 127, 0.06707396419824081
519, 663, 0.03386874986027436
236, 657, 0.033088392337428295
519, 710, 0.012049120427452247
236, 383, 0.011903475031556055
443, 657, 0.009927648980532194
72, 155, 0.007213911704046323
384, 509, 0.0069850543921133315
236, 346, 0.003685859118840906
384, 663, 0.003610852236621251
27, 155, 0.002774148584399438
261, 342, 0.002673474811635425
575, 657, 0.002672224839312712
384, 710, 0.0016838208655955257
384, 487, 0.001584872770040748
236, 509, 0.0015799570338884646
236, 663, 0.0015087338705384362
35, 155, 0.00135971452287431
820, 963, 0.0011839936080788914
587, 657, 0.000879578863605976
236, 710, 0.0007035562258708731
410, 657, 0.0006936660493613028
820, 932, 0.0006250559244708507
813, 963, 0.0005857564493011042
506, 657, 0.0005657923385279601
384, 470, 0.0004977849593704886
519, 609, 0.00047999060484578605
443, 509, 0.0004613568342562036
443, 663, 0.00045267172397022543
556, 657, 0.0004398090405631293
384, 456, 0.00031023662927064636
384, 450, 0.00028397058093031604
813, 932, 0.0002563135211009479
443, 710, 0.0002110909030952099
410, 509, 0.0001881944248509645
873, 963, 0.00017296928809714136
72, 159, 0.00016957371663814638
487, 657, 0.00016881733470450603
523, 657, 0.00016702199469717562
573, 657, 0.0001562722880615132
236, 487, 0.00014626746400874435
774, 963, 0.00013767835605138178
575, 663, 0.0001352910865347782
236, 450, 0.00012191925072791641
538, 657, 0.00011495217423285253
587, 663, 9.200665881076043e-05
843, 932, 7.99168465867295e-05
843, 963, 7.796046632494047e-05
500, 657, 7.513096652782484e-05
531, 657, 7.088860802143446e-05
72, 180, 6.986006517460578e-05
820, 906, 6.233773887997458e-05
27, 159, 5.6233050841207826e-05
855, 963, 4.999883362118243e-05
261, 657, 4.938003481348281e-05
236, 357, 4.5839297503007194e-05
847, 963, 4.552525335798412e-05
236, 456, 4.379272941029496e-05
27, 180, 4.315070023553181e-05
847, 932, 4.056182585250852e-05
27, 135, 3.9384214767820296e-05
774, 932, 3.723884117487181e-05
519, 700, 3.548764677217859e-05
755, 963, 3.352382683572171e-05
268, 342, 3.233041048874529e-05
410, 663, 3.162912892231127e-05
94, 180, 3.0105005146631934e-05
813, 906, 3.000451389145573e-05
261, 383, 2.7003918436527428e-05
35, 159, 2.6965052717453504e-05
296, 383, 2.651113715471064e-05
374, 657, 2.5375990596476527e-05
35, 135, 2.5092492470789205e-05
236, 470, 2.46068592268831e-05
506, 663, 2.3249405531402835e-05
855, 932, 2.0184874899016118e-05
774, 855, 1.9441646465933274e-05
35, 180, 1.940532687719754e-05
587, 710, 1.685132995698811e-05
410, 487, 1.664619533499339e-05
261, 346, 1.4769624761341357e-05
410, 710, 1.4749262642543111e-05
556, 663, 1.4300372664953816e-05
745, 963, 1.3138560927345911e-05
575, 710, 1.1347684183938894e-05
296, 657, 1.1294346131471056e-05
597, 710, 1.064251269722853e-05
506, 710, 9.664960557440774e-06
509, 657, 9.261241883361e-06
519, 714, 9.048868626891867e-06
384, 568, 8.795736060845429e-06
755, 932, 8.639170657457881e-06
384, 609, 8.393523406534843e-06
597, 663, 8.189362557641694e-06
236, 369, 8.082959006425372e-06
236, 365, 8.048471955923895e-06
487, 663, 7.710835579479025e-06
573, 663, 7.1696569901219755e-06
523, 663, 6.97513673948119e-06
616, 710, 5.588461690256995e-06
519, 963, 5.2044851292508315e-06
384, 700, 4.9861940437150765e-06
72, 169, 4.539231028040286e-06
538, 663, 4.485486956559923e-06
384, 523, 4.2769037242102565e-06
629, 710, 4.141576542016298e-06
755, 855, 3.623647833361811e-06
487, 710, 3.5652339536880123e-06
236, 568, 3.5477963898587577e-06
236, 609, 3.5060068873372767e-06
745, 932, 3.48720764916477e-06
72, 135, 3.0886078432126706e-06
500, 663, 3.0682660168567864e-06
343, 657, 3.0088653480087094e-06
531, 663, 2.8475502036764286e-06
94, 159, 2.7101492138543134e-06
443, 523, 2.555077888760781e-06
523, 710, 2.3732528437872675e-06
261, 509, 2.357876677202038e-06
261, 663, 2.2515795185435836e-06
556, 710, 2.1829818970515466e-06
236, 700, 2.090288231634134e-06
443, 568, 1.9644397970604723e-06
374, 509, 1.8442320632413485e-06
774, 906, 1.8192600864526272e-06
27, 169, 1.7510409686941674e-06
642, 710, 1.7440852452380483e-06
748, 963, 1.5341859631086551e-06
500, 710, 1.4239920057836816e-06
519, 932, 1.32968979882936e-06
384, 714, 1.2621631309308433e-06
236, 523, 1.2400612299213775e-06
614, 710, 1.1684045272274503e-06
374, 663, 1.1505414450259437e-06
538, 710, 1.1363905178153599e-06
268, 657, 1.1121043412859178e-06
261, 710, 1.0499508642085822e-06
443, 609, 1.0431698831244841e-06
531, 710, 8.386984904328465e-07
745, 855, 8.197223379201158e-07
35, 169, 7.955196201426885e-07
268, 383, 7.576776374381543e-07
384, 963, 7.498821638209745e-07
443, 700, 6.266294455083139e-07
573, 710, 6.000696624315303e-07
893, 963, 5.69871216047092e-07
94, 169, 5.543939805343725e-07
27, 342, 5.417998963202987e-07
374, 710, 5.365253055002516e-07
296, 509, 5.330919794807118e-07
236, 714, 5.286118504962286e-07
296, 663, 5.149853015271452e-07
374, 450, 4.554902563453085e-07
72, 187, 4.083794590073543e-07
748, 932, 4.053831902008424e-07
509, 663, 3.900000720813714e-07
755, 906, 3.5463798136313413e-07
236, 963, 3.133277341113033e-07
306, 383, 3.101991768908708e-07
72, 342, 3.08462758217819e-07
27, 187, 3.0288862766787646e-07
636, 710, 3.0084423846752355e-07
374, 487, 2.8982970073638675e-07
374, 456, 2.532946613870752e-07
296, 710, 2.4014150914227914e-07
268, 346, 2.3335307493826686e-07
261, 357, 2.2094034956520313e-07
35, 342, 2.206706153053636e-07
506, 609, 2.1812381769711285e-07
94, 187, 2.1706804141717883e-07
261, 487, 2.0838171817642452e-07
306, 657, 1.924777508930126e-07
384, 932, 1.9094928135591095e-07
261, 450, 1.8658790520677758e-07
443, 714, 1.5861870164227658e-07
644, 710, 1.5729074247602298e-07
509, 710, 1.543081755045282e-07
