Gene = SPRR2F
index = 1322
Annotated 5SS: [42]
Annotated 3SS: [762]
SMsplice 5SS: [42]
SMsplice 3SS: [762]
length: 1402
Partition function (logZ) = -7.561656875286987
#Introns = 1091
5SS, 3SS, prob
42, 762, 0.6283830117498482
42, 332, 0.17025282627442626
612, 762, 0.09115211524385197
42, 534, 0.08965666381881014
446, 762, 0.03531393069120147
349, 762, 0.018884387075007277
446, 534, 0.017476249749268338
690, 762, 0.014018143434135398
461, 762, 0.0138415971409081
42, 722, 0.01363834271404443
42, 378, 0.013442386724648989
593, 762, 0.00793696268415087
42, 506, 0.007604821222293534
42, 491, 0.006505134402238101
42, 796, 0.005479450276464662
42, 348, 0.00483802096721255
42, 973, 0.004441869428238599
349, 534, 0.004269672897930946
461, 534, 0.0041554402504351854
612, 722, 0.004152013471834815
42, 423, 0.003530654928667477
42, 799, 0.003025612908677981
42, 200, 0.0023905273531643232
42, 1062, 0.002113466013842517
42, 1198, 0.0018900211420411982
42, 211, 0.001693747940975477
42, 1124, 0.00145165942249421
42, 345, 0.0012526703797779116
446, 722, 0.001009235955474054
243, 762, 0.0009600331827474685
9, 762, 0.0008992323642328028
243, 332, 0.0008681091036737264
612, 796, 0.0008005930911016585
42, 1175, 0.0007186525383368482
42, 216, 0.0006277720378937646
333, 762, 0.0006270189237841685
42, 108, 0.0005534767857467522
612, 973, 0.0005060946692612117
42, 847, 0.00048145743684358905
349, 722, 0.0004710725167771086
612, 799, 0.00044221812907214016
42, 667, 0.0004263380205458319
461, 722, 0.00041827294921094414
349, 506, 0.000392711969326046
112, 762, 0.0003911594107814629
349, 491, 0.0003814090030484925
446, 796, 0.0003457848996676547
42, 910, 0.0003353954806406157
42, 802, 0.0003148159735022037
42, 925, 0.00030996156690250826
42, 156, 0.00029378818254162316
42, 171, 0.0002883214740834694
593, 722, 0.00028212580148929696
42, 874, 0.0002776055782742613
446, 973, 0.0002734340511781288
9, 332, 0.0002668644012920822
42, 928, 0.0002532426302160345
351, 762, 0.00025194305224302173
648, 762, 0.0002487502007687089
349, 423, 0.0002473379939647705
42, 1155, 0.0002350055278458708
690, 796, 0.00022401294636133172
612, 1062, 0.00022141701928446802
42, 1087, 0.0002032506201292391
42, 901, 0.00019765301658606946
612, 1198, 0.000192072415617468
446, 799, 0.0001902265362267949
243, 534, 0.00018083048614750573
349, 796, 0.0001760093538617142
289, 762, 0.00016475993994664612
