Gene = AT2G34640
index = 384
Annotated 5SS: [ 253  536 1334 1537 1871 2075 2220 2368 2554]
Annotated 3SS: [ 430  652 1423 1610 1952 2150 2313 2457 2631]
SMsplice 5SS: [ 344  536 1334 1537 1871 2075 2220 2368 2554]
SMsplice 3SS: [ 430  652 1423 1610 1952 2150 2313 2457 2631]
length: 2963
Partition function (logZ) = 43.465364354212596
#Exons = 2129
3SS, 5SS, prob
1423, 1537, 0.9982140277740862
1952, 2075, 0.9946099908899927
2150, 2220, 0.9868153927704643
2313, 2368, 0.9780749336003944
2457, 2554, 0.9658971400733705
430, 536, 0.9394173840280153
2631, -1, 0.9091541459201149
1610, 1871, 0.8472250215051348
0, 344, 0.7775695456913814
652, 764, 0.463168720157308
652, 1334, 0.42869609956932603
0, 253, 0.18754330811393868
896, 1334, 0.11467207812182616
1610, 1733, 0.11058569899712382
1817, 1871, 0.11030920786540764
1240, 1334, 0.088395022836813
859, 1334, 0.0872471976599329
1178, 1334, 0.06481303123386854
1225, 1334, 0.05231284405414045
917, 1334, 0.038171904866687395
430, 519, 0.03199342561102747
2457, -1, 0.031121074129014804
0, 240, 0.028986472781155435
869, 1334, 0.026606548283469297
1780, 1871, 0.02573019047250419
2646, -1, 0.022137233231046733
1135, 1334, 0.020115088621300094
652, 963, 0.01657109588000935
2313, 2372, 0.013403579445378993
2150, 2225, 0.01088432867833698
2650, -1, 0.010835817561909324
654, 764, 0.010454067917270377
2643, -1, 0.009776737196856346
654, 1334, 0.00957413777999999
2665, -1, 0.008459406393478417
708, 1334, 0.008103653616805248
434, 536, 0.007623672342505953
994, 1334, 0.007596922076137957
859, 963, 0.007377617004612158
617, 1334, 0.007303900940929197
1610, 1695, 0.006697229760007606
2313, 2357, 0.006147699385046694
617, 764, 0.006133590217906673
896, 963, 0.006129375765348055
682, 764, 0.0059027638066640725
1610, 1708, 0.005852216203662523
682, 1334, 0.00580765387709355
652, 802, 0.0054627384114366755
430, 494, 0.005432060112801609
1251, 1334, 0.005073070925042158
430, 525, 0.004401486684355445
1186, 1334, 0.003720079733691518
708, 764, 0.0036773260892844256
1154, 1334, 0.0035784541445710917
1275, 1334, 0.003437095743972128
652, 932, 0.0028791850329411054
430, 555, 0.0028673971873523045
1970, 2075, 0.002844347170001287
652, 897, 0.0027701994200804614
1086, 1334, 0.0026543533078033405
0, 337, 0.0023315231164997875
869, 963, 0.0022603301648820647
652, 759, 0.0021702977623099784
888, 1334, 0.0021695703809519224
635, 1334, 0.002159261322660491
635, 764, 0.00208640011386525
2313, 2554, 0.0018910113032034295
2900, -1, 0.0017803111951741606
2775, -1, 0.001757233177887111
865, 1334, 0.0017449453796106137
2160, 2220, 0.001543827966184654
1067, 1334, 0.0015075400353998507
430, 514, 0.001460904765757504
1008, 1334, 0.0014498094356997701
1194, 1334, 0.0014465349312302988
2670, -1, 0.0013971812308090866
1423, 1871, 0.0013008164199443414
430, 540, 0.001200189723166394
0, 536, 0.001188736195444894
2942, -1, 0.001154571177848261
652, 1357, 0.0010670548436845454
834, 1334, 0.001004308676981998
1610, 2075, 0.0009272692222839056
1678, 1871, 0.0009234021190598753
859, 932, 0.0009181683329008689
652, 768, 0.0009166493633562388
652, 1067, 0.0008667873172323468
2022, 2075, 0.0008512163296122828
2947, -1, 0.0008472498107612442
1610, 1646, 0.0008364635931447692
901, 1334, 0.0008234691935051754
917, 963, 0.000789093470662766
652, 1120, 0.0007634527215153735
1618, 1871, 0.0007527878373673758
1149, 1334, 0.0006915062632818279
343, 536, 0.0006807984578611539
2832, -1, 0.0006595391571374475
