Gene = AT2G35450
index = 395
Annotated 5SS: [ 252  480  678 1078 1217 1371 1557 1709 1921]
Annotated 3SS: [ 410  597  977 1162 1292 1458 1650 1798 2030]
SMsplice 5SS: [ 480  678 1078 1371 1557 1709 1921]
SMsplice 3SS: [ 597  977 1162 1458 1650 1798 2030]
length: 2945
Partition function (logZ) = 5.700690880185351
#Exons = 1193
3SS, 5SS, prob
2030, -1, 0.8761301469404221
1650, 1709, 0.7096138346307426
1798, 1921, 0.6631259458408835
977, 1078, 0.6493055167953387
1458, 1557, 0.6489663152457489
597, 678, 0.581492592608737
0, 480, 0.5003693915578958
1162, 1217, 0.4639581287898231
1162, 1371, 0.44101557991930534
1292, 1371, 0.38203145926174437
1458, 1709, 0.23725091006043048
0, 678, 0.2325897614168004
1815, 1921, 0.16570107381085597
1827, 1921, 0.1585304011897423
410, 480, 0.10427562393125195
0, 153, 0.09516816927286255
791, 896, 0.08955045448288204
858, 1078, 0.08407252144202143
825, 896, 0.0728092608067404
825, 1078, 0.06536948775752124
791, 1078, 0.05774920869718276
1458, 1549, 0.05675006990674883
0, 252, 0.05158781861807028
2068, -1, 0.04977416284019503
1162, 1376, 0.04498201541755101
1292, 1376, 0.042945860888858066
0, 1078, 0.04005053563398937
1314, 1371, 0.036034692408956105
2030, 2202, 0.035628687794815914
1033, 1078, 0.03140538785113984
1480, 1557, 0.024568144670864937
858, 896, 0.020307211812715546
791, 859, 0.020032850455918495
2296, -1, 0.019527182534244663
2361, -1, 0.01689172055950759
410, 678, 0.016684190109697388
1162, 1209, 0.015935056325561237
987, 1078, 0.015297617502764461
791, 888, 0.014140330068134331
0, 896, 0.011963758156259668
0, 509, 0.011748639563822045
2071, -1, 0.011532296511710656
1480, 1709, 0.010910278940911343
0, 304, 0.010576865813390995
825, 912, 0.010323653869542058
1162, 1309, 0.009832236705226424
825, 888, 0.008671583006478818
791, 912, 0.008639300364673391
742, 896, 0.008537848990271628
0, 457, 0.008078017882094233
742, 1078, 0.007732267959849913
597, 1078, 0.0075456581097210745
1653, 1709, 0.007396451527513502
0, 118, 0.006675377993006313
597, 670, 0.006674051205405618
2101, -1, 0.006066039109739796
597, 654, 0.005432602910358466
597, 896, 0.005381120271604433
858, 912, 0.0050894200814694795
2312, -1, 0.00468754144478401
1619, 1709, 0.004643571943518696
1314, 1376, 0.004639150437484219
1650, 1921, 0.004505941976879697
2030, 2550, 0.004379757678097274
825, 859, 0.004255232521560565
0, 654, 0.00407275093894534
597, 683, 0.003886250483674775
742, 859, 0.00384957649777548
0, 859, 0.0034133093479234112
2068, 2202, 0.00330076654224994
1612, 1709, 0.0032949286983775528
410, 509, 0.0032149026925952
2370, -1, 0.0031066176821890738
1458, 1564, 0.003099852797910094
0, 512, 0.0030587418965391596
0, 670, 0.0030348789118376253
791, 876, 0.002960767915952469
1332, 1371, 0.0028271040764631244
977, 1069, 0.0028025715389573534
951, 1078, 0.0027659264372922546
1855, 1921, 0.0026607856732178362
977, 1217, 0.0022972597165857394
2030, 2209, 0.0022912947118341217
1465, 1557, 0.0021295410010895174
858, 888, 0.0019673734748389595
0, 210, 0.0019461166282656608
858, 939, 0.0019184501818178465
2428, -1, 0.0018925685351599874
597, 859, 0.0018369488378502095
977, 1371, 0.0018066537281884283
0, 888, 0.0017926877784570098
1480, 1549, 0.0017755375069791633
0, 270, 0.0017087229027442064
825, 939, 0.0015924495106961218
607, 678, 0.001575469452799693
1458, 1921, 0.0015229351274376533
1162, 1361, 0.00151013622400651
2647, -1, 0.0015025554120841722
0, 683, 0.0014897745912197664
963, 1078, 0.0014633044624166212
2030, 2249, 0.001458970614159437
742, 888, 0.0014185088939492206
1162, 1557, 0.001408645268619808
0, 912, 0.0013538754467667237
2631, -1, 0.0011397136128138286
825, 876, 0.0011301272672998033
1162, 1709, 0.0011280554819548467
791, 939, 0.0010970069732085677
1162, 1379, 0.0010952800732605729
355, 480, 0.0010848564087927008
1292, 1379, 0.0010776253887428491
0, 797, 0.0010537411796959343
1501, 1557, 0.0010129934679275012
1795, 1921, 0.0010104885385509186
2653, -1, 0.000999134163814676
0, 1371, 0.0009599456760291288
1292, 1361, 0.0009492677344634388
1501, 1709, 0.0009338501748826306
0, 351, 0.000917242763820851
977, 1093, 0.0009156716033263318
2638, -1, 0.000897366566804457
1162, 1252, 0.0008541892282861361
597, 888, 0.0008387228488301952
597, 797, 0.0008283261510482632
410, 512, 0.0008244367367511109
2071, 2202, 0.0007947264294980477
742, 912, 0.0007927240287161933
1465, 1709, 0.0007838277591470563
2157, -1, 0.0007825784587180212
2670, -1, 0.0007675762821567623
2104, -1, 0.000763356891347429
0, 533, 0.0007368843992576375
1781, 1921, 0.0006844371697757392
410, 457, 0.0006799011732247278
1798, -1, 0.0006625348739428574
1292, 1557, 0.0006592755335648346
742, 797, 0.0006577753467951209
858, 1217, 0.0006545358681632993
888, 1078, 0.0006535673714669787
1528, 1709, 0.0006489405055019184
0, 462, 0.0006465775809590523
609, 678, 0.0006081530780198063
0, 1217, 0.0005987300473589332
1033, 1217, 0.0005914568764534343
2030, 2195, 0.000575271553913291
2101, 2202, 0.0005749005401089592
597, 912, 0.0005668635583197267
2117, -1, 0.0005492000502606297
925, 1078, 0.0005434322727991354
1292, 1709, 0.0005312811998828527
1246, 1371, 0.0005292507128202513
0, 282, 0.0005177461415111688
858, 1371, 0.0005143816592035009
825, 1217, 0.0005089548412819287
479, 678, 0.0005058229507729386
2030, 2246, 0.0005023135441879472
0, 194, 0.00046698896973841055
0, 11, 0.00045040519243849333
791, 1217, 0.0004495936906463624
0, 176, 0.00044612892754830504
791, 869, 0.0004322235288059345
410, 1078, 0.00042247812668736384
0, 374, 0.00041677247651870296
825, 1371, 0.0004000240598023598
1332, 1376, 0.00038999644804707994
1036, 1078, 0.00038579742202472165
1033, 1371, 0.0003781138805563051
597, 723, 0.0003725856069875829
0, 876, 0.0003723135966826648
2361, 2550, 0.00037058119626141444
858, 1069, 0.00036920604713156033
791, 1371, 0.00035353171296582903
742, 876, 0.00034921434983252746
416, 480, 0.0003409182025391772
1458, 1656, 0.0003359054232674872
597, 729, 0.00032916532696073385
410, 654, 0.00032803188331833336
2421, -1, 0.00032348541285679144
1776, 1921, 0.00031112614004822107
2030, 2176, 0.00030904556440247694
410, 896, 0.00030144473141699207
2068, 2550, 0.0003005646346362708
