Gene = THG
index = 1538
Annotated 5SS: [ 21 275]
Annotated 3SS: [125 329]
SMsplice 5SS: [275]
SMsplice 3SS: [329]
top_k =  1000
Partition function (log Z): -3.7951153944318334

Sorted 5' Splice Sites (High to Low Probability):
Position 275: 0.9992876520760047
Position 21: 0.08943922310421244
Position 837: 0.003358492073341315
Position 506: 0.002936285114270373
Position 1032: 0.0023776245209250805
Position 1163: 0.0021661236599926073
Position 54: 0.0015165617903343236
Position 523: 0.0014686544369651056
Position 17: 0.0011038116188582096
Position 147: 0.0003376444313678971
Position 517: 0.00016058357567527335
Position 405: 0.00014972213257729796
Position 635: 5.870267166007742e-05
Position 1173: 4.812679496353171e-05
Position 553: 4.713547077099778e-05
Position 79: 4.3252281265904256e-05
Position 569: 2.9483592159717103e-05
Position 1141: 2.7374539462240554e-05
Position 793: 2.2134940147900514e-05
Position 555: 2.131741070672873e-05
Position 629: 2.0414035698458537e-05
Position 412: 1.974826809452013e-05
Position 860: 1.277613585202679e-05
Position 827: 1.2093135669246609e-05
Position 399: 1.1426406617856805e-05
Position 577: 1.0764491464427462e-05
Position 646: 1.061320196420014e-05
Position 222: 8.280029712496122e-06
Position 1183: 5.406170861742579e-06
Position 971: 5.302431224024958e-06
Position 564: 4.847432788613394e-06
Position 190: 4.794027119534266e-06
Position 857: 2.634116342127895e-06
Position 231: 2.121259652580724e-06
Position 362: 1.3217123634620048e-06
Position 572: 1.23409775535118e-06
Position 445: 1.079368316345862e-06
Position 422: 1.0084814251720284e-06
Position 1057: 9.522289894275591e-07
Position 929: 8.75742215835743e-07
Position 1080: 7.76604651732404e-07
Position 199: 7.557471546335924e-07
Position 373: 6.243423161498231e-07
Position 1190: 4.77067473516277e-07
Position 479: 4.3241442562488554e-07
Position 151: 4.2619283491219836e-07
Position 490: 3.7292239930109157e-07
Position 892: 2.823159057086033e-07
Position 1124: 2.3515691122463643e-07
Position 717: 1.731045856079698e-07
Position 192: 1.264286143915009e-07
Position 338: 2.662932457907797e-09
Position 386: 5.464881363014963e-10
Position 297: 9.8063409976163e-11
Position 671: 1.5599241282728732e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 329: 0.9976284723841652
Position 125: 0.08004548013187852
Position 168: 0.011050472151309285
Position 592: 0.002608306231581412
Position 1073: 0.0026026115052377187
Position 1096: 0.0024899820360104632
Position 892: 0.002384890173380596
Position 1215: 0.002132720261156229
Position 798: 0.0005659203496991262
Position 757: 0.0004697461926877693
Position 199: 0.0003350072784394103
Position 612: 0.00033245504800194823
Position 1232: 0.0002891975600985966
Position 434: 0.0002847993965001852
Position 137: 0.00027275442660532924
Position 140: 0.00021151429909714153
Position 683: 0.00017783350547366297
Position 589: 0.00017320431143802244
Position 622: 0.00010847242995666165
Position 935: 0.00010057079168390429
Position 697: 9.715446439191457e-05
Position 370: 8.506137641853838e-05
Position 901: 6.497038631694395e-05
Position 211: 4.8501553378537663e-05
Position 486: 4.0697535533946494e-05
Position 1080: 3.9494947743510765e-05
Position 1057: 1.3547365437611493e-05
Position 1131: 1.1477201597056835e-05
Position 844: 1.128288832511984e-05
Position 1100: 1.1114665911489298e-05
Position 501: 1.1006622591100346e-05
Position 405: 8.401450205832237e-06
Position 523: 7.275295353433807e-06
Position 222: 6.361876609525544e-06
Position 1111: 4.844374366735864e-06
Position 601: 2.7717641271481396e-06
Position 436: 2.619999985976945e-06
Position 849: 1.884202206654202e-06
Position 373: 1.6992377745597168e-06
Position 231: 1.1091229803451473e-06
Position 701: 9.163783487220826e-07
Position 994: 8.815093891017147e-07
Position 297: 7.735394359446745e-07
Position 176: 7.154847273233574e-07
Position 412: 6.793909203994773e-07
Position 802: 5.968514679133926e-07
Position 147: 5.460243674519645e-07
Position 258: 5.030255861487441e-07
Position 1183: 4.283224458875583e-07
Position 451: 2.1414716291972783e-07
Position 1038: 1.1677051696856461e-07
Position 1117: 1.1061955260203324e-07
Position 240: 8.096538627158721e-08
Position 165: 3.4679110131787445e-08
Position 443: 1.1351786955249898e-10
Position 279: 1.2552723239294586e-11
