Gene = Bloc1s3
index = 181
Annotated 5SS: [63]
Annotated 3SS: [756]
SMsplice 5SS: [63]
SMsplice 3SS: [756]
top_k =  500
Partition function (log Z): -9.629680751419864

Sorted 5' Splice Sites (High to Low Probability):
Position 63: 0.8998326442353279
Position 1126: 0.5514633939726908
Position 528: 0.04107542578585075
Position 206: 0.033911131229439485
Position 1316: 0.020387556459668308
Position 191: 0.014177358209103916
Position 808: 0.011122239023647703
Position 855: 0.004738577630489566
Position 614: 0.004039442334145057
Position 637: 0.003953929258969302
Position 902: 0.0028547909968637624
Position 1548: 0.0027808418952995372
Position 2979: 0.002369631008315611
Position 94: 0.0023106942506283825
Position 496: 0.002267528576124504
Position 90: 0.0022187719764198074
Position 782: 0.002171105068460461
Position 878: 0.002125428749830941
Position 970: 0.0016350201160157288
Position 1966: 0.0012265409588683265
Position 371: 0.0009742733843379763
Position 427: 0.0007760932549552125
Position 162: 0.000728750645472739
Position 705: 0.00057875800119807
Position 682: 0.000499312955714234
Position 88: 0.00047695103104777647
Position 110: 0.0004637923429976214
Position 2504: 0.00036465098646166225
Position 2079: 0.00029060076519053096
Position 1080: 0.00024656721047928754
Position 103: 0.00021358483855161788
Position 1801: 0.0002088459492935118
Position 1632: 0.00020680411792707598
Position 145: 0.00017400944460301275
Position 508: 0.00016367508036660425
Position 291: 0.00015785574973699586
Position 540: 0.0001537821423796907
Position 386: 0.0001426983777603035
Position 227: 0.0001361661528736741
Position 200: 9.72593856138859e-05
Position 193: 9.714314202452006e-05
Position 979: 9.497168141934998e-05
Position 919: 9.258885762480492e-05
Position 843: 8.689221857716901e-05
Position 466: 7.544397936706759e-05
Position 259: 6.618903236388468e-05
Position 733: 6.533603513724966e-05
Position 1000: 5.0546861070834515e-05
Position 598: 1.764733853185945e-05
Position 997: 1.6402016923256307e-05
Position 184: 9.061776029892975e-06
Position 263: 7.013262637749998e-06
Position 126: 5.7241664373002515e-06
Position 658: 5.642368039770653e-06
Position 500: 5.639247888501552e-06
Position 523: 4.535679065207889e-06
Position 568: 3.499509555304693e-06
Position 295: 2.6817594600599735e-06
Position 656: 2.5473880887005466e-06
Position 135: 2.0904278334287427e-06
Position 415: 1.3440889780995041e-06
Position 280: 3.4823119577382085e-07
Position 409: 2.628972233178857e-07
Position 1564: 1.7645288764474103e-07
Position 616: 1.7334148959968367e-07
Position 1137: 1.6173193019937236e-07
Position 607: 1.5937429828401494e-07
Position 446: 1.2630424119169387e-07
Position 300: 3.8946114096419845e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1005: 0.4173685414080563
Position 756: 0.2475243103745527
Position 1074: 0.13259556766427355
Position 2220: 0.11729774693204988
Position 3137: 0.10180797040538656
Position 3212: 0.07440290069424105
Position 3094: 0.05731221958629841
Position 3167: 0.05042387291168488
Position 3114: 0.03748776804902931
Position 1866: 0.0342963965721603
Position 1666: 0.03169168401116
Position 3241: 0.027192262348519694
Position 1694: 0.025377731373590357
Position 1449: 0.015099532045873621
Position 2642: 0.013616002255178141
Position 2717: 0.013392862285654401
Position 2264: 0.012760977813038851
Position 2978: 0.010471509478959303
Position 3544: 0.010092955113019044
Position 2142: 0.008845941728740639
