Gene = ENSDARG00000035193
index = 164
Annotated 5SS: [ 261 3452]
Annotated 3SS: [3332 8228]
SMsplice 5SS: [ 261 3452]
SMsplice 3SS: [3332 8228]
length: 8374
Partition function (logZ) = -1.4481080142579092
#Exons = 1230
3SS, 5SS, prob
3332, 3452, 0.9956930343688121
0, 261, 0.9195556000096129
8228, -1, 0.701042909222572
7600, -1, 0.14494337314266262
6836, 6979, 0.13083682499416038
1361, 1467, 0.09018086321129067
1361, 1482, 0.07419230182180067
6287, -1, 0.04284796798997719
7866, 8007, 0.04039181697039766
1930, 2038, 0.035864312358912576
6696, 6979, 0.03548177847561237
1074, 1133, 0.029058894951755152
7866, -1, 0.02769242168858185
1972, 2038, 0.02665785877497507
4136, 4286, 0.025050580073552223
0, 141, 0.02470915371742606
1943, 2038, 0.01825784155277025
6287, 6427, 0.017288118344380567
1244, 1467, 0.017283330515633508
7866, 8069, 0.013783973083984918
1989, 2038, 0.012202282810331557
0, 166, 0.01217872349188656
6696, -1, 0.0118328029439803
4136, 4280, 0.011050746237306045
1244, 1482, 0.010980601703747293
0, 561, 0.010387705278620343
6696, 6767, 0.008914596786717034
5317, -1, 0.008778555603312315
4105, 4286, 0.00857972011695965
8277, -1, 0.008505874267046853
1377, 1467, 0.008463553122892382
0, 1467, 0.00835452027179295
1948, 2038, 0.00809758960744363
1377, 1482, 0.007939670189860621
1302, 1467, 0.007927603875078414
5744, -1, 0.007524799180063465
7451, -1, 0.007191151107262607
7600, 7770, 0.007148799316921081
4250, 4286, 0.006730359693840386
1074, 1467, 0.0066197692435125965
0, 1482, 0.0064591986031182535
4163, 4286, 0.005990146677499464
5738, -1, 0.00554902199495036
6836, -1, 0.0049490415460478
1302, 1482, 0.004638489316688167
7866, 8088, 0.004539663905518573
0, 148, 0.004455143393798148
1074, 1482, 0.00420564564562516
4105, 4280, 0.0040383256811772
3332, 3421, 0.0039320142685186354
1074, 1233, 0.0037859614644275385
7600, 8007, 0.003744466128257767
0, 1133, 0.00366267414799313
7398, -1, 0.0031997778790711774
8240, -1, 0.0028031126518175335
6224, -1, 0.0026450886218957774
3564, -1, 0.002495838798535414
4163, 4280, 0.002482752926702996
6659, 6979, 0.002453863294625546
4250, 4280, 0.0022007961835294933
7676, -1, 0.002091942869860344
6659, 6767, 0.0019514527129357655
7635, -1, 0.0018481544122595564
6809, 6979, 0.0017762058242925761
8280, -1, 0.0017210566801717812
1930, 2045, 0.0017060493047622001
1989, 2179, 0.0016628803955926795
1972, 2179, 0.0015923778624842265
7866, 8019, 0.001563070100097531
1972, 2045, 0.0015112679662425794
6659, -1, 0.0014292185959171224
1361, 1438, 0.0014272817577975383
0, 535, 0.0014035561104364183
0, 271, 0.001372639097223439
7600, 8069, 0.0013234595341807918
6287, 6327, 0.0013233912551849241
1361, 1474, 0.0012148705345044768
7600, 7682, 0.0011862823049474337
3564, 3769, 0.0011094877632263683
5346, -1, 0.0010338740831036238
0, 2038, 0.0010245218111362391
0, 138, 0.0010022397833428982
6940, 6979, 0.0009307626973237499
1943, 2045, 0.0009133029341955632
6696, 6776, 0.0008915939874507411
5744, 6085, 0.000867886581101553
6461, -1, 0.0008470237425123424
0, 281, 0.0008440634975795169
358, 561, 0.0008356024133291058
6426, -1, 0.0008134656664692879
7605, -1, 0.0007937796954162011
4231, 4286, 0.0007756308925609107
5744, 5885, 0.0007606331222350788
1652, 1759, 0.0007370506854199037
1989, 2045, 0.0007274679906355717
2729, 2811, 0.000717908002639478
1074, 1137, 0.0006894919956359684
1244, 1438, 0.0006480660690855815
6836, 6941, 0.0006382711711516591
0, 334, 0.0006150568947111735
5738, 6085, 0.0005822111377084816
1074, 1173, 0.0005812176470405249
2729, 2990, 0.0005807831991174587
1930, 2179, 0.0005455080252735514
6836, 6984, 0.0005406783880622655
7985, 8069, 0.0005328209769067192
5738, 5885, 0.0005256891555214387
1930, 2009, 0.0005243217263102159
3953, 4286, 0.0005191328615785872
4250, 4387, 0.0005147499189149166
5375, -1, 0.0005082107450220372
7067, -1, 0.000483634793306143
1863, 2038, 0.0004799327888167908
7899, 8007, 0.0004788375710790401
4250, 4418, 0.00047652031917781284
3093, 3229, 0.00047440351249419615
7985, -1, 0.00047193094424154115
8068, -1, 0.00045301823270925764
0, 234, 0.0004278081470613921
1948, 2045, 0.00041391496517509456
6224, 6327, 0.0003896548473407339
0, 780, 0.0003883252919185423
6912, 6979, 0.00037852241875067726
7600, 7698, 0.00037754738794716376
1943, 2179, 0.0003773097895622205
7600, 8088, 0.00037588406964926427
6224, 6427, 0.00037556630401204896
5503, -1, 0.0003562190014143978
6315, -1, 0.0003429278954205906
3332, -1, 0.0003085082501824193
8301, -1, 0.0003037242172342282
7985, 8088, 0.0003016346157805464
0, 1759, 0.0002946011790076905
0, 407, 0.00029375281241556856
2729, 3029, 0.0002934573765429253
1993, 2038, 0.0002924645004235078
6696, 6941, 0.00028342751599696146
4250, -1, 0.0002825549651133929
7899, -1, 0.00027898619725260797
1302, 1438, 0.0002775872560192282
4172, 4286, 0.00027080532258391677
1304, 1467, 0.000259229057842173
4231, 4280, 0.0002587635288220383
1599, 1759, 0.0002583563079398497
1972, 2104, 0.00025059282873010223
6287, 6767, 0.0002488950812341891
7899, 8069, 0.00024813932965681127
1074, 1438, 0.0002474881970773053
5065, -1, 0.0002474333437353128
0, 977, 0.00023899126941910533
7866, 8012, 0.00023831383547597565
3953, 4280, 0.00023451610568378574
4513, 4646, 0.00022844187682759397
4136, -1, 0.00022787170993353157
1222, 1467, 0.00022621818675393679
6696, 6861, 0.00021770892477398747
6287, 6979, 0.00021557202050436066
0, 1438, 0.00021253748196538245
