Gene = GlcAT-S
index = 1189
Annotated 5SS: [1372 4949 5273 5840]
Annotated 3SS: [4675 5009 5487 5896]
SMsplice 5SS: [1141 4949 5273 5840]
SMsplice 3SS: [4675 5009 5487 5896]
top_k =  500
Partition function (log Z): 2.675993087205652

Sorted 5' Splice Sites (High to Low Probability):
Position 4949: 0.9971034445343211
Position 5840: 0.973646880214673
Position 5273: 0.7098057645797253
Position 1141: 0.4971368521038109
Position 38: 0.30383586187791517
Position 5225: 0.23791891506477086
Position 156: 0.1535225034683422
Position 45: 0.08098856041532451
Position 1868: 0.06533085541734032
Position 4628: 0.04076177706977225
Position 183: 0.028035493430617456
Position 448: 0.015583016682867695
Position 4568: 0.01295511487596578
Position 326: 0.012944459338606799
Position 1372: 0.012449325180229584
Position 473: 0.012064181003354732
Position 5178: 0.01127771397723668
Position 4257: 0.010235655926070782
Position 6292: 0.008756379850594216
Position 1237: 0.008393126563684013
Position 5229: 0.008056339375888932
Position 1877: 0.006969687499819611
Position 5331: 0.0057054932382323694
Position 6007: 0.004400149625045514
Position 5834: 0.0040685121595762635
Position 726: 0.003654714008873975
Position 2841: 0.0030370948746230725
Position 3747: 0.0028585788372529975
Position 6130: 0.002838178279976111
Position 4481: 0.002529059099636448
Position 442: 0.0023017774885200036
Position 6012: 0.0021711859720593665
Position 6335: 0.0018842212878371586
Position 5358: 0.0015538721921189132
Position 5249: 0.0014056421329179307
Position 5079: 0.0013062786517545402
Position 5318: 0.001266866621328839
Position 678: 0.000812907663135698
Position 5583: 0.0007852967462936712
Position 5740: 0.000558455765663713
Position 5593: 0.0005350249245979219
Position 5264: 0.00045415723699520873
Position 6296: 0.00037119750841176584
Position 5355: 0.0003288540606174328
Position 5571: 0.00031450851386984237
Position 5378: 0.00030534744806029235
Position 639: 0.00030376562326766334
Position 319: 0.0002488035001359638
Position 142: 0.00024861074999360614
Position 5210: 0.00024320294633062712
Position 6546: 0.000236918711521957
Position 539: 0.00020512177826077348
Position 759: 0.00019280652673217964
Position 5107: 0.00018519881318642951
Position 354: 0.00016041984069688333
Position 6519: 0.00015293431517783123
Position 5261: 0.00015110817380929395
Position 469: 0.00013186040988864755
Position 1033: 0.00013113938698456
Position 5341: 0.000114379692442383
Position 5844: 0.00010721720526201018
Position 124: 9.521837732231616e-05
Position 6566: 9.21377125174623e-05
Position 993: 8.866440820502908e-05
Position 323: 8.642227713402609e-05
Position 1559: 8.560678945952764e-05
Position 6459: 8.399328098270373e-05
Position 1740: 8.260187821159588e-05
Position 2113: 7.8094675724074e-05
Position 5967: 7.39250219139891e-05
Position 6134: 7.161538011754868e-05
Position 5560: 6.854492988882807e-05
Position 5494: 6.19689230544347e-05
Position 3081: 5.7731388618784485e-05
Position 5701: 5.586001135492029e-05
Position 582: 5.500831255759094e-05
Position 696: 5.174766100202456e-05
Position 6299: 4.716577046469992e-05
Position 6261: 3.4575811242403007e-05
Position 567: 2.3786597621840573e-05
Position 6414: 1.9984610968509434e-05
Position 682: 1.923683911332111e-05
Position 5721: 1.84010618272748e-05
Position 5822: 1.741152084296778e-05
Position 371: 1.733062945827829e-05
Position 1006: 1.6043560563678885e-05
Position 5182: 1.4303513288739788e-05
Position 496: 1.3807368840150015e-05
Position 376: 1.2998625728674717e-05
Position 778: 1.24958888392948e-05
Position 4789: 1.2296073889981933e-05
Position 699: 1.0412659174195638e-05
Position 839: 1.0211726606897626e-05
Position 2180: 9.86909513816447e-06
Position 4812: 9.580506611251166e-06
Position 6511: 9.34872803255167e-06
Position 675: 8.042058877563966e-06
Position 388: 7.88803580331942e-06
Position 2063: 7.529384912844433e-06
Position 2687: 5.9278819744824925e-06
Position 5410: 4.684978195844828e-06
Position 6557: 4.0770657534595874e-06
Position 3797: 3.860228653113046e-06
Position 3456: 3.669847733732757e-06
Position 1454: 2.0224471671375133e-06
Position 2654: 1.8451635773744055e-06
Position 1815: 1.3589489311061567e-06
Position 116: 1.285318021916919e-06
Position 2428: 1.2823370999376246e-06
Position 1158: 1.1453111584440897e-06
Position 1900: 1.1310765231776316e-06
Position 3476: 1.1163712845617697e-06
Position 2953: 1.0294042408619405e-06
Position 1917: 7.74624376471395e-07
Position 6048: 5.946888001727997e-07
Position 5959: 3.2318562620869053e-07
Position 6091: 2.905286510816237e-07
Position 2320: 2.676280324382033e-07
Position 3227: 1.5041147458438014e-07
Position 97: 8.113834134155454e-08
Position 5861: 5.004460644366481e-08
Position 5815: 4.0016589991556195e-08
Position 317: 3.474630915081434e-08
Position 2457: 3.192263281243713e-08
Position 467: 1.724966683457385e-08
Position 281: 9.819617868104715e-09
Position 507: 7.323192951180121e-09
Position 509: 7.296243437934967e-09
Position 5218: 5.3801610347739385e-09
Position 5030: 1.631847702613892e-09
Position 526: 9.924756143534757e-10
Position 458: 9.058849977152848e-10
Position 86: 6.984165774936577e-10
Position 357: 6.807868469965578e-11
Position 359: 5.8069515055927895e-11
Position 5604: 3.0065403426194414e-11
Position 5552: 2.4346290568425685e-11
Position 374: 2.282525007205134e-11
Position 247: 1.4833554091993297e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 5009: 0.999562797207668
Position 5896: 0.967894802128752
Position 4675: 0.8964187642749758
Position 5487: 0.8236104890784786
Position 5441: 0.10189303800677796
Position 4370: 0.08075324373510721
Position 105: 0.07869491472272938
Position 4721: 0.04913816778084526
Position 868: 0.04414974353625361
Position 244: 0.028630566273802022
Position 5493: 0.02529347225367184
Position 5560: 0.016870527859631775
Position 3356: 0.010846597263568234
Position 6075: 0.00977191217887401
Position 1802: 0.009327540277953256
Position 4604: 0.00803628163332835
Position 874: 0.006917444158014515
Position 6354: 0.006116463356357719
Position 5228: 0.005560991959437293
Position 4479: 0.005338694928667538
Position 1348: 0.005264820664542947
Position 1772: 0.00511680762841522
Position 281: 0.004848782165055908
Position 1395: 0.004410023497255435
Position 4352: 0.004365446361013268
Position 6400: 0.0043387734712065475
Position 5990: 0.004211366744287051
Position 5642: 0.0040490845667797365
Position 6200: 0.0032536984687944154
Position 4078: 0.003019596651615241
Position 4117: 0.0028300867580983383
Position 1307: 0.0027572717683055337
Position 3691: 0.0027248310237888936
Position 592: 0.002459779611568079
Position 722: 0.002437329868442393
Position 1366: 0.001821680360199602
Position 5715: 0.0014102595029963285
Position 374: 0.001335869791418135
Position 5341: 0.0013058689712512502
Position 1627: 0.0013038888708716923
Position 2728: 0.0012207048632032263
Position 3653: 0.0012130022430937005
Position 507: 0.0011276027183308617
Position 4256: 0.0010799547626383574
Position 6206: 0.0010482700667082219
Position 6364: 0.0010389526286828782
Position 1081: 0.000944372401891247
Position 4322: 0.0007466066065066751
Position 354: 0.000740203241395362
Position 2179: 0.0007166122118111925
Position 5954: 0.0007067759472009056
Position 251: 0.0006205995671610048
Position 1211: 0.0005793426237226997
Position 1624: 0.0005095250726049788
Position 5386: 0.00048791145247672156
Position 6617: 0.00048075403807329323
Position 5998: 0.00038777558551817993
Position 2263: 0.0003839834960109959
Position 997: 0.0003267883620145087
Position 5034: 0.0003096595013588369
Position 1751: 0.0003040107325481661
Position 2513: 0.000294511538778941
Position 1714: 0.0002920364697837025
Position 5500: 0.00023759173806893818
Position 6082: 0.00019993364328541635
Position 357: 0.00019821600527107175
Position 5410: 0.0001952417002416167
Position 380: 0.00019083535372770735
Position 2775: 0.0001885041851033596
Position 6153: 0.0001831626985273362
Position 6574: 0.00017708298521284976
Position 5749: 0.00016373004710868293
Position 5610: 0.00015925000534634012
Position 371: 0.00015392024616303838
Position 6473: 0.00015107851515010475
Position 2275: 0.00015031964043822618
Position 438: 0.00014886482722115035
Position 2205: 0.0001476214723323738
Position 890: 0.0001208831456272374
Position 1684: 0.00010218392156741896
Position 6627: 9.951547684551343e-05
Position 142: 9.362393904655865e-05
Position 1420: 9.103189545038782e-05
Position 1657: 9.028451820404552e-05
Position 526: 8.50781206221379e-05
Position 1032: 8.146677373502249e-05
Position 1651: 8.123253857467237e-05
Position 567: 6.904863451622397e-05
Position 5583: 6.56038417228847e-05
Position 5915: 6.541666748739988e-05
Position 6393: 4.418806169033701e-05
Position 6503: 4.1570051819711835e-05
Position 6454: 3.64553597078112e-05
Position 6292: 3.0294502411159203e-05
Position 6242: 2.3128267092049713e-05
Position 6225: 1.7629102609791256e-05
Position 6295: 1.6966918876599094e-05
Position 5046: 1.2546775687803189e-05
Position 1978: 1.2020185596231475e-05
Position 5626: 1.0144060679261474e-05
Position 5153: 4.5121270844448235e-06
Position 6604: 4.237085927784999e-06
Position 768: 2.3998752205788687e-06
Position 314: 2.0315720431860017e-06
Position 5065: 2.0044020075532218e-06
Position 5822: 1.99425209820236e-06
Position 116: 1.5516102171628863e-06
Position 708: 1.1177115295030536e-06
Position 5069: 1.058048701580079e-06
Position 818: 1.0093458468261761e-06
Position 1236: 6.090140141979726e-07
Position 1311: 4.914707613570818e-07
Position 124: 4.3069013359928243e-07
Position 5253: 3.9717468528064595e-07
Position 148: 3.311138122757737e-07
Position 183: 1.1183989702545131e-07
Position 599: 6.780215668746838e-08
Position 195: 3.9561934083976566e-08
Position 688: 1.4836706995818491e-08
Position 1573: 3.5647640825920957e-09
Position 1546: 2.066865527563364e-09
Position 1517: 1.2770895367607868e-09
Position 156: 6.307520850126586e-10
Position 166: 8.407666196015529e-14
