Gene = mael
index = 1784
Annotated 5SS: [3483 3727 4340]
Annotated 3SS: [3527 3782 4401]
SMsplice 5SS: [ 273  703 3483 3727 4340]
SMsplice 3SS: [ 322 2989 3536 3782 4401]
top_k =  100
Partition function (log Z): 7.800453353554572

Sorted 5' Splice Sites (High to Low Probability):
Position 3483: 0.9989791855469377
Position 4340: 0.988738013596304
Position 3727: 0.9856767179673237
Position 273: 0.7560718668454298
Position 703: 0.5415083857985444
Position 390: 0.19967915728348912
Position 3215: 0.19750998590701505
Position 3210: 0.17609658844816198
Position 929: 0.15136302745932562
Position 555: 0.13040745611512694
Position 200: 0.11317104947126498
Position 905: 0.1129738278646488
Position 3198: 0.1120088871367234
Position 948: 0.08160194742694231
Position 251: 0.07709308258328336
Position 215: 0.030055181761382107
Position 1112: 0.025108919742075502
Position 710: 0.02096111302959756
Position 2474: 0.019475895260838344
Position 965: 0.016419341968301186
Position 1236: 0.014925253198927343
Position 3153: 0.0048788307991969124
Position 3954: 0.0038250422450666244
Position 277: 0.0007970669522813284
Position 4447: 0.0007299370710293357
Position 219: 0.0007182756524538282
Position 108: 0.000613604995723625
Position 714: 0.0003807021611696943
Position 862: 0.0003306760549983322
Position 725: 0.00031467178478442655
Position 4461: 0.0002718782629053685
Position 403: 0.0002702107111364003
Position 18: 6.966787579360643e-05
Position 4882: 4.5765392693646196e-05
Position 400: 2.7822842266219344e-05
Position 140: 1.719498528626302e-05
Position 185: 2.2474497928671183e-06
Position 31: 1.8770380986713908e-06
Position 122: 1.7740725765405008e-06
Position 28: 1.0636076649383676e-06
Position 137: 7.130264336604313e-07
Position 103: 6.52392359089813e-07
Position 4193: 9.931320913163046e-08
Position 43: 3.3946154061312355e-08
Position 3933: 3.266572952232372e-08
Position 453: 3.5500526229703215e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2989: 0.9922321145390839
Position 4401: 0.9894038009616974
Position 322: 0.9732830156691092
Position 3536: 0.9656578137332469
Position 3782: 0.9347945625359191
Position 3280: 0.4855232980894409
Position 779: 0.1542887079413985
Position 453: 0.09577492136492692
Position 991: 0.03069361310724518
Position 1870: 0.021902703951057145
Position 3833: 0.02101463341398327
Position 3554: 0.017554760584898334
Position 782: 0.011592137614880389
Position 3915: 0.00901504037219432
Position 1021: 0.008498048251348745
Position 3937: 0.008302568028349569
Position 3551: 0.008048407198938148
Position 3573: 0.007355756993195601
Position 4207: 0.0055749110515871695
Position 3892: 0.0053756044746433775
Position 3213: 0.0048788307991969124
Position 3125: 0.0047161725036881956
Position 4075: 0.0023561567689732287
Position 4518: 0.001314558874915748
Position 2568: 0.0006249042670116856
Position 3953: 0.0005672970917228173
Position 3527: 0.00045444300229791355
Position 4373: 0.0004443746322344785
Position 4559: 0.00028817291444323484
Position 4440: 0.0002612605750761884
Position 3865: 0.00019228811267747516
Position 4325: 0.0001791688039443435
Position 862: 0.00017142493350948298
Position 4757: 0.00015748994602435398
Position 545: 0.00013402608395607688
Position 514: 0.00010078661534991931
Position 587: 8.670302322687661e-05
Position 799: 6.641371312345763e-05
Position 4961: 4.5765392693646196e-05
Position 287: 4.290812784664554e-05
Position 493: 3.422368144072733e-05
Position 63: 2.8763677460195346e-05
Position 386: 1.9110092614744383e-05
Position 526: 1.4486051996289803e-05
Position 82: 1.1398087293793957e-05
Position 668: 1.1297704581482372e-05
Position 175: 1.1133968176695616e-05
Position 559: 7.3309075097768575e-06
Position 389: 7.111243279570156e-06
Position 199: 4.513028901960343e-06
Position 702: 3.106727261226469e-06
Position 242: 1.571884297629437e-06
Position 247: 3.845045968439614e-07
Position 255: 3.4205369767142474e-07
Position 231: 1.5907292773992808e-07
Position 94: 6.449057388882913e-08
Position 179: 5.2996886002335956e-08
Position 263: 4.9430887767963634e-08
Position 133: 3.8134854144548644e-08
Position 157: 2.4580844082714293e-08
Position 406: 8.813594392029029e-10
