Gene = 1110002E22Rik
index = 1
Annotated 5SS: [5398]
Annotated 3SS: [12111]
SMsplice 5SS: [ 489 1830 5398]
SMsplice 3SS: [ 1741  5202 12111]
top_k =  1000
Partition function (log Z): 1.0667834748331853

Sorted 5' Splice Sites (High to Low Probability):
Position 1830: 0.994004849463877
Position 5398: 0.9821626213823815
Position 12227: 0.7379692467070498
Position 4176: 0.6199164484939951
Position 2872: 0.5823873223154502
Position 3240: 0.53703608059938
Position 9054: 0.5231488536493146
Position 489: 0.5099511463926579
Position 8545: 0.5098344063075774
Position 1101: 0.3972713237851889
Position 3288: 0.32344026844418966
Position 439: 0.2959470806997013
Position 575: 0.18271993748183463
Position 3504: 0.1576507178762964
Position 13914: 0.1454715659577391
Position 1111: 0.13883719544276302
Position 12263: 0.12709751495769306
Position 5092: 0.1114343727744933
Position 8148: 0.10187318487981446
Position 3961: 0.08631160737199452
Position 12763: 0.08078598694576308
Position 9878: 0.07891141589847013
Position 2035: 0.07016079034848657
Position 2601: 0.06976780823363232
Position 13639: 0.06849788187055057
Position 15675: 0.06080715007872401
Position 8300: 0.05193807557137548
Position 8726: 0.04429127931876067
Position 984: 0.04363321477215385
Position 2124: 0.042557818850379965
Position 6340: 0.039319972456744415
Position 6802: 0.03806778321476044
Position 4548: 0.0362198344210778
Position 3493: 0.03259022997200452
Position 6285: 0.0296154317821096
Position 2133: 0.028934400833279757
Position 3756: 0.028897482602783915
Position 2284: 0.021366383304607484
Position 1569: 0.020423461758939766
Position 3933: 0.01969653085789494
Position 8947: 0.018730535391031464
Position 7735: 0.018500614371721784
Position 1368: 0.018499767220035598
Position 2727: 0.018424805491240953
Position 16227: 0.018254044693169158
Position 4917: 0.01795277134994747
Position 6272: 0.014981193846702675
Position 13974: 0.01487084213056067
Position 10510: 0.011730543350506892
Position 282: 0.011602625043181635
Position 6289: 0.01067446256882229
Position 6349: 0.010414955030016961
Position 1001: 0.010073742147937175
Position 4911: 0.009062097596270458
Position 4827: 0.008099385410768377
Position 12423: 0.007796321847159156
Position 13568: 0.007708723255803362
Position 4863: 0.007660463619162809
Position 12855: 0.007299821651993519
Position 6251: 0.006404610966582829
Position 4378: 0.005591278092010279
Position 9063: 0.005501797291410009
Position 6680: 0.004963126887550712
Position 2236: 0.004820338226749139
Position 12645: 0.00477885781960669
Position 2620: 0.004688135373478871
Position 2760: 0.004680522749198829
Position 2485: 0.00424506228355656
Position 7359: 0.0039067962629082175
Position 3517: 0.0038222187012179614
Position 6356: 0.003577949229352895
Position 10569: 0.0034849836865229614
Position 2184: 0.003392802744340532
Position 1164: 0.002772167275661624
Position 10455: 0.002725684030076633
Position 12223: 0.002701965587524711
Position 763: 0.002676678177744927
Position 548: 0.0025371283362540043
Position 11050: 0.0022872157006072857
Position 1042: 0.0020957908094847676
Position 261: 0.001959632760797451
Position 3469: 0.0018832130508897587
Position 2630: 0.0018460302807646759
Position 15724: 0.0017931248994188607
Position 3297: 0.0016636984729505762
Position 1260: 0.0015198183704946257
Position 1975: 0.0015010771382404896
Position 5850: 0.001476513437148573
Position 313: 0.0014737280960986695
Position 15387: 0.0013938719997276877
Position 5745: 0.0012503705653030617
Position 12235: 0.001237157156694261
Position 4851: 0.0012097406246946404
Position 4841: 0.0010895722727933457
Position 4729: 0.001087830436330728
Position 5714: 0.0010847459906343083
Position 1800: 0.0010551071657813617
Position 3495: 0.0006847443639997909
Position 4965: 0.0006573800963337727
Position 53: 0.0006152748023096885
Position 3811: 0.0006098689538735394
Position 6295: 0.0006046382770638584
Position 1390: 0.000587617250645324
Position 5173: 0.0004802418150394084
Position 1348: 0.00047739854456131767
Position 1125: 0.00046052181558835106
Position 1025: 0.0004254890412893742
Position 1204: 0.00037691169744082467
Position 727: 0.00037338925776455364
Position 94: 0.0003709658888409343
Position 2637: 0.00034841213715102826
Position 1375: 0.0003458490612453318
Position 2591: 0.00033232208760567686
Position 6684: 0.0002797258931740629
Position 857: 0.0002608679429357279
Position 2117: 0.0002595234351409552
Position 2548: 0.00025347372486166347
Position 30: 0.00023436938406459667
Position 1198: 0.00019918036664832975
Position 6433: 0.0001805734562915639
Position 5402: 0.00016129416711038882
Position 587: 0.00016081582543714263
Position 7455: 0.00014954394394501647
Position 7636: 0.00013181463050415855
Position 3225: 0.00011542374749072799
Position 6373: 0.00010501828581225832
Position 2605: 9.791449762504706e-05
Position 8535: 8.917607744871651e-05
Position 1255: 7.193435766296734e-05
Position 867: 7.153474057612343e-05
Position 4886: 6.819215253500725e-05
Position 1742: 6.407835308666455e-05
Position 323: 6.337475451488688e-05
Position 904: 5.301435548489322e-05
Position 7340: 5.124149443981143e-05
Position 5338: 5.0719114788628974e-05
Position 1398: 4.867016525033876e-05
Position 2154: 4.726578782051475e-05
Position 4350: 4.631639070090793e-05
Position 807: 4.5939016193944035e-05
Position 9: 4.577593257176295e-05
Position 5763: 4.440353835551356e-05
Position 338: 4.3949668365866886e-05
Position 5664: 4.172711177628966e-05
Position 743: 3.8174418755337505e-05
Position 5704: 3.6586591534959225e-05
Position 3862: 3.542970481715005e-05
Position 579: 2.8701447975890245e-05
Position 264: 2.8275803739200018e-05
Position 1969: 2.560508016898504e-05
Position 616: 2.227104170255785e-05
Position 661: 2.1347661963927305e-05
Position 4372: 2.1312964870669092e-05
Position 589: 2.0802957309758837e-05
Position 814: 1.4369135626262045e-05
Position 279: 1.4331163646562513e-05
Position 1946: 1.431944754453613e-05
Position 12189: 1.2087492627648541e-05
Position 443: 9.016639392898434e-06
Position 4707: 6.595255477646213e-06
Position 3113: 6.029261626395329e-06
Position 779: 5.5816259342854775e-06
Position 1929: 5.248086345597618e-06
Position 401: 4.125964660202662e-06
Position 273: 4.0571735423655445e-06
Position 2047: 2.5062914341430233e-06
Position 2096: 2.044958380764105e-06
Position 2121: 4.1194009020072667e-07
Position 2202: 8.035222359338252e-08
Position 2025: 9.251040744091441e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 12111: 0.9704105148202783
Position 1741: 0.9699930469197455
Position 5202: 0.7647781476429188
Position 894: 0.5925955310264747
Position 4101: 0.37687777969177366
Position 2954: 0.34501679013524145
Position 3017: 0.32603114764460045
Position 8946: 0.30395228107404504
Position 8385: 0.29391656960506857
Position 3858: 0.293669295468833
Position 8430: 0.21197914172072216
Position 5037: 0.2031132715170344
Position 2664: 0.19540910201996486
Position 2786: 0.17838722275003344
Position 8071: 0.1610533979649925
Position 15011: 0.14637269629130348
Position 12349: 0.1451460276582784
Position 8828: 0.13639007277591159
Position 2957: 0.13629035861127375
Position 13736: 0.12919869602792428
Position 13460: 0.1278138368036862
Position 16432: 0.12469752543949332
Position 6112: 0.11865942594627846
Position 12924: 0.10139608021476844
Position 3443: 0.09982924256388108
Position 3412: 0.08482579846332215
Position 1929: 0.0835656148199473
Position 9729: 0.07193288140472762
Position 2034: 0.07150483587023299
Position 2497: 0.07042820525917172
Position 4773: 0.06824117508142644
Position 8643: 0.06266884491687982
Position 15583: 0.06191399359198265
Position 12644: 0.060653569014502966
Position 13803: 0.05971445162045675
Position 14944: 0.05664060284936966
Position 2724: 0.056634828394915744
Position 2668: 0.052960305859409904
Position 8971: 0.04945337070468828
Position 5060: 0.046538211886016125
Position 2754: 0.04284796869044779
Position 15837: 0.03581690293947436
Position 12721: 0.03431681002433744
Position 16119: 0.03046646611134507
Position 4407: 0.028498247038775022
Position 3128: 0.02669246787113142
Position 8789: 0.02602040651682757
Position 1204: 0.024942064901356205
Position 5285: 0.023681821454128834
Position 3638: 0.022231549945232187
Position 15306: 0.021544297404327607
Position 3990: 0.021131080725458905
Position 10409: 0.018171244497568455
Position 2744: 0.017917681832079584
Position 16397: 0.016884154036838916
Position 14906: 0.016484772482191025
Position 7705: 0.014743106543662916
Position 5272: 0.014651218176325642
Position 12437: 0.014476478127668816
Position 6668: 0.014465893180884554
Position 12324: 0.014396930447571076
Position 4001: 0.01420948149055055
Position 6626: 0.014148557539384281
Position 2362: 0.012516651574524586
Position 15075: 0.012338345780863201
Position 2640: 0.012188558505744983
Position 2782: 0.011769539043986576
Position 4136: 0.011613819550935097
Position 13030: 0.009448203404269325
Position 2177: 0.009303882927098776
Position 15860: 0.00929715334502627
Position 8856: 0.009077586960244365
Position 14362: 0.009022778458714369
Position 12395: 0.008653878550925923
Position 3405: 0.008565906410362313
Position 6134: 0.008552913129068376
Position 1683: 0.007754262154425432
Position 7258: 0.0075325242087475545
Position 12839: 0.007289076779150884
Position 4257: 0.007100008832874224
Position 9752: 0.006978534493742511
Position 12588: 0.006920436108432635
Position 8803: 0.006176592004536623
Position 3651: 0.005920791811092881
Position 3040: 0.005761008118380173
Position 2504: 0.005740575909543209
Position 12039: 0.005720909093826468
Position 1694: 0.005577638464154278
Position 12561: 0.0054596346159882635
Position 5085: 0.005352633442112151
Position 1300: 0.004966207464600152
Position 15217: 0.004896012504437733
Position 13050: 0.004866305038274224
Position 13490: 0.004810804111463528
Position 3113: 0.0047730037078834
Position 3662: 0.004759367513127191
Position 3239: 0.0045056903708438345
Position 2810: 0.004345319624271866
Position 3062: 0.0043438858980044655
Position 2791: 0.004262594050693208
Position 4940: 0.004027820903597877
Position 5112: 0.0040194972274463295
Position 12676: 0.00400660744594865
Position 3287: 0.003866978988452591
Position 4492: 0.003786522009778225
Position 13276: 0.0037109480731207733
Position 4691: 0.0036137560841915653
Position 461: 0.0035092356905957744
Position 2756: 0.003490013046429856
Position 12751: 0.0031012541004063958
Position 2398: 0.003081045951741265
Position 12897: 0.0029799113952011123
Position 2236: 0.0028794777421852326
Position 1657: 0.0028512529912586657
Position 6711: 0.002795276032746439
Position 6651: 0.0027624043924840036
Position 2816: 0.002739384092400257
Position 3191: 0.002650808097738073
Position 2619: 0.002555363385205322
Position 5614: 0.002309792564771178
Position 10945: 0.002287215700607289
Position 1638: 0.0022822299133020067
Position 6554: 0.0021870556513033405
Position 356: 0.002050240572624562
Position 2426: 0.0018752186923508371
Position 2727: 0.00182382583034348
Position 2180: 0.001808404459668052
Position 642: 0.0017795314554302016
Position 3562: 0.0017351359838267627
Position 3047: 0.0017317219543831488
Position 329: 0.0017008932010276307
Position 1604: 0.001655679216673304
Position 4339: 0.0016040537978280023
Position 1897: 0.0015934682072863155
Position 5744: 0.0015565902366943478
Position 570: 0.0015267688849642876
Position 5211: 0.0015154549048471315
Position 758: 0.001461727503039415
Position 4902: 0.0014322573439716315
Position 3615: 0.001359899275725967
Position 1464: 0.0013510642758165175
Position 1795: 0.0012572923804968607
Position 1470: 0.001221797372604087
Position 6576: 0.0011573480805213302
Position 1611: 0.0011379823225323162
Position 2765: 0.0010724375372966346
Position 2070: 0.0010660663004151243
Position 1335: 0.0010645467324876313
Position 2746: 0.0010615038242575041
Position 2087: 0.0010587480548244473
Position 1439: 0.0010456642526121447
Position 12981: 0.0010265372328026158
Position 2975: 0.0009950288296748972
Position 6800: 0.0009771266555372686
Position 420: 0.0009295413599461753
Position 2911: 0.000839448390013023
Position 1495: 0.0008318331170280445
Position 4516: 0.000828817239786732
Position 3838: 0.0007962456679947963
Position 7682: 0.0007937024267612783
Position 1763: 0.0007397078851476099
Position 1783: 0.0006923009864240019
Position 3083: 0.0006856032205127041
Position 934: 0.0006794634858775476
Position 5556: 0.0006753729715197685
Position 2014: 0.0006501976022389014
