Gene = Scgalpha
index = 1472
Annotated 5SS: [ 672 1149 1344 1559]
Annotated 3SS: [ 743 1232 1414 1622]
SMsplice 5SS: [ 672 1149 1344 1559]
SMsplice 3SS: [ 743 1232 1414 1622]
top_k =  1000
Partition function (log Z): 7.287489720612897

Sorted 5' Splice Sites (High to Low Probability):
Position 1344: 0.9899247892458002
Position 672: 0.9856415899765899
Position 1149: 0.9632388020816285
Position 1559: 0.8566514785943801
Position 808: 0.21900502146255083
Position 247: 0.13749250776356914
Position 897: 0.054413162568199565
Position 680: 0.012211022258611492
Position 453: 0.010802501584360667
Position 913: 0.0051448284798906
Position 1322: 0.0050042619273490884
Position 84: 0.00305547928956516
Position 877: 0.0025282431041371125
Position 1146: 0.0023681577606071385
Position 1870: 0.002102764085349307
Position 77: 0.0015032646122589144
Position 59: 0.0013857166675310152
Position 71: 0.0013534374345701458
Position 819: 0.0013435549162345863
Position 1818: 0.0011156503609134904
Position 1334: 0.0008144272400250939
Position 1567: 0.0007216371893026708
Position 1153: 0.0004621120518577635
Position 321: 0.0003240802389688762
Position 170: 0.00025222458059339357
Position 468: 0.00017769850088047718
Position 439: 0.00016113217811380314
Position 517: 0.00014500597212365322
Position 1703: 0.00013350048258960054
Position 691: 0.00011971354125617014
Position 392: 0.00010961375646123776
Position 825: 9.94103416337453e-05
Position 305: 9.403960460355053e-05
Position 442: 6.845497871749802e-05
Position 190: 6.676894988664819e-05
Position 1465: 5.867259709001944e-05
Position 400: 5.5194266092487434e-05
Position 625: 5.218869870579731e-05
Position 487: 4.8508553971370184e-05
Position 1033: 4.6954328741534555e-05
Position 1458: 3.7936124908188756e-05
Position 52: 3.782782384008153e-05
Position 1391: 3.591152257546828e-05
Position 856: 3.523287687066746e-05
Position 163: 3.381115188775405e-05
Position 1128: 3.252759615075743e-05
Position 1402: 2.5244521997845865e-05
Position 1385: 2.0269012325568966e-05
Position 618: 1.864227733246183e-05
Position 445: 1.4203630351631958e-05
Position 177: 1.3900435766056315e-05
Position 1308: 1.122751971755632e-05
Position 1770: 9.738587971411653e-06
Position 484: 9.194279337237215e-06
Position 117: 8.361609509837843e-06
Position 607: 7.91577637967056e-06
Position 372: 6.141706868634029e-06
Position 1123: 6.00984665198353e-06
Position 403: 5.609567903009015e-06
Position 139: 5.139111286385911e-06
Position 1130: 3.987877378474617e-06
Position 1292: 3.795691634753186e-06
Position 1619: 3.3428862492392e-06
Position 602: 2.7465784336738025e-06
Position 604: 2.4992418789231132e-06
Position 950: 1.965791179407938e-06
Position 1463: 1.7325174006235087e-06
Position 1449: 1.2470560468892178e-06
Position 1712: 1.2134190360754492e-06
Position 133: 1.189031122994537e-06
Position 757: 8.472365494131209e-07
Position 1768: 7.856372714564964e-07
Position 136: 3.908730455598143e-07
Position 1723: 2.2181518843635447e-07
Position 1287: 1.7938818411993838e-07
Position 1750: 1.5617406777070158e-07
Position 745: 1.0862270927963665e-07
Position 1209: 5.9469393147329884e-08
Position 1232: 3.007915131578307e-08
Position 457: 2.842861518599838e-08
Position 1222: 1.8121332899924143e-08
Position 774: 1.009661165412654e-08
Position 751: 2.801041625989271e-12
Position 1644: 5.5056605824449355e-14
Position 1251: 3.007237054330032e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 743: 0.9983435775909791
Position 1414: 0.9932880994934437
Position 1232: 0.9799316747214805
Position 1622: 0.8119759529001467
Position 950: 0.14139115996797105
Position 305: 0.12849025928012076
Position 861: 0.1218996369067612
Position 1634: 0.04522715886335835
Position 539: 0.005679235142575033
Position 367: 0.005155059694691145
Position 587: 0.004429604940522974
Position 145: 0.0033085770285729665
Position 960: 0.003289507661595741
Position 1454: 0.002508481301284034
Position 133: 0.0023693577243046725
Position 1930: 0.0022234365838831654
Position 542: 0.0021560630926391023
Position 326: 0.0017030616596136411
Position 492: 0.001341239833253748
Position 1644: 0.0011992104944174367
Position 1889: 0.001116347479026367
Position 764: 0.0006696190255672088
Position 1285: 0.0006358876987791236
Position 993: 0.0003085360220229546
Position 1683: 0.00021240369620792901
Position 420: 0.0002105151444849471
Position 168: 0.00017958449026730973
Position 468: 0.00017778566563112974
Position 1664: 0.0001537367308409945
Position 1120: 0.00014330280404576448
Position 873: 0.00010903836107324985
Position 1937: 9.536864273905501e-05
Position 183: 8.03167760096697e-05
Position 774: 7.376983407327948e-05
Position 591: 6.923715649950105e-05
Position 957: 5.1553149361521936e-05
Position 246: 4.960008444852675e-05
Position 1385: 4.5995177116158995e-05
Position 117: 4.5904654916030234e-05
Position 792: 4.3844930949079275e-05
Position 163: 4.181121839496651e-05
Position 1487: 3.9367558567569264e-05
Position 272: 3.632511353097308e-05
Position 966: 3.133839637174074e-05
Position 1137: 2.2563435957518563e-05
Position 1474: 1.6507785598222566e-05
Position 1698: 1.4284660034040707e-05
Position 177: 1.1374519928394661e-05
Position 1750: 9.4945081425737e-06
Position 1917: 8.075529196226833e-06
Position 1463: 8.069188010782725e-06
Position 1765: 7.776161006919848e-06
Position 1507: 7.6721598744847e-06
Position 1251: 7.324562920961548e-06
Position 1382: 5.577647588628045e-06
Position 594: 5.210504407628761e-06
Position 1898: 5.073541242075029e-06
Position 1304: 4.985725595641055e-06
Position 969: 4.046781481346067e-06
Position 995: 3.896415661033786e-06
Position 1025: 3.395265008864756e-06
Position 972: 3.3807152672001667e-06
Position 392: 2.542416693115678e-06
Position 1586: 2.3610605166021037e-06
Position 1909: 1.9888195263063454e-06
Position 1857: 1.8047249767322816e-06
Position 384: 1.726040524759961e-06
Position 1002: 1.1470322701225044e-06
Position 1143: 9.557966606241332e-07
Position 546: 8.826498713179373e-07
Position 1800: 8.798920666093412e-07
Position 1768: 5.961075655050759e-07
Position 622: 5.726745944864115e-07
Position 285: 4.7304484886812234e-07
Position 1000: 4.541364178012575e-07
Position 1543: 3.59179899557364e-07
Position 801: 2.883124477851743e-07
Position 660: 2.3714154815980486e-07
Position 1287: 2.0939888643000206e-07
Position 196: 1.9671552604317038e-07
Position 745: 1.9103367270075442e-07
Position 1029: 1.7796811722666183e-07
Position 663: 1.72924700328986e-07
Position 1514: 9.955149854867056e-08
Position 1146: 9.35254252971866e-08
Position 258: 7.84936868095225e-08
Position 825: 7.050548357555505e-08
Position 1556: 5.616603870041167e-08
Position 1313: 4.095111740065857e-08
Position 618: 3.169579013952031e-08
Position 254: 2.879161651101076e-08
Position 691: 2.6892648665482107e-09
