Gene = ENSDARG00000079652
index = 513
Annotated 5SS: [ 151 1650 2751 3219 3365]
Annotated 3SS: [1457 2665 3163 3299 4646]
SMsplice 5SS: [ 151 1650 3219 3365]
SMsplice 3SS: [1457 3163 3299 4646]
length: 5164
Partition function (logZ) = 8.297376401928554
#Introns = 2011
5SS, 3SS, prob
151, 1457, 0.9868165666887352
1650, 3163, 0.8172833083441371
3365, 4646, 0.6458458841819802
3219, 3299, 0.38983521542256205
3219, 4646, 0.2757351909498263
2751, 3163, 0.14286202516478286
1650, 2665, 0.09270343766316601
1650, 2488, 0.03422606487944995
3215, 3299, 0.024322140483541192
3399, 4646, 0.02417633227680411
1706, 3163, 0.018305811638555193
3215, 4646, 0.01509828320549079
1650, 4646, 0.007477436152178814
1650, 2545, 0.005631022115083635
3415, 4646, 0.004769065888372421
3308, 4646, 0.004165324532829599
151, 1460, 0.0035193303080086123
3278, 4646, 0.003241152056779771
2565, 2665, 0.0031469091178555585
1650, 2551, 0.0028340601285086167
1650, 2439, 0.002686986942785576
221, 1457, 0.0024473383343135368
151, 1465, 0.0024451690463950697
2603, 3163, 0.002315846807894222
3219, 3303, 0.0022853233145219303
1650, 2515, 0.0021745158816223165
187, 1457, 0.002044475424995073
1650, 2512, 0.0020103022186471428
1706, 2665, 0.0018638759692690202
3431, 4646, 0.0016599261524728858
1600, 3163, 0.0016104211360435938
1801, 3163, 0.0015598861904065552
3433, 4646, 0.0015590245615908819
2565, 3163, 0.0015475419050100415
1650, 2519, 0.0014021793161984877
3313, 4646, 0.001329674759164751
3230, 4646, 0.0013236063922830606
2751, 4646, 0.0012479485102106387
151, 3163, 0.0010472715282886323
1650, 1730, 0.0009491354137691027
3462, 4646, 0.0009047409061559268
2628, 3163, 0.0006678353431937938
1706, 2488, 0.000661166002264155
3419, 4646, 0.0006300085317506412
1592, 3163, 0.0005849294934078983
1650, 2632, 0.0005811598140368607
1650, 3299, 0.000572468417474864
3230, 3299, 0.0004956327947685962
1650, 2461, 0.0004805475594566957
3445, 4646, 0.000427806065051593
1819, 3163, 0.00040923518048490435
2337, 3163, 0.0003767269300258613
3417, 4646, 0.00032667124070234575
3425, 4646, 0.00030822612747551917
1650, 2201, 0.0002969039006516085
2603, 2665, 0.00026134396040936215
225, 1457, 0.0002519901994025241
3282, 4646, 0.0002494709265134423
1650, 2244, 0.00021899393949297537
3365, 4466, 0.00021770499133904082
1602, 3163, 0.00021676400207358904
2969, 3163, 0.00020808262902983284
1650, 3169, 0.0002020892169364151
151, 1032, 0.00020096528775390978
151, 2665, 0.0001910493460723504
1504, 3163, 0.00018957123292054554
2608, 3163, 0.0001873582712175553
3365, 4685, 0.00018709902726510248
1801, 2665, 0.00017559695475486632
3536, 4646, 0.00016898455205610597
151, 762, 0.00016739878649696353
1600, 2665, 0.00015390590148870034
3435, 4646, 0.00015157069185316017
1650, 1754, 0.00014834815210096818
1706, 4646, 0.00014214363860180236
3215, 3303, 0.00012296322575324782
161, 1457, 0.00012172416559920944
3464, 4646, 0.00011883734706524574
1829, 3163, 0.00011679911299236864
1706, 2545, 0.00010869195777015962
1128, 1457, 0.0001079199073058497
3219, 4466, 0.00010447675010797921
3449, 4646, 9.394727028791588e-05
184, 1457, 9.190497074439399e-05
1134, 1457, 9.134543489032604e-05
1650, 2419, 9.088536892081288e-05
4554, 4646, 8.94133847761307e-05
1764, 3163, 8.708355757768371e-05
3219, 4685, 8.621388694972486e-05
2751, 3299, 8.60733334789487e-05
3437, 4646, 8.10672572297337e-05
1650, 2588, 7.75701553495724e-05
2707, 3163, 7.386179162728384e-05
1801, 2488, 7.278328833203399e-05
2337, 2488, 7.242436681761506e-05
3365, 4674, 7.147620992071566e-05
151, 2488, 7.13667500054661e-05
2337, 2665, 6.913903731438271e-05
1650, 2707, 6.849763698558446e-05
151, 333, 6.839805062806524e-05
1600, 2488, 6.801725147719623e-05
