Gene = CEP41
index = 350
Annotated 5SS: [  304 13283 24319 29059 30116 36674 38590 39357 40531 41199]
Annotated 3SS: [13218 24270 28996 30045 36528 38437 39288 40415 40982 42197]
SMsplice 5SS: [  304   860 13283 24319 29059 29232 30116 36674 37934 38590 39434 40286
 40531]
SMsplice 3SS: [  768 13218 24270 28996 29136 30045 36528 37836 38437 39288 40138 40415
 42197]
top_k =  500
Partition function (log Z): -4.969819640932487

Sorted 5' Splice Sites (High to Low Probability):
Position 30116: 0.9999999999922591
Position 13283: 0.9981358751922623
Position 24319: 0.9952685323011168
Position 40531: 0.9073774382793006
Position 39434: 0.8646891843823576
Position 40286: 0.860987340608315
Position 29059: 0.8317882038767251
Position 36674: 0.6591955995442447
Position 7369: 0.6194981292429956
Position 860: 0.5889966552764181
Position 42273: 0.5797391828709426
Position 29232: 0.57793904317552
Position 38590: 0.5355363265562675
Position 304: 0.5307693749342968
Position 37934: 0.42256468311743195
Position 23185: 0.36962023023373214
Position 45567: 0.22417265984656165
Position 44387: 0.17063153630955122
Position 41199: 0.1614577584829323
Position 42538: 0.15776727611230035
Position 173: 0.1472191301117189
Position 37916: 0.14052558514568708
Position 45766: 0.1134336046172582
Position 205: 0.11082461998880933
Position 14592: 0.09509710301341003
Position 29273: 0.08836945521754189
Position 41943: 0.08746343245297343
Position 36598: 0.0839696756137921
Position 14609: 0.08354451584603918
Position 864: 0.07718586284076759
Position 29202: 0.07535212591876783
Position 24449: 0.07353735867712706
Position 16530: 0.07233896944525718
Position 196: 0.05765889093899335
Position 30492: 0.05651099385922817
Position 855: 0.04559303039186434
Position 704: 0.04256739286672281
Position 421: 0.04178138656334756
Position 40327: 0.038209599906395386
Position 10351: 0.037583018586854006
Position 38547: 0.03671597475483725
Position 30891: 0.03638405138949571
Position 41308: 0.03599421300370477
Position 40822: 0.03156303327394378
Position 41527: 0.030379590856568998
Position 12281: 0.02579135222235462
Position 40540: 0.024840750930328274
Position 1412: 0.020851787556592484
Position 11378: 0.018689047211989364
Position 10875: 0.018377704146741683
Position 41738: 0.017273933992549492
Position 7354: 0.017177029215854747
Position 11453: 0.016486645334555662
Position 218: 0.011015330275474574
Position 431: 0.010112006262023136
Position 119: 0.009537043284432946
Position 39400: 0.009472029463723372
Position 42239: 0.008896676307586868
Position 38207: 0.00886660197012112
Position 39389: 0.008801072221464876
Position 41543: 0.008299421507714727
Position 42343: 0.008166706180017198
Position 315: 0.007822209396763754
Position 45608: 0.007780985035761936
Position 42557: 0.006843148003021669
Position 3590: 0.006581455705080809
Position 4464: 0.006440437851948455
Position 44581: 0.004072363582707755
Position 1066: 0.002993053400304904
Position 3200: 0.0028564657860846577
Position 7022: 0.002705417682633556
Position 15950: 0.0025607838203331235
Position 232: 0.002498480010927771
Position 553: 0.002220398916369359
Position 41531: 0.002104073129269961
Position 6995: 0.0014678698618791192
Position 1094: 0.0014435566299983668
Position 517: 0.0013124178857250597
Position 40925: 0.001187215333108954
Position 2247: 0.0011416274987657658
Position 5345: 0.0011023838029247705
Position 6991: 0.0010331806559934003
Position 13552: 0.0008100005938730268
Position 13842: 0.0005737645867099222
Position 255: 0.0005032664456690812
Position 259: 0.0003586515571717566
Position 40847: 0.0002900972506280894
Position 14322: 0.0002850083446315749
Position 363: 0.00025981476351730947
Position 40802: 0.0002115885332475221
Position 592: 0.00018277950882502762
Position 681: 0.00010765184474456872
Position 8272: 0.00010596568628445661
Position 4861: 9.510401025758854e-05
Position 529: 8.75869217666296e-05
Position 40490: 6.470670086146527e-05
Position 535: 2.2255482725731183e-05
Position 480: 2.0154353902372648e-05
Position 7409: 1.6794014791697444e-05
Position 654: 1.538075513452725e-05
Position 10002: 1.5062421086020583e-05
Position 7599: 1.4953576680361945e-05
Position 9998: 1.4384355728909525e-05
Position 606: 1.196178573457944e-05
Position 652: 1.1826726768366146e-05
Position 199: 1.130017588176242e-05
Position 252: 8.79660817917785e-06
Position 600: 5.969690572860209e-06
Position 1992: 4.84528683523377e-06
Position 1597: 1.433855310352574e-06
Position 1303: 8.543796288632362e-07
Position 54: 6.28793818674461e-07
Position 1142: 2.306199121524558e-07
Position 273: 6.095960338067052e-14
Position 61: 4.209804672664447e-14
Position 87: 3.536309546337917e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 24270: 0.9994164328951748
Position 13218: 0.9981412736913982
Position 30045: 0.990039681053289
Position 28996: 0.853981782147816
Position 39288: 0.8197552428742889
Position 40138: 0.7297389219064639
Position 42197: 0.7223335479445563
Position 40415: 0.7162158795330156
Position 768: 0.7076041434574335
Position 36528: 0.643276000923384
Position 37836: 0.5630902682631191
Position 38437: 0.5619473774363475
Position 29136: 0.46122423970506166
Position 7195: 0.4074040573729163
Position 23059: 0.36962023023373214
Position 42391: 0.3043874627919786
Position 45365: 0.2891925710429207
Position 29183: 0.2582428063356773
Position 45692: 0.2313902751118413
Position 45878: 0.2250319945668987
Position 40364: 0.21076160744138217
Position 7261: 0.1689691861194667
Position 40982: 0.16587821341508188
Position 40196: 0.15478178737612744
Position 44246: 0.14580715696970722
Position 14477: 0.11451454089723427
Position 47162: 0.094893359641293
Position 36543: 0.08282617047800606
Position 41855: 0.07744776971797658
Position 41424: 0.07114128388494048
Position 24404: 0.06938945808306834
Position 16344: 0.06614516147594213
Position 39378: 0.0632070431932569
Position 44105: 0.05814052500494052
Position 30387: 0.04177902671124638
Position 10199: 0.03758301858685401
Position 30805: 0.03445521533108133
Position 46270: 0.0312811058355106
Position 42168: 0.029016618393528815
Position 7295: 0.027020916317839254
Position 14345: 0.02599002761407304
Position 12196: 0.025791352222354597
Position 45846: 0.025374260731821183
Position 40617: 0.024308892508802995
Position 7242: 0.023866933779050813
Position 40730: 0.01920848737083125
Position 14238: 0.0191119144481654
Position 11199: 0.018689047211989364
Position 10706: 0.01837770414674168
Position 42494: 0.017164849217851903
Position 36342: 0.017063103756647036
Position 11401: 0.016486645334555648
Position 41039: 0.01392993679733042
Position 41805: 0.013136009247928513
Position 14387: 0.012537807089673853
Position 44918: 0.010719499547324403
Position 38326: 0.010304923874757305
Position 43902: 0.009986694774629157
Position 29867: 0.009960318938970035
Position 44468: 0.009903525089317937
Position 39904: 0.009739182853498776
Position 41053: 0.009409619673009318
Position 38029: 0.00886660197012112
Position 42672: 0.007793271062918911
Position 41239: 0.007613591117322469
Position 46106: 0.007263633508937262
Position 14285: 0.006591849864516346
Position 16430: 0.00619380796931508
Position 7198: 0.005814931831853668
Position 40028: 0.005418395551529019
Position 40059: 0.0053385597473444586
