Gene = Enam
index = 378
Annotated 5SS: [  207   567   788  1582  1739  3282  5210  6121 10685]
Annotated 3SS: [  505   709  1515  1687  3239  4936  6057 10633 13476]
SMsplice 5SS: [  207   567   788  3282  5210  6121 10685]
SMsplice 3SS: [  377   709  3239  4936  6057 10633 11182]
top_k =  1000
Partition function (log Z): 2.7105663434800893

Sorted 5' Splice Sites (High to Low Probability):
Position 6121: 0.9666646952962891
Position 207: 0.934887624738921
Position 5210: 0.9305084416808039
Position 788: 0.9175590331093242
Position 10685: 0.8962228188201455
Position 3282: 0.7641756797122584
Position 11402: 0.6204046694114626
Position 1739: 0.4090825665322302
Position 567: 0.33924250339429635
Position 16023: 0.2886155284005343
Position 11958: 0.2712433220860668
Position 579: 0.2687443983301984
Position 11252: 0.19966290106584708
Position 1792: 0.19114710463285448
Position 4965: 0.14310025489954542
Position 15353: 0.11369090380459902
Position 9834: 0.09112419296874834
Position 5496: 0.06440497536999917
Position 11486: 0.0630092767481383
Position 5532: 0.061177975571614154
Position 10689: 0.057891791449579476
Position 622: 0.05622025006696311
Position 11261: 0.05270343394280435
Position 1582: 0.05248542648805673
Position 10224: 0.05158629054610226
Position 4153: 0.041378770643791786
Position 1859: 0.038616287726810236
Position 14015: 0.03221201548677274
Position 15749: 0.02885109154585063
Position 11413: 0.028510790286193965
Position 11276: 0.02388073320638852
Position 10712: 0.021416614757494977
Position 153: 0.01995421736351189
Position 4879: 0.01842340588005104
Position 1778: 0.014012512477414377
Position 877: 0.012335774152811308
Position 15623: 0.011607121014799446
Position 2577: 0.011095616715515216
Position 162: 0.008612309794263516
Position 1813: 0.00857706593735757
Position 3177: 0.008161293751327946
Position 4778: 0.00810771512181686
Position 792: 0.00730533167237246
Position 11244: 0.006638457982476999
Position 6877: 0.006502540709759005
Position 248: 0.006355447900539989
Position 8161: 0.005964361352518719
Position 2746: 0.005683303496991993
Position 16409: 0.005236134944673929
Position 9839: 0.005021954989680956
Position 1266: 0.00494998561553556
Position 6907: 0.004670979474069079
Position 9251: 0.00455981209372146
Position 5847: 0.004508724476078175
Position 16856: 0.0043574058952030245
Position 10278: 0.004188685580419547
Position 14: 0.004031379039344186
Position 5917: 0.0040166151973831665
Position 6161: 0.003726603021100793
Position 211: 0.003691963052185629
Position 6932: 0.003591931213437779
Position 7137: 0.003563898707683033
Position 881: 0.003250496207889347
Position 6870: 0.003019919452185337
Position 572: 0.002495207136913805
Position 5313: 0.002362917461116127
Position 544: 0.0018619311633877602
Position 5801: 0.001837400373692764
Position 6883: 0.0016857567293263019
Position 9412: 0.0016853800745699594
Position 6220: 0.0016007222285996513
Position 8951: 0.001476981520665613
Position 12545: 0.0014107683270808264
Position 4169: 0.0013371501867520843
Position 11999: 0.0012879370876576507
Position 9161: 0.0012824246998343536
Position 6818: 0.0011818003061280593
Position 937: 0.0011816175109437236
Position 236: 0.0011674277511711788
