Gene = GHRL
index = 590
Annotated 5SS: [ 106 2232 2875 3186 6244]
Annotated 3SS: [1495 2737 3068 6134 7052]
SMsplice 5SS: [ 106 3186 6244]
SMsplice 3SS: [3071 6134 7052]
top_k =  500
Partition function (log Z): -1.8384170804247693

Sorted 5' Splice Sites (High to Low Probability):
Position 106: 0.9176012260230704
Position 3186: 0.7975926278868499
Position 2232: 0.6988149765836619
Position 6244: 0.6114547600110952
Position 2875: 0.5762520732349093
Position 3975: 0.42180447526466325
Position 358: 0.3469093620197401
Position 1152: 0.2641284253369325
Position 3190: 0.18603326845929216
Position 2641: 0.1253767010526558
Position 389: 0.08265988937489686
Position 133: 0.07337720676219381
Position 4487: 0.06790389572239135
Position 411: 0.06141664049744102
Position 1323: 0.05069943730480135
Position 1359: 0.029079580936018073
Position 5938: 0.027252379342000786
Position 5920: 0.027048363034903402
Position 1410: 0.026138452694259705
Position 4327: 0.019660451335002382
Position 526: 0.01577498745168592
Position 4395: 0.014887541091645447
Position 382: 0.014844094420048274
Position 5950: 0.014642511884789398
Position 378: 0.010472321903361437
Position 2534: 0.007323406372303587
Position 4923: 0.0072742521381853895
Position 3683: 0.005190932427827911
Position 2254: 0.00427195652855736
Position 6881: 0.0032433181573798394
Position 1883: 0.002882474383267155
Position 327: 0.0023656647240176474
Position 298: 0.002354116338956231
Position 1708: 0.0022759928751521323
Position 4496: 0.001586004786536986
Position 2596: 0.0014831357134617823
Position 149: 0.0007891816698987496
Position 746: 0.0003943664968151235
Position 4081: 0.0003639959602218161
Position 2110: 0.00023524656244063995
Position 4045: 0.00021134040157663874
Position 4968: 0.00012462211528607703
Position 187: 0.00011768691181973872
Position 507: 5.465989712674453e-05
Position 3180: 4.121246375747758e-05
Position 140: 3.7254865541530395e-05
Position 100: 3.430066512000695e-05
Position 110: 4.481159591485102e-06
Position 48: 2.3972736360930927e-06
Position 163: 1.2129907729921965e-06
Position 79: 8.457365728594476e-07
Position 123: 5.653257152429326e-07
Position 191: 3.55363211638641e-07
Position 386: 3.1763793698510875e-07
Position 51: 1.6292673858634709e-07
Position 313: 1.3959974852592968e-07
Position 30: 7.561318906935756e-08
Position 36: 3.084109923016316e-08
Position 212: 2.947321821156758e-08
Position 396: 7.713010735342572e-09
Position 342: 4.955284069225031e-09
Position 286: 3.550164086419652e-09
Position 458: 8.803778510329783e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 6134: 0.6685586336281162
Position 3071: 0.6146361115066578
Position 258: 0.40481376275991326
Position 3068: 0.37933126537411294
Position 7052: 0.35634804413821347
Position 1995: 0.33686834870453136
Position 3859: 0.3044615922649467
Position 2737: 0.29859451242772905
Position 1063: 0.1955412932262894
Position 5620: 0.18991606213434886
Position 2779: 0.1859996699862892
Position 7143: 0.17533317828741773
