Gene = FAM221A
index = 534
Annotated 5SS: [  154  4543  9330 11467 18170 20739]
Annotated 3SS: [ 4368  9138 11259 18061 20655 21965]
SMsplice 5SS: [  154  4543  9330 11143 11467 16806 20739]
SMsplice 3SS: [ 4368  9138 11053 11259 16653 20658 21965]
top_k =  1000
Partition function (log Z): 4.59340489186089

Sorted 5' Splice Sites (High to Low Probability):
Position 154: 0.994983243498755
Position 9330: 0.9585795165934591
Position 11143: 0.8793296436380699
Position 11467: 0.8642154719018108
Position 16806: 0.8567428193083811
Position 20739: 0.8199975979401007
Position 4543: 0.7794742253495699
Position 14482: 0.6490372285486176
Position 3795: 0.5461675555793021
Position 18170: 0.5078916411430723
Position 8858: 0.43292877605888214
Position 6026: 0.33299039769003436
Position 3303: 0.301572376073018
Position 12124: 0.281251345398281
Position 12128: 0.26776979238621645
Position 15125: 0.15596067887805323
Position 14784: 0.14467052214417983
Position 2989: 0.13034855393226116
Position 22067: 0.07410568936889614
Position 9543: 0.06404161208677858
Position 2590: 0.057821424854237795
Position 15859: 0.05253887784031254
Position 3375: 0.04994964015466346
Position 21683: 0.04886235943906611
Position 14992: 0.046802712394718206
Position 10873: 0.045796471820087246
Position 2633: 0.04256619357152178
Position 15058: 0.04214319409598709
Position 9274: 0.032824110166560685
Position 8194: 0.031907541616343536
Position 16858: 0.025345030499831465
Position 4889: 0.024299101866516605
Position 3473: 0.022854611263298585
Position 14274: 0.02210320903294177
Position 21558: 0.021863324934063632
Position 14207: 0.016917588470573574
Position 22092: 0.014298075487409665
Position 16900: 0.01408883622593003
Position 11843: 0.013993098767180833
Position 914: 0.013534212434201089
Position 7157: 0.013231066665407173
Position 4122: 0.01218614503858705
Position 12630: 0.011277165690697644
Position 6966: 0.009920705255118189
Position 1707: 0.009891771572489372
Position 2214: 0.008903195679869228
Position 4905: 0.008260992874511758
Position 9853: 0.007041860920175636
Position 1260: 0.006971331607605468
Position 16607: 0.006540561627854323
Position 15127: 0.006186427226440174
Position 3501: 0.005994630900980189
Position 4762: 0.005818502105933909
Position 3777: 0.005375512097476271
Position 11105: 0.004769078046658057
Position 17749: 0.004685030589633083
Position 11447: 0.0046075832006762085
Position 11488: 0.004486867138755404
Position 4469: 0.004455071303084622
Position 16785: 0.004211343963492932
Position 5606: 0.0037363417235459473
Position 561: 0.00365068836615383
Position 16654: 0.0036388646328161427
Position 6489: 0.0032954830818665163
Position 9252: 0.0028322850608532737
Position 2958: 0.002719309046636239
Position 15083: 0.0024708278144069274
Position 11002: 0.0024656795041710336
Position 8058: 0.002339256742233925
Position 4003: 0.0022904426462856966
Position 3709: 0.0022776646680150855
Position 8566: 0.001982732261815715
Position 10911: 0.0019630728865392515
Position 3249: 0.001925334093988842
Position 2443: 0.001884060879452176
Position 4244: 0.001856055769532862
Position 1807: 0.001840098735364119
Position 17535: 0.001769349144499108
Position 3913: 0.0017279490706316992
Position 10408: 0.0017077123793440474
Position 3670: 0.0016703466998637057
Position 598: 0.0016479756147304507
Position 6891: 0.0015480592553047444
Position 1720: 0.0014125610132520463
Position 8742: 0.0014055062663449356
Position 2243: 0.0012901587247985296
Position 20743: 0.0011833810366093888
Position 8295: 0.0010732844353151046
Position 10355: 0.001045255131879274
Position 10398: 0.0009368700933233298
Position 3665: 0.0009332319285575391
Position 1200: 0.0009098397131254076
Position 15256: 0.0009003897471919712
Position 809: 0.0008887528604376926
Position 19131: 0.0008800825437461107
Position 11963: 0.0008778027014445505
Position 4500: 0.0008719163189228821
Position 16810: 0.0008417698342766085
Position 7726: 0.0008070279945119992
Position 6261: 0.0006819558990559838
Position 1244: 0.0006534403701648397
Position 1639: 0.0005933014498412532
Position 47: 0.0005662615510905013
Position 5049: 0.0005650429274657607
Position 491: 0.0005376914377726539
Position 3884: 0.0005056187305700132
Position 3716: 0.0004956846201767846
Position 10943: 0.00048622350480832853
Position 18206: 0.000447944494300333
Position 6179: 0.0004046511314029362
Position 15078: 0.000339760442440012
Position 7349: 0.0003299340536455583
Position 12: 0.00029743823113667335
Position 2216: 0.0002904124754436242
Position 145: 0.00025813133433191256
Position 2267: 0.0002555235272779173
Position 2974: 0.00023745341639333511
Position 660: 0.00023197385939806154
Position 6416: 0.00022856012547734693
Position 13749: 0.00022577774887029713
Position 1815: 0.00021896186895239056
Position 515: 0.00021798204880040507
Position 11172: 0.00020079799103220263
Position 21642: 0.00019168210089721852
Position 5377: 0.00018698341771219371
Position 7145: 0.00015363067241509464
Position 3959: 0.00014322000070994794
Position 4377: 0.00013799462832766684
Position 7119: 0.00013599894164664824
Position 690: 0.00012707253404237352
Position 13943: 0.00012058675215456693
Position 473: 0.00010969047152231063
Position 6530: 0.00010551336692986527
Position 430: 9.954764345229603e-05
Position 811: 9.39655125765905e-05
Position 4616: 9.318909774758127e-05
Position 3261: 9.053260909227182e-05
Position 2205: 8.49865771653988e-05
Position 3291: 8.463217359873109e-05
Position 1207: 7.531248550593201e-05
Position 9933: 5.2888054648456834e-05
Position 3397: 5.19175497976514e-05
Position 2245: 3.4726919569567925e-05
Position 2247: 3.231725558321824e-05
Position 2249: 2.5858760200574194e-05
Position 2251: 1.9188334804873407e-05
Position 10218: 1.7182632751629107e-05
Position 9536: 1.6787426523975932e-05
