Gene = GatC
index = 1182
Annotated 5SS: [1168]
Annotated 3SS: [1221]
SMsplice 5SS: [1168]
SMsplice 3SS: [1221]
top_k =  100
Partition function (log Z): -1.9006434624223676

Sorted 5' Splice Sites (High to Low Probability):
Position 1168: 0.9913508517065397
Position 424: 0.023713080366672305
Position 28: 0.02286205852875831
Position 322: 0.013423203271265083
Position 1321: 0.012846342307621463
Position 1136: 0.007755989764032979
Position 136: 0.0032070347090851392
Position 1300: 0.0007904591199240723
Position 1059: 0.0006687018339742693
Position 1390: 0.00043865060449790693
Position 379: 0.0003653397155391247
Position 703: 0.00036418674040422866
Position 1312: 0.00014837061130063247
Position 1108: 6.252276133567924e-05
Position 1140: 2.2501179345721966e-05
Position 1346: 2.2449784447713782e-05
Position 895: 7.937781971133998e-06
Position 1357: 6.987302666631052e-06
Position 1374: 5.343504996282091e-06
Position 1314: 4.880223052205676e-06
Position 41: 7.093663871645437e-07
Position 820: 3.4143086432554167e-07
Position 45: 2.437714869699376e-07
Position 162: 2.1462639512435847e-07
Position 406: 2.1336160626533564e-07
Position 36: 1.4307110075534016e-07
Position 56: 7.438318880368204e-08
Position 235: 2.455285842844633e-08
Position 1035: 1.6382370940617835e-08
Position 1021: 1.587828157663009e-08
Position 911: 1.561811376113902e-08
Position 22: 9.17460280738881e-09
Position 285: 7.299225863809999e-09
Position 151: 6.455866358024138e-09
Position 481: 2.1270944814195414e-10
Position 333: 1.7412582348575687e-12
Position 326: 6.847986331619854e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1221: 0.9997119930972989
Position 818: 0.016486641644008555
Position 1396: 0.010176549544416004
Position 893: 0.00935151329973709
Position 852: 0.008108337533426947
Position 378: 0.007987854313894644
Position 937: 0.004178969729225209
Position 93: 0.0036996373539824917
Position 117: 0.0031902315994008683
Position 192: 0.0030797311629439414
Position 1449: 0.002902324844136041
Position 135: 0.001922335819713185
Position 796: 0.0016645851436344718
Position 1361: 0.0009989971883846488
Position 213: 0.0008386525601625293
Position 596: 0.0006145574056641489
Position 114: 0.0005198243423762359
Position 775: 0.0004983598151203665
Position 743: 0.0004868011395309265
Position 1446: 0.0003719562462186172
Position 176: 0.00034100511495593335
Position 691: 0.0003304959208869573
Position 729: 0.0002860271414308137
Position 144: 0.00022446382851169626
Position 1407: 6.450829202183904e-05
Position 1430: 2.7645154956893054e-05
Position 1532: 4.928168875670718e-06
